spieltag,home,away,result
1,Frankfurt,Dortmund,2:2
1,VfL Bochum,Offenbach,1:0
1,Hamburg,K'lautern,3:2
1,Köln,Bielefeld,2:3
1,Mannheim,Bremen,2:0
1,M'gladbach,Düsseldorf,1:1
1,Bayern,Leverkusen,2:1
1,Nürnberg,Uerdingen,2:4
1,Stuttgart,Braunschweig,3:0
2,(11.) Düsseldorf,Köln (13.),2:0
2,(12.) K'lautern,Stuttgart (1.),2:2
2,(2.) Uerdingen,Frankfurt (8.),5:2
2,(4.) Bielefeld,Bayern (6.),1:3
2,(18.) Braunschweig,Mannheim (3.),3:2
2,(17.) Bremen,VfL Bochum (7.),5:2
2,(9.) Dortmund,Hamburg (5.),1:2
2,(14.) Leverkusen,Nürnberg (16.),3:0
2,(15.) Offenbach,M'gladbach (10.),4:3
3,(14.) K'lautern,Dortmund (15.),2:2
3,(11.) VfL Bochum,Braunschweig (12.),3:1
3,(2.) Bayern,Düsseldorf (5.),1:1
3,(18.) Nürnberg,Bielefeld (10.),2:0
3,(4.) Stuttgart,Mannheim (8.),0:0
3,(16.) Frankfurt,Leverkusen (6.),2:2
3,(3.) Hamburg,Uerdingen (1.),2:2
3,(17.) Köln,Offenbach (9.),1:0
3,(13.) M'gladbach,Bremen (7.),3:1
4,(11.) Bremen,Köln (14.),1:0
4,(1.) Uerdingen,K'lautern (10.),3:1
4,(9.) Mannheim,VfL Bochum (6.),3:3
4,(17.) Bielefeld,Frankfurt (15.),2:1
4,(18.) Braunschweig,M'gladbach (8.),3:1
4,(12.) Dortmund,Stuttgart (4.),0:3
4,(5.) Düsseldorf,Nürnberg (16.),2:1
4,(13.) Offenbach,Bayern (2.),2:3
4,(7.) Leverkusen,Hamburg (3.),2:0
5,(14.) K'lautern,Leverkusen (5.),3:0
5,(17.) Dortmund,Uerdingen (1.),2:1
5,(16.) Frankfurt,Düsseldorf (4.),3:0
5,(7.) Hamburg,Bielefeld (11.),2:0
5,(15.) Köln,Braunschweig (10.),2:1
5,(2.) Bayern,Bremen (9.),0:0
5,(18.) Nürnberg,Offenbach (13.),4:0
5,(3.) Stuttgart,VfL Bochum (6.),4:2
5,(12.) M'gladbach,Mannheim (8.),3:0
6,(7.) Leverkusen,Dortmund (16.),4:2
6,(17.) Bielefeld,K'lautern (10.),3:2
6,(9.) VfL Bochum,M'gladbach (6.),0:4
6,(15.) Braunschweig,Bayern (2.),1:2
6,(8.) Bremen,Nürnberg (11.),2:0
6,(5.) Düsseldorf,Hamburg (4.),2:3
6,(13.) Mannheim,Köln (14.),2:2
