spieltag,home,away,result
1,Bremen,Düsseldorf,1:1
1,Dortmund,K'lautern,1:1
1,Stuttgart,Uerdingen,0:0
1,Frankfurt,Karlsruhe,2:2
1,Köln,Schalke,0:1
1,Bayern,Hamburg,3:2
1,Rostock,Leverkusen,1:2
1,St. Pauli,TSV 1860,4:2
1,M'gladbach,Freiburg,1:0
2,(17.) Freiburg,St. Pauli (1.),0:2
2,(14.) Hamburg,Bremen (11.),3:3
2,(4.) Schalke,Rostock (15.),1:3
2,(9.) K'lautern,M'gladbach (5.),1:3
2,(7.) Karlsruhe,Bayern (2.),2:6
2,(3.) Leverkusen,Dortmund (8.),1:1
2,(18.) TSV 1860,Stuttgart (12.),1:1
2,(13.) Uerdingen,Frankfurt (6.),1:1
2,(10.) Düsseldorf,Köln (16.),1:1
3,(5.) Rostock,Dortmund (9.),3:2
3,(7.) Bremen,Karlsruhe (17.),1:0
3,(14.) Köln,Hamburg (13.),3:2
3,(3.) M'gladbach,Leverkusen (4.),0:0
3,(2.) St. Pauli,K'lautern (16.),1:2
3,(8.) Frankfurt,TSV 1860 (15.),4:2
3,(1.) Bayern,Uerdingen (12.),2:0
3,(6.) Schalke,Düsseldorf (10.),1:1
3,(11.) Stuttgart,Freiburg (18.),3:1
4,(13.) Dortmund,M'gladbach (2.),2:1
4,(17.) Karlsruhe,Köln (9.),1:0
4,(12.) Düsseldorf,Rostock (4.),2:2
4,(18.) Freiburg,Frankfurt (5.),2:0
4,(15.) Hamburg,Schalke (11.),1:1
4,(10.) K'lautern,Stuttgart (6.),1:1
4,(8.) Leverkusen,St. Pauli (3.),1:1
4,(16.) TSV 1860,Bayern (1.),0:2
4,(14.) Uerdingen,Bremen (7.),3:0
5,(12.) Bremen,TSV 1860 (18.),2:0
5,(14.) Köln,Uerdingen (7.),0:0
5,(13.) Düsseldorf,Hamburg (17.),2:2
5,(8.) Frankfurt,K'lautern (10.),3:1
5,(1.) Bayern,Freiburg (16.),2:0
5,(3.) Rostock,M'gladbach (4.),2:3
5,(11.) Schalke,Karlsruhe (15.),2:1
5,(2.) St. Pauli,Dortmund (9.),0:3
5,(5.) Stuttgart,Leverkusen (6.),1:4
6,(14.) K'lautern,Bayern (1.),2:3
6,(15.) Karlsruhe,Düsseldorf (12.),3:1
6,(4.) Dortmund,Stuttgart (11.),6:3
6,(17.) Freiburg,Bremen (6.),0:1
6,(3.) Leverkusen,Frankfurt (5.),2:0
6,(18.) TSV 1860,Köln (13.),2:1
6,(10.) Uerdingen,Schalke (7.),1:1
6,(16.) Hamburg,Rostock (8.),1:1
6,(2.) M'gladbach,St. Pauli (9.),2:4
7,(13.) Düsseldorf,Uerdingen (10.),1:0
7,(9.) Frankfurt,Dortmund (3.),3:4
7,(4.) Bremen,K'lautern (15.),1:1
7,(16.) Hamburg,Karlsruhe (11.),0:0
7,(14.) Köln,Freiburg (18.),1:1
7,(1.) Bayern,Leverkusen (2.),1:0
7,(8.) Rostock,St. Pauli (5.),2:0
7,(12.) Stuttgart,M'gladbach (6.),5:0
7,(7.) Schalke,TSV 1860 (17.),1:1
8,(6.) St. Pauli,Stuttgart (9.),1:3
8,(13.) Uerdingen,Hamburg (16.),1:1
8,(18.) Freiburg,Schalke (7.),1:2
8,(15.) K'lautern,Köln (14.),1:1
8,(12.) Karlsruhe,Rostock (5.),0:2
8,(3.) Leverkusen,Bremen (4.),2:2
8,(17.) TSV 1860,Düsseldorf (11.),2:1
8,(8.) M'gladbach,Frankfurt (10.),4:1
8,(2.) Dortmund,Bayern (1.),3:1
9,(3.) Rostock,Stuttgart (8.),3:3
9,(6.) Schalke,K'lautern (16.),1:1
9,(5.) Bremen,Dortmund (2.),2:2
9,(11.) Düsseldorf,Freiburg (18.),0:0
9,(12.) Frankfurt,St. Pauli (9.),2:2
9,(17.) Hamburg,TSV 1860 (14.),2:2
9,(13.) Karlsruhe,Uerdingen (10.),2:0
9,(1.) Bayern,M'gladbach (7.),1:2
9,(15.) Köln,Leverkusen (4.),2:2
10,(5.) Leverkusen,Schalke (7.),0:0
10,(15.) Uerdingen,Rostock (4.),1:1
10,(2.) Dortmund,Köln (14.),3:0
10,(18.) Freiburg,Hamburg (17.),0:3
10,(16.) K'lautern,Düsseldorf (11.),2:0
10,(13.) TSV 1860,Karlsruhe (10.),1:1
10,(9.) St. Pauli,Bayern (1.),0:1
10,(8.) Stuttgart,Frankfurt (12.),3:2
10,(3.) M'gladbach,Bremen (6.),1:0
11,(9.) Karlsruhe,Freiburg (18.),1:1
11,(17.) Köln,M'gladbach (3.),0:2
11,(8.) Bremen,St. Pauli (11.),1:1
11,(15.) Düsseldorf,Leverkusen (6.),1:1
11,(12.) Hamburg,K'lautern (10.),1:0
11,(1.) Bayern,Stuttgart (5.),5:3
11,(4.) Rostock,Frankfurt (16.),1:1
11,(7.) Schalke,Dortmund (2.),1:2
11,(14.) Uerdingen,TSV 1860 (13.),2:0
12,(5.) Leverkusen,Hamburg (9.),0:1
12,(12.) St. Pauli,Köln (17.),3:3
12,(2.) Dortmund,Düsseldorf (14.),3:0
12,(15.) Frankfurt,Bayern (1.),4:1
12,(18.) Freiburg,Uerdingen (11.),1:1
12,(13.) K'lautern,Karlsruhe (10.),2:2
12,(16.) TSV 1860,Rostock (4.),1:1
12,(6.) Stuttgart,Bremen (7.),1:1
12,(3.) M'gladbach,Schalke (8.),4:1
13,(4.) Rostock,Bayern (2.),0:0
13,(7.) Hamburg,Dortmund (1.),2:2
13,(11.) Uerdingen,K'lautern (14.),1:1
13,(8.) Bremen,Frankfurt (12.),1:1
13,(16.) Düsseldorf,M'gladbach (3.),3:2
13,(10.) Karlsruhe,Leverkusen (6.),1:4
13,(17.) Köln,Stuttgart (5.),2:2
13,(15.) TSV 1860,Freiburg (18.),3:0
13,(9.) Schalke,St. Pauli (13.),2:0
14,(3.) M'gladbach,Hamburg (8.),1:2
14,(15.) St. Pauli,Düsseldorf (16.),2:1
14,(1.) Dortmund,Karlsruhe (13.),4:1
14,(11.) Frankfurt,Köln (17.),1:0
14,(18.) Freiburg,Rostock (5.),2:1
14,(14.) K'lautern,TSV 1860 (12.),0:0
14,(4.) Leverkusen,Uerdingen (10.),2:1
14,(2.) Bayern,Bremen (9.),2:0
14,(6.) Stuttgart,Schalke (7.),2:2
15,(16.) Düsseldorf,Stuttgart (7.),1:2
15,(5.) Hamburg,St. Pauli (11.),1:0
15,(10.) Bremen,Rostock (6.),0:2
15,(14.) K'lautern,Freiburg (18.),1:2
15,(15.) Karlsruhe,M'gladbach (3.),4:0
15,(12.) TSV 1860,Leverkusen (4.),0:1
15,(8.) Schalke,Frankfurt (9.),2:0
15,(13.) Uerdingen,Dortmund (1.),0:2
15,(17.) Köln,Bayern (2.),0:0
16,(10.) Bremen,Köln (18.),0:1
16,(1.) Dortmund,TSV 1860 (13.),3:1
16,(3.) Leverkusen,Freiburg (17.),0:1
16,(9.) Frankfurt,Düsseldorf (16.),3:0
16,(4.) M'gladbach,Uerdingen (14.),2:1
16,(2.) Bayern,Schalke (8.),4:0
16,(6.) Rostock,K'lautern (15.),3:0
16,(12.) St. Pauli,Karlsruhe (11.),1:1
16,(7.) Stuttgart,Hamburg (5.),3:0
17,(7.) Hamburg,Frankfurt (9.),5:1
17,(15.) Uerdingen,St. Pauli (11.),2:5
17,(18.) Düsseldorf,Bayern (2.),0:2
17,(13.) Freiburg,Dortmund (1.),0:1
17,(16.) K'lautern,Leverkusen (5.),1:0
17,(10.) Karlsruhe,Stuttgart (6.),1:2
17,(14.) TSV 1860,M'gladbach (3.),4:0
17,(8.) Schalke,Bremen (12.),2:1
17,(17.) Köln,Rostock (4.),3:0
18,(16.) Freiburg,M'gladbach (4.),0:0
18,(14.) K'lautern,Dortmund (1.),1:1
18,(12.) Karlsruhe,Frankfurt (10.),1:1
18,(11.) TSV 1860,St. Pauli (9.),2:0
18,(5.) Hamburg,Bayern (2.),2:1
18,(8.) Schalke,Köln (13.),0:0
18,(18.) Düsseldorf,Bremen (15.),1:1
18,(6.) Leverkusen,Rostock (7.),2:0
18,(17.) Uerdingen,Stuttgart (3.),3:4
19,(13.) Köln,Düsseldorf (18.),0:0
19,(10.) Frankfurt,Uerdingen (17.),1:0
19,(2.) Bayern,Karlsruhe (12.),1:4
19,(3.) Stuttgart,TSV 1860 (9.),2:3
19,(15.) Bremen,Hamburg (4.),2:1
19,(11.) St. Pauli,Freiburg (16.),1:1
19,(5.) M'gladbach,K'lautern (14.),1:1
19,(8.) Rostock,Schalke (7.),1:2
19,(1.) Dortmund,Leverkusen (6.),2:0
20,(15.) K'lautern,St. Pauli (12.),0:0
20,(7.) Leverkusen,M'gladbach (4.),0:0
20,(1.) Dortmund,Rostock (8.),1:2
20,(17.) Düsseldorf,Schalke (6.),2:0
20,(16.) Freiburg,Stuttgart (3.),2:1
20,(11.) Karlsruhe,Bremen (13.),1:1
20,(9.) TSV 1860,Frankfurt (10.),3:1
20,(18.) Uerdingen,Bayern (2.),1:6
20,(5.) Hamburg,Köln (14.),0:0
21,(13.) Bremen,Uerdingen (18.),1:0
21,(10.) Frankfurt,Freiburg (14.),0:1
21,(15.) Köln,Karlsruhe (11.),0:1
21,(4.) M'gladbach,Dortmund (1.),2:2
21,(2.) Bayern,TSV 1860 (9.),4:2
21,(7.) Schalke,Hamburg (5.),3:0
21,(3.) Stuttgart,K'lautern (16.),2:0
21,(8.) Rostock,Düsseldorf (17.),0:0
21,(12.) St. Pauli,Leverkusen (6.),2:1
22,(6.) Hamburg,Düsseldorf (17.),4:1
22,(7.) Leverkusen,Stuttgart (3.),0:0
22,(1.) Dortmund,St. Pauli (11.),1:0
22,(14.) Freiburg,Bayern (2.),3:1
22,(16.) K'lautern,Frankfurt (13.),1:1
22,(10.) Karlsruhe,Schalke (4.),0:1
22,(9.) TSV 1860,Bremen (12.),1:1
22,(18.) Uerdingen,Köln (15.),1:1
22,(5.) M'gladbach,Rostock (8.),3:2
23,(12.) Bremen,Freiburg (10.),0:2
23,(15.) Köln,TSV 1860 (9.),2:0
23,(14.) Frankfurt,Leverkusen (7.),1:1
23,(2.) Bayern,K'lautern (16.),2:0
23,(4.) Schalke,Uerdingen (18.),1:1
23,(13.) St. Pauli,M'gladbach (5.),0:2
23,(3.) Stuttgart,Dortmund (1.),0:5
23,(17.) Düsseldorf,Karlsruhe (11.),2:0
23,(8.) Rostock,Hamburg (6.),2:0
24,(11.) Karlsruhe,Hamburg (6.),3:1
24,(10.) TSV 1860,Schalke (4.),1:1
24,(1.) Dortmund,Frankfurt (12.),6:0
24,(9.) Freiburg,Köln (15.),2:0
24,(17.) K'lautern,Bremen (13.),0:0
24,(8.) Leverkusen,Bayern (2.),1:2
24,(18.) Uerdingen,Düsseldorf (16.),1:3
24,(3.) M'gladbach,Stuttgart (5.),1:1
24,(14.) St. Pauli,Rostock (7.),3:2
25,(6.) Hamburg,Uerdingen (18.),0:0
25,(16.) Köln,K'lautern (17.),0:1
25,(13.) Bremen,Leverkusen (9.),2:1
25,(14.) Frankfurt,M'gladbach (3.),0:2
25,(8.) Rostock,Karlsruhe (11.),1:1
25,(4.) Schalke,Freiburg (7.),3:0
25,(5.) Stuttgart,St. Pauli (12.),1:1
25,(2.) Bayern,Dortmund (1.),1:0
25,(15.) Düsseldorf,TSV 1860 (10.),1:1
26,(16.) K'lautern,Schalke (4.),0:0
26,(5.) Stuttgart,Rostock (7.),1:1
26,(18.) Uerdingen,Karlsruhe (11.),2:3
26,(1.) Dortmund,Bremen (12.),1:1
26,(8.) Freiburg,Düsseldorf (14.),1:1
26,(9.) Leverkusen,Köln (17.),1:2
26,(10.) TSV 1860,Hamburg (6.),5:0
26,(13.) St. Pauli,Frankfurt (15.),2:1
26,(3.) M'gladbach,Bayern (2.),3:1
27,(6.) Rostock,Uerdingen (18.),1:0
27,(17.) Frankfurt,Stuttgart (5.),2:2
27,(10.) Karlsruhe,TSV 1860 (9.),1:1
27,(14.) Köln,Dortmund (1.),0:0
27,(4.) Schalke,Leverkusen (12.),1:1
27,(13.) Bremen,M'gladbach (3.),2:0
27,(15.) Düsseldorf,K'lautern (16.),2:1
27,(7.) Hamburg,Freiburg (8.),0:0
27,(2.) Bayern,St. Pauli (11.),1:1
28,(16.) Frankfurt,Rostock (6.),1:3
28,(9.) TSV 1860,Uerdingen (18.),2:1
28,(1.) Dortmund,Schalke (4.),0:0
28,(8.) Freiburg,Karlsruhe (10.),0:3
28,(17.) K'lautern,Hamburg (7.),1:2
28,(3.) M'gladbach,Köln (15.),2:1
28,(12.) St. Pauli,Bremen (11.),1:2
28,(5.) Stuttgart,Bayern (2.),0:1
28,(13.) Leverkusen,Düsseldorf (14.),0:0
29,(9.) Karlsruhe,K'lautern (17.),0:0
29,(18.) Uerdingen,Freiburg (11.),3:1
29,(10.) Bremen,Stuttgart (6.),2:2
29,(14.) Düsseldorf,Dortmund (1.),1:2
29,(15.) Köln,St. Pauli (13.),1:0
29,(2.) Bayern,Frankfurt (16.),1:1
29,(5.) Rostock,TSV 1860 (8.),0:3
29,(4.) Schalke,M'gladbach (3.),3:3
29,(7.) Hamburg,Leverkusen (12.),2:2
30,(17.) K'lautern,Uerdingen (18.),3:0
30,(13.) St. Pauli,Schalke (4.),2:0
30,(1.) Dortmund,Hamburg (8.),1:1
30,(16.) Frankfurt,Bremen (10.),1:0
30,(11.) Freiburg,TSV 1860 (5.),1:0
30,(12.) Leverkusen,Karlsruhe (9.),1:2
30,(2.) Bayern,Rostock (6.),0:1
30,(7.) Stuttgart,Köln (14.),0:1
30,(3.) M'gladbach,Düsseldorf (15.),1:1
31,(5.) Rostock,Freiburg (11.),1:0
31,(6.) Karlsruhe,Dortmund (1.),5:0
31,(4.) Schalke,Stuttgart (8.),2:0
31,(18.) Uerdingen,Leverkusen (13.),3:0
31,(15.) Düsseldorf,St. Pauli (12.),2:0
31,(9.) Hamburg,M'gladbach (3.),2:1
31,(14.) Köln,Frankfurt (16.),3:0
31,(10.) Bremen,Bayern (2.),3:2
31,(7.) TSV 1860,K'lautern (17.),1:1
32,(1.) Dortmund,Uerdingen (18.),5:0
32,(11.) Freiburg,K'lautern (16.),0:0
32,(17.) Frankfurt,Schalke (4.),0:3
32,(15.) Leverkusen,TSV 1860 (8.),2:1
32,(3.) M'gladbach,Karlsruhe (6.),1:2
32,(2.) Bayern,Köln (12.),3:2
32,(5.) Rostock,Bremen (9.),2:1
32,(10.) Stuttgart,Düsseldorf (14.),2:3
32,(13.) St. Pauli,Hamburg (7.),1:1
33,(12.) Düsseldorf,Frankfurt (17.),2:2
33,(11.) Freiburg,Leverkusen (13.),2:1
33,(7.) Hamburg,Stuttgart (10.),3:0
33,(16.) K'lautern,Rostock (5.),2:0
33,(6.) Karlsruhe,St. Pauli (15.),2:2
33,(14.) Köln,Bremen (9.),1:2
33,(8.) TSV 1860,Dortmund (1.),2:2
33,(3.) Schalke,Bayern (2.),2:1
33,(18.) Uerdingen,M'gladbach (4.),0:2
34,(8.) Bremen,Schalke (3.),1:2
34,(1.) Dortmund,Freiburg (10.),3:2
34,(17.) Frankfurt,Hamburg (7.),1:4
34,(14.) Leverkusen,K'lautern (16.),1:1
34,(4.) M'gladbach,TSV 1860 (9.),0:2
34,(2.) Bayern,Düsseldorf (12.),2:2
34,(5.) Rostock,Köln (15.),0:1
34,(13.) St. Pauli,Uerdingen (18.),0:2
34,(11.) Stuttgart,Karlsruhe (6.),3:1
