spieltag,home,away,result
1,Bayern,Hamburg,2:2
1,Schalke,Hannover,3:0
1,Wolfsburg,Köln,2:1
1,Leverkusen,Dortmund,2:3
1,Karlsruhe,VfL Bochum,1:0
1,Cottbus,Hoffenheim,0:3
1,Bielefeld,Bremen,2:2
1,Frankfurt,Hertha BSC,0:2
1,M'gladbach,Stuttgart,1:3
2,(17.) Hannover,Cottbus (18.),0:0
2,(10.) Bremen,Schalke (2.),1:1
2,(8.) Hamburg,Karlsruhe (7.),2:1
2,(3.) Stuttgart,Leverkusen (12.),0:2
2,(4.) Hertha BSC,Bielefeld (11.),1:1
2,(5.) Dortmund,Bayern (9.),1:1
2,(1.) Hoffenheim,M'gladbach (15.),1:0
2,(14.) VfL Bochum,Wolfsburg (6.),2:2
2,(13.) Köln,Frankfurt (16.),1:1
3,(9.) Karlsruhe,Köln (13.),0:2
3,(2.) Schalke,VfL Bochum (14.),1:0
3,(4.) Wolfsburg,Frankfurt (15.),2:2
3,(7.) Leverkusen,Hoffenheim (1.),5:2
3,(17.) Cottbus,Dortmund (5.),0:1
3,(12.) Bielefeld,Hamburg (6.),2:4
3,(18.) M'gladbach,Bremen (11.),3:2
3,(10.) Bayern,Hertha BSC (3.),4:1
3,(8.) Stuttgart,Hannover (16.),2:0
4,(13.) Bremen,Cottbus (17.),3:0
4,(2.) Hamburg,Leverkusen (4.),3:2
4,(10.) Hertha BSC,Wolfsburg (8.),2:2
4,(3.) Dortmund,Schalke (1.),3:3
4,(6.) Hoffenheim,Stuttgart (5.),0:0
4,(9.) Köln,Bayern (7.),0:3
4,(18.) Hannover,M'gladbach (11.),5:1
4,(16.) VfL Bochum,Bielefeld (14.),2:0
4,(15.) Frankfurt,Karlsruhe (12.),2:1
5,(7.) Leverkusen,Hannover (13.),4:0
5,(2.) Bayern,Bremen (9.),2:5
5,(3.) Schalke,Frankfurt (11.),1:0
5,(18.) Cottbus,VfL Bochum (12.),1:1
5,(17.) Bielefeld,Köln (14.),2:0
5,(16.) M'gladbach,Hertha BSC (10.),0:1
5,(8.) Wolfsburg,Hamburg (1.),3:0
5,(5.) Stuttgart,Karlsruhe (15.),3:1
5,(6.) Hoffenheim,Dortmund (4.),4:1
6,(14.) Köln,Schalke (1.),1:0
6,(7.) Bremen,Hoffenheim (2.),5:4
6,(4.) Hamburg,M'gladbach (17.),1:0
6,(15.) Hannover,Bayern (8.),1:0
6,(9.) Hertha BSC,Cottbus (18.),0:1
6,(11.) VfL Bochum,Leverkusen (5.),2:3
6,(10.) Dortmund,Stuttgart (3.),3:0
6,(13.) Frankfurt,Bielefeld (12.),1:1
6,(16.) Karlsruhe,Wolfsburg (6.),2:1
7,(13.) Bielefeld,Karlsruhe (15.),1:2
7,(9.) Bayern,VfL Bochum (16.),3:3
7,(7.) Stuttgart,Bremen (3.),4:1
7,(2.) Leverkusen,Hertha BSC (10.),0:1
7,(18.) M'gladbach,Köln (11.),1:2
7,(6.) Hoffenheim,Frankfurt (14.),2:1
7,(4.) Schalke,Wolfsburg (8.),2:2
7,(5.) Dortmund,Hannover (12.),1:1
7,(17.) Cottbus,Hamburg (1.),1:2
8,(14.) VfL Bochum,M'gladbach (18.),2:2
8,(7.) Bremen,Dortmund (6.),3:3
8,(9.) Wolfsburg,Bielefeld (15.),4:1
8,(13.) Hannover,Hoffenheim (2.),2:5
8,(16.) Frankfurt,Leverkusen (4.),0:2
8,(8.) Hertha BSC,Stuttgart (3.),2:1
8,(12.) Karlsruhe,Bayern (11.),0:1
8,(10.) Köln,Cottbus (17.),1:0
8,(1.) Hamburg,Schalke (5.),1:1
9,(3.) Leverkusen,Köln (9.),2:0
9,(11.) Bayern,Wolfsburg (5.),4:2
9,(6.) Schalke,Bielefeld (16.),0:0
9,(13.) Hannover,Bremen (10.),1:1
9,(17.) Cottbus,Frankfurt (15.),2:3
9,(18.) M'gladbach,Karlsruhe (12.),1:0
9,(7.) Stuttgart,VfL Bochum (14.),2:0
9,(8.) Dortmund,Hertha BSC (4.),1:1
9,(2.) Hoffenheim,Hamburg (1.),3:0
10,(10.) Bremen,Leverkusen (2.),0:2
10,(9.) Wolfsburg,M'gladbach (17.),3:0
10,(13.) Karlsruhe,Schalke (7.),0:3
10,(16.) Bielefeld,Cottbus (18.),1:1
10,(3.) Hamburg,Stuttgart (4.),2:0
10,(12.) Frankfurt,Bayern (5.),1:2
10,(6.) Hertha BSC,Hannover (14.),3:0
10,(15.) VfL Bochum,Hoffenheim (1.),1:3
10,(11.) Köln,Dortmund (8.),0:1
11,(2.) Leverkusen,Wolfsburg (8.),2:0
11,(4.) Bayern,Bielefeld (15.),3:1
11,(10.) Bremen,Hertha BSC (5.),5:1
11,(9.) Stuttgart,Köln (11.),1:3
11,(14.) Hannover,Hamburg (3.),3:0
11,(18.) Cottbus,Schalke (6.),0:2
11,(1.) Hoffenheim,Karlsruhe (13.),4:1
11,(7.) Dortmund,VfL Bochum (16.),1:1
11,(17.) M'gladbach,Frankfurt (12.),1:2
12,(11.) Köln,Hannover (13.),2:1
12,(5.) Hamburg,Dortmund (6.),2:1
12,(9.) Wolfsburg,Cottbus (18.),3:0
12,(14.) Karlsruhe,Leverkusen (2.),3:3
12,(15.) VfL Bochum,Bremen (8.),0:0
12,(16.) Bielefeld,M'gladbach (17.),0:2
12,(4.) Schalke,Bayern (3.),1:2
12,(12.) Frankfurt,Stuttgart (10.),2:2
12,(7.) Hertha BSC,Hoffenheim (1.),1:0
13,(13.) Hannover,VfL Bochum (16.),1:1
13,(11.) Stuttgart,Bielefeld (17.),0:0
13,(1.) Leverkusen,Schalke (6.),2:1
13,(5.) Hertha BSC,Hamburg (4.),2:1
13,(9.) Dortmund,Frankfurt (12.),4:0
13,(18.) Cottbus,Karlsruhe (15.),1:0
13,(14.) M'gladbach,Bayern (3.),2:2
13,(2.) Hoffenheim,Wolfsburg (7.),3:2
13,(10.) Bremen,Köln (8.),3:1
14,(16.) Karlsruhe,Dortmund (6.),0:1
14,(3.) Bayern,Cottbus (18.),4:1
14,(8.) Schalke,M'gladbach (14.),3:1
14,(9.) Wolfsburg,Stuttgart (11.),4:1
14,(12.) Frankfurt,Hannover (13.),4:0
14,(15.) VfL Bochum,Hertha BSC (4.),2:3
14,(17.) Bielefeld,Leverkusen (1.),2:1
14,(10.) Köln,Hoffenheim (2.),1:3
14,(5.) Hamburg,Bremen (7.),2:1
15,(4.) Hertha BSC,Köln (10.),2:1
15,(9.) Bremen,Frankfurt (12.),5:0
15,(2.) Leverkusen,Bayern (3.),0:2
15,(13.) Hannover,Karlsruhe (17.),3:2
15,(15.) M'gladbach,Cottbus (18.),1:3
15,(1.) Hoffenheim,Bielefeld (14.),3:0
15,(11.) Stuttgart,Schalke (7.),2:0
15,(16.) VfL Bochum,Hamburg (5.),1:1
15,(6.) Dortmund,Wolfsburg (8.),0:0
16,(2.) Bayern,Hoffenheim (1.),2:1
