spieltag,home,away,result
1,Dortmund,Stuttgart,1:2
1,Mannheim,Leverkusen,1:1
1,Bremen,Hamburg,2:1
1,Hannover,Karlsruhe,2:3
1,Köln,Uerdingen,1:1
1,M'gladbach,K'lautern,4:1
1,Bayern,Frankfurt,3:0
1,St. Pauli,Nürnberg,0:1
1,St. Kickers,VfL Bochum,1:2
2,(14.) Hamburg,Dortmund (15.),0:0
2,(6.) Stuttgart,Hannover (12.),2:1
2,(5.) VfL Bochum,St. Pauli (16.),0:0
2,(18.) Frankfurt,St. Kickers (13.),1:2
2,(17.) K'lautern,Bremen (4.),0:0
2,(3.) Karlsruhe,Bayern (2.),2:2
2,(10.) Leverkusen,M'gladbach (1.),3:1
2,(7.) Nürnberg,Köln (11.),0:2
2,(9.) Uerdingen,Mannheim (8.),0:0
3,(14.) Dortmund,K'lautern (16.),1:1
3,(6.) Bremen,Leverkusen (3.),3:1
3,(17.) Hannover,Hamburg (13.),2:3
3,(11.) Mannheim,M'gladbach (8.),4:1
3,(15.) St. Pauli,Frankfurt (18.),2:0
3,(9.) St. Kickers,Karlsruhe (5.),1:3
3,(10.) Uerdingen,Nürnberg (12.),3:2
3,(4.) Köln,VfL Bochum (7.),1:0
3,(2.) Bayern,Stuttgart (1.),3:3
4,(18.) Frankfurt,Köln (3.),1:0
4,(1.) Karlsruhe,St. Pauli (8.),3:1
4,(11.) VfL Bochum,Uerdingen (7.),1:1
4,(10.) Hamburg,Bayern (5.),0:1
4,(16.) K'lautern,Hannover (17.),0:0
4,(9.) Leverkusen,Dortmund (12.),2:0
4,(13.) M'gladbach,Bremen (2.),4:1
4,(15.) Nürnberg,Mannheim (6.),1:0
4,(4.) Stuttgart,St. Kickers (14.),4:0
5,(13.) St. Pauli,Stuttgart (1.),2:1
5,(6.) Uerdingen,Frankfurt (16.),4:1
5,(15.) Dortmund,M'gladbach (9.),0:0
5,(18.) Hannover,Leverkusen (4.),2:2
5,(5.) Köln,Karlsruhe (2.),6:1
5,(8.) Mannheim,Bremen (7.),1:1
5,(3.) Bayern,K'lautern (14.),5:1
5,(11.) Nürnberg,VfL Bochum (10.),3:1
5,(17.) St. Kickers,Hamburg (12.),2:0
6,(10.) M'gladbach,Hannover (17.),2:0
6,(12.) VfL Bochum,Mannheim (9.),2:2
6,(18.) Frankfurt,Nürnberg (7.),1:0
6,(14.) Hamburg,St. Pauli (11.),1:1
6,(16.) K'lautern,St. Kickers (13.),6:0
6,(5.) Karlsruhe,Uerdingen (4.),0:1
6,(6.) Leverkusen,Bayern (1.),1:1
6,(3.) Stuttgart,Köln (2.),2:0
6,(8.) Bremen,Dortmund (15.),2:0
7,(11.) St. Pauli,K'lautern (12.),1:1
7,(13.) VfL Bochum,Frankfurt (15.),1:0
7,(18.) Hannover,Bremen (4.),2:2
7,(5.) Köln,Hamburg (14.),1:2
7,(9.) Mannheim,Dortmund (17.),0:3
7,(1.) Bayern,M'gladbach (6.),3:0
7,(10.) Nürnberg,Karlsruhe (8.),1:3
7,(16.) St. Kickers,Leverkusen (7.),1:3
7,(3.) Uerdingen,Stuttgart (2.),0:0
8,(5.) Bremen,Bayern (1.),2:2
8,(15.) Dortmund,Hannover (18.),4:0
8,(16.) Frankfurt,Mannheim (12.),0:0
8,(14.) Hamburg,Uerdingen (3.),3:0
8,(11.) K'lautern,Köln (7.),1:1
8,(6.) Karlsruhe,VfL Bochum (10.),1:3
8,(8.) M'gladbach,St. Kickers (17.),1:1
8,(2.) Stuttgart,Nürnberg (13.),4:0
8,(4.) Leverkusen,St. Pauli (9.),2:2
9,(15.) Nürnberg,Hamburg (9.),1:4
9,(1.) Bayern,Dortmund (12.),1:1
9,(11.) St. Pauli,M'gladbach (10.),1:1
