spieltag,home,away,result
1,Wolfsburg,Stuttgart,2:0
1,Dortmund,Köln,1:0
1,Nürnberg,Schalke,1:2
1,Bremen,Frankfurt,2:3
1,Hertha BSC,Hannover,1:0
1,Mainz,Leverkusen,2:2
1,Hoffenheim,Bayern,1:1
1,VfL Bochum,M'gladbach,3:3
1,Freiburg,Hamburg,1:1
2,(11.) Bayern,Bremen (14.),1:1
2,(18.) Stuttgart,Freiburg (12.),4:2
2,(10.) Hamburg,Dortmund (4.),4:1
2,(8.) Leverkusen,Hoffenheim (13.),1:0
2,(17.) Hannover,Mainz (9.),1:1
2,(2.) Frankfurt,Nürnberg (15.),1:1
2,(16.) Köln,Wolfsburg (1.),1:3
2,(7.) M'gladbach,Hertha BSC (5.),2:1
2,(3.) Schalke,VfL Bochum (6.),3:0
3,(14.) Hoffenheim,Schalke (2.),0:0
3,(9.) Dortmund,Stuttgart (7.),1:1
3,(18.) Köln,Frankfurt (5.),0:0
3,(16.) Freiburg,Leverkusen (6.),0:5
3,(10.) Mainz,Bayern (11.),2:1
3,(13.) Nürnberg,Hannover (15.),0:2
3,(17.) VfL Bochum,Hertha BSC (8.),1:0
3,(1.) Wolfsburg,Hamburg (3.),2:4
3,(12.) Bremen,M'gladbach (4.),3:0
4,(10.) M'gladbach,Mainz (5.),2:0
4,(9.) Stuttgart,Nürnberg (16.),0:0
4,(3.) Schalke,Freiburg (18.),0:1
4,(1.) Leverkusen,VfL Bochum (11.),2:1
4,(8.) Hannover,Hoffenheim (15.),0:1
4,(6.) Frankfurt,Dortmund (12.),1:1
4,(14.) Bayern,Wolfsburg (4.),3:0
4,(13.) Hertha BSC,Bremen (7.),2:3
4,(2.) Hamburg,Köln (17.),3:1
5,(7.) Wolfsburg,Leverkusen (2.),2:3
5,(12.) Dortmund,Bayern (8.),1:5
5,(10.) Hoffenheim,VfL Bochum (14.),3:0
5,(15.) Freiburg,Frankfurt (6.),0:2
5,(11.) Mainz,Hertha BSC (16.),2:1
5,(17.) Nürnberg,M'gladbach (5.),1:0
5,(1.) Hamburg,Stuttgart (9.),3:1
5,(3.) Bremen,Hannover (13.),0:0
5,(18.) Köln,Schalke (4.),1:2
6,(3.) Schalke,Wolfsburg (10.),1:2
6,(5.) Bayern,Nürnberg (13.),2:1
6,(12.) Stuttgart,Köln (18.),0:2
6,(11.) Hannover,Dortmund (14.),1:1
6,(15.) VfL Bochum,Mainz (8.),2:3
6,(9.) M'gladbach,Hoffenheim (7.),2:4
6,(4.) Frankfurt,Hamburg (1.),1:1
6,(17.) Hertha BSC,Freiburg (16.),0:4
6,(2.) Leverkusen,Bremen (6.),0:0
7,(14.) Nürnberg,VfL Bochum (17.),0:1
7,(9.) Wolfsburg,Hannover (12.),4:2
7,(13.) Dortmund,Schalke (7.),0:1
7,(8.) Bremen,Mainz (5.),3:0
