spieltag,home,away,result
1,Hertha BSC,Nürnberg,1:1
1,Bremen,Dortmund,3:2
1,Frankfurt,K'lautern,1:1
1,Karlsruhe,Meiderich,1:4
1,TSV 1860,Braunschweig,1:1
1,Münster,Hamburg,1:1
1,Saarbrücken,Köln,0:2
1,Schalke,Stuttgart,2:0
2,(6.) Braunschweig,Münster (11.),1:0
2,(13.) Dortmund,TSV 1860 (10.),3:3
2,(1.) Meiderich,Frankfurt (7.),3:1
2,(8.) Hamburg,Saarbrücken (15.),4:2
2,(9.) K'lautern,Schalke (4.),2:3
2,(3.) Köln,Karlsruhe (14.),4:0
2,(12.) Nürnberg,Bremen (2.),3:0
2,(16.) Stuttgart,Hertha BSC (5.),2:0
3,(14.) Hertha BSC,K'lautern (11.),2:2
3,(9.) Bremen,Stuttgart (8.),2:2
3,(12.) Frankfurt,Nürnberg (4.),2:3
3,(16.) Karlsruhe,Hamburg (6.),0:4
3,(7.) TSV 1860,Köln (3.),1:3
3,(13.) Münster,Meiderich (1.),4:2
3,(15.) Saarbrücken,Braunschweig (5.),2:2
3,(2.) Schalke,Dortmund (10.),3:1
4,(6.) Braunschweig,Karlsruhe (16.),2:0
4,(13.) Dortmund,Saarbrücken (15.),2:1
4,(5.) Meiderich,Hertha BSC (12.),1:3
4,(3.) Hamburg,Frankfurt (14.),3:0
4,(10.) K'lautern,Bremen (9.),3:0
4,(1.) Köln,Schalke (2.),2:2
4,(4.) Nürnberg,Münster (7.),2:2
4,(8.) Stuttgart,TSV 1860 (11.),1:1
5,(9.) Hertha BSC,Köln (2.),0:3
5,(13.) Bremen,Meiderich (8.),1:1
5,(15.) Frankfurt,Braunschweig (4.),3:0
5,(16.) Karlsruhe,Dortmund (11.),1:3
5,(12.) TSV 1860,K'lautern (6.),3:0
5,(7.) Münster,Stuttgart (10.),4:2
5,(14.) Saarbrücken,Nürnberg (5.),3:5
5,(3.) Schalke,Hamburg (1.),1:0
6,(8.) Meiderich,TSV 1860 (7.),3:0
6,(10.) K'lautern,Münster (5.),0:0
6,(1.) Köln,Bremen (13.),4:3
6,(11.) Stuttgart,Saarbrücken (15.),3:1
6,(3.) Nürnberg,Karlsruhe (16.),2:4
6,(4.) Hamburg,Hertha BSC (12.),5:1
6,(6.) Braunschweig,Schalke (2.),4:3
6,(9.) Dortmund,Frankfurt (14.),3:0
7,(13.) Hertha BSC,Braunschweig (5.),1:2
7,(14.) Frankfurt,Köln (1.),2:1
7,(15.) Karlsruhe,Stuttgart (9.),0:3
7,(11.) TSV 1860,Nürnberg (4.),5:0
7,(16.) Saarbrücken,K'lautern (10.),2:4
7,(3.) Schalke,Meiderich (6.),2:2
