spieltag,home,away,result
1,Dortmund,Hertha BSC,2:2
1,Cottbus,Leverkusen,1:1
1,Nürnberg,VfL Bochum,1:3
1,M'gladbach,Bayern,0:0
1,Schalke,Wolfsburg,1:0
1,Stuttgart,K'lautern,1:1
1,Hamburg,Hannover,2:1
1,Bielefeld,Bremen,3:0
1,TSV 1860,Rostock,0:2
2,(7.) Hertha BSC,Stuttgart (9.),1:1
2,(13.) Bayern,Bielefeld (1.),6:2
2,(14.) Hannover,TSV 1860 (17.),1:3
2,(3.) Rostock,Nürnberg (16.),2:0
2,(2.) VfL Bochum,Cottbus (11.),5:0
2,(8.) Leverkusen,Dortmund (6.),1:1
2,(10.) K'lautern,Schalke (5.),1:3
2,(15.) Wolfsburg,M'gladbach (12.),1:0
2,(18.) Bremen,Hamburg (4.),2:1
3,(16.) Cottbus,Rostock (2.),0:4
3,(5.) TSV 1860,Bremen (9.),3:0
3,(6.) Hamburg,Bayern (4.),0:3
3,(8.) Bielefeld,Wolfsburg (7.),1:0
3,(14.) M'gladbach,K'lautern (15.),3:0
3,(12.) Leverkusen,VfL Bochum (1.),2:4
3,(10.) Dortmund,Stuttgart (13.),3:1
3,(18.) Nürnberg,Hannover (17.),3:1
3,(3.) Schalke,Hertha BSC (11.),0:0
4,(9.) Hertha BSC,M'gladbach (8.),1:2
4,(3.) Bayern,TSV 1860 (5.),3:1
4,(13.) Bremen,Nürnberg (11.),4:1
4,(1.) VfL Bochum,Dortmund (7.),0:0
4,(10.) Wolfsburg,Hamburg (12.),2:1
4,(18.) Hannover,Cottbus (17.),1:3
4,(2.) Rostock,Leverkusen (14.),1:3
4,(15.) Stuttgart,Schalke (4.),1:1
4,(16.) K'lautern,Bielefeld (6.),1:1
5,(12.) Cottbus,Bremen (10.),0:1
5,(16.) Nürnberg,Bayern (2.),1:2
5,(8.) TSV 1860,Wolfsburg (9.),2:2
5,(6.) Bielefeld,Hertha BSC (13.),0:1
5,(5.) M'gladbach,Stuttgart (14.),1:1
5,(11.) Leverkusen,Hannover (18.),1:3
5,(7.) Dortmund,Schalke (4.),1:1
5,(15.) Hamburg,K'lautern (17.),2:0
5,(1.) VfL Bochum,Rostock (3.),0:1
6,(11.) Hertha BSC,Hamburg (12.),2:0
6,(9.) Wolfsburg,Nürnberg (17.),0:2
6,(1.) Bayern,Cottbus (15.),3:1
6,(5.) Bremen,Leverkusen (13.),3:2
6,(16.) Hannover,VfL Bochum (3.),2:2
6,(2.) Rostock,Dortmund (7.),0:1
6,(18.) K'lautern,TSV 1860 (8.),0:0
6,(4.) Schalke,M'gladbach (6.),2:1
6,(14.) Stuttgart,Bielefeld (10.),3:0
7,(17.) Cottbus,Wolfsburg (11.),0:1
7,(9.) TSV 1860,Hertha BSC (7.),1:0
7,(14.) Hamburg,Stuttgart (10.),3:2
7,(12.) Bielefeld,Schalke (3.),2:1
7,(2.) Rostock,Hannover (16.),1:2
7,(15.) Leverkusen,Bayern (1.),2:1
7,(6.) Dortmund,M'gladbach (8.),1:0
7,(13.) Nürnberg,K'lautern (18.),1:0
7,(5.) VfL Bochum,Bremen (4.),1:4
8,(10.) Hertha BSC,Nürnberg (11.),2:1
8,(8.) Wolfsburg,Leverkusen (14.),2:0
8,(1.) Bayern,VfL Bochum (6.),4:1
8,(16.) Hannover,Dortmund (3.),0:3
8,(13.) M'gladbach,Bielefeld (9.),3:0
8,(5.) Schalke,Hamburg (12.),3:0
8,(18.) K'lautern,Cottbus (17.),4:0
8,(2.) Bremen,Rostock (4.),0:0
8,(15.) Stuttgart,TSV 1860 (7.),4:1
9,(18.) Cottbus,Hertha BSC (7.),0:2
9,(10.) TSV 1860,Schalke (4.),3:0
9,(14.) Hamburg,M'gladbach (8.),1:0
9,(16.) Hannover,Bremen (3.),4:4
9,(5.) Rostock,Bayern (1.),0:1
9,(15.) Leverkusen,K'lautern (17.),1:0
9,(2.) Dortmund,Bielefeld (12.),0:0
9,(13.) Nürnberg,Stuttgart (11.),1:2
9,(9.) VfL Bochum,Wolfsburg (6.),4:2
10,(4.) Hertha BSC,Leverkusen (13.),1:1
10,(1.) Bayern,Hannover (16.),3:3
10,(3.) Bremen,Dortmund (2.),1:4
10,(14.) Bielefeld,Hamburg (11.),2:1
10,(12.) M'gladbach,TSV 1860 (7.),0:1
10,(5.) Schalke,Nürnberg (15.),1:1
10,(8.) Stuttgart,Cottbus (18.),0:0
10,(10.) Wolfsburg,Rostock (9.),1:0
10,(17.) K'lautern,VfL Bochum (6.),0:2
11,(18.) Cottbus,Schalke (7.),0:1
11,(15.) Nürnberg,M'gladbach (14.),2:1
11,(4.) TSV 1860,Bielefeld (10.),3:1
11,(16.) Hannover,Wolfsburg (8.),3:1
11,(11.) Rostock,K'lautern (17.),2:2
11,(12.) Leverkusen,Stuttgart (9.),0:1
11,(2.) Dortmund,Hamburg (13.),1:1
11,(5.) Bremen,Bayern (1.),2:0
11,(3.) VfL Bochum,Hertha BSC (6.),3:0
12,(9.) Wolfsburg,Bremen (5.),3:1
12,(1.) Bayern,Dortmund (2.),2:1
12,(13.) Hamburg,TSV 1860 (4.),1:0
12,(11.) Bielefeld,Nürnberg (12.),0:1
12,(6.) Schalke,Leverkusen (14.),0:1
12,(7.) Stuttgart,VfL Bochum (3.),3:2
12,(17.) K'lautern,Hannover (15.),0:1
12,(8.) Hertha BSC,Rostock (10.),3:1
12,(16.) M'gladbach,Cottbus (18.),3:0
13,(18.) Cottbus,Bielefeld (16.),2:1
13,(10.) Nürnberg,Hamburg (11.),1:3
13,(1.) Bayern,Wolfsburg (9.),1:0
13,(13.) Hannover,Hertha BSC (7.),0:1
13,(15.) Rostock,Stuttgart (4.),1:1
13,(12.) Leverkusen,M'gladbach (14.),2:2
13,(2.) Dortmund,TSV 1860 (5.),1:0
13,(6.) Bremen,K'lautern (17.),5:3
13,(3.) VfL Bochum,Schalke (8.),0:2
14,(5.) Hertha BSC,Bremen (3.),0:1
14,(9.) Wolfsburg,Dortmund (2.),2:0
14,(16.) Bielefeld,Leverkusen (11.),2:2
14,(13.) M'gladbach,VfL Bochum (7.),2:2
14,(4.) Schalke,Rostock (14.),2:2
14,(6.) Stuttgart,Hannover (15.),3:0
14,(18.) K'lautern,Bayern (1.),0:2
14,(8.) TSV 1860,Nürnberg (12.),2:2
14,(10.) Hamburg,Cottbus (17.),1:1
15,(17.) Cottbus,TSV 1860 (9.),3:4
15,(12.) Nürnberg,Dortmund (4.),1:2
15,(1.) Bayern,Hertha BSC (6.),2:0
15,(14.) Rostock,M'gladbach (13.),3:1
15,(8.) VfL Bochum,Bielefeld (16.),0:3
15,(11.) Leverkusen,Hamburg (10.),2:3
15,(18.) K'lautern,Wolfsburg (7.),2:0
15,(2.) Bremen,Stuttgart (3.),3:1
15,(15.) Hannover,Schalke (5.),0:2
16,(8.) Hertha BSC,Wolfsburg (9.),2:2
16,(14.) Nürnberg,Cottbus (18.),2:2
16,(6.) TSV 1860,Leverkusen (13.),0:3
16,(12.) Bielefeld,Rostock (11.),3:0
16,(4.) Schalke,Bremen (2.),1:1
16,(5.) Stuttgart,Bayern (1.),0:3
16,(3.) Dortmund,K'lautern (17.),3:1
16,(7.) Hamburg,VfL Bochum (10.),1:1
16,(15.) M'gladbach,Hannover (16.),1:0
17,(18.) Cottbus,Dortmund (2.),0:4
17,(1.) Bayern,Schalke (4.),0:0
17,(3.) Bremen,M'gladbach (13.),2:0
17,(16.) Hannover,Bielefeld (11.),0:0
17,(14.) Rostock,Hamburg (7.),0:0
17,(10.) VfL Bochum,TSV 1860 (6.),1:1
17,(12.) Leverkusen,Nürnberg (15.),0:2
17,(9.) Wolfsburg,Stuttgart (5.),1:2
17,(17.) K'lautern,Hertha BSC (8.),2:1
18,(8.) VfL Bochum,Nürnberg (12.),2:1
18,(13.) Rostock,TSV 1860 (6.),1:4
18,(16.) Hannover,Hamburg (7.),2:2
18,(3.) Bremen,Bielefeld (11.),2:2
18,(10.) Wolfsburg,Schalke (4.),1:2
18,(17.) K'lautern,Stuttgart (5.),1:2
18,(9.) Hertha BSC,Dortmund (2.),2:1
18,(14.) Leverkusen,Cottbus (18.),0:3
18,(1.) Bayern,M'gladbach (15.),3:0
19,(5.) Stuttgart,Hertha BSC (8.),3:1
19,(10.) Bielefeld,Bayern (1.),0:0
19,(6.) TSV 1860,Hannover (16.),0:1
19,(12.) Nürnberg,Rostock (13.),0:1
19,(18.) Cottbus,VfL Bochum (7.),2:1
19,(4.) Schalke,K'lautern (17.),2:2
19,(9.) Hamburg,Bremen (2.),1:0
19,(3.) Dortmund,Leverkusen (14.),2:0
19,(15.) M'gladbach,Wolfsburg (11.),2:0
20,(11.) Rostock,Cottbus (17.),0:0
20,(16.) Hannover,Nürnberg (14.),4:2
20,(3.) Bremen,TSV 1860 (7.),1:2
20,(12.) Wolfsburg,Bielefeld (10.),2:0
20,(18.) K'lautern,M'gladbach (13.),2:0
20,(9.) Hertha BSC,Schalke (5.),4:2
20,(8.) VfL Bochum,Leverkusen (15.),2:1
20,(1.) Bayern,Hamburg (6.),1:1
20,(4.) Stuttgart,Dortmund (2.),1:0
21,(7.) Hamburg,Wolfsburg (10.),2:0
21,(6.) TSV 1860,Bayern (1.),0:5
21,(15.) Nürnberg,Bremen (4.),1:0
21,(16.) Leverkusen,Rostock (11.),1:2
21,(2.) Dortmund,VfL Bochum (8.),4:1
21,(5.) Schalke,Stuttgart (3.),2:0
21,(12.) Bielefeld,K'lautern (17.),1:1
21,(14.) M'gladbach,Hertha BSC (9.),0:2
21,(18.) Cottbus,Hannover (13.),3:0
22,(5.) Bremen,Cottbus (17.),0:1
22,(1.) Bayern,Nürnberg (13.),2:0
22,(11.) Wolfsburg,TSV 1860 (8.),1:1
22,(18.) K'lautern,Hamburg (6.),2:0
22,(10.) Rostock,VfL Bochum (9.),1:1
22,(14.) Hannover,Leverkusen (16.),1:2
22,(4.) Schalke,Dortmund (2.),2:2
22,(7.) Hertha BSC,Bielefeld (12.),0:0
22,(3.) Stuttgart,M'gladbach (15.),4:0
23,(13.) Nürnberg,Wolfsburg (11.),1:1
23,(16.) Cottbus,Bayern (1.),0:2
23,(14.) Leverkusen,Bremen (5.),3:0
23,(9.) VfL Bochum,Hannover (15.),1:2
23,(2.) Dortmund,Rostock (10.),2:0
23,(17.) M'gladbach,Schalke (4.),2:2
23,(8.) TSV 1860,K'lautern (18.),0:0
23,(7.) Hamburg,Hertha BSC (6.),1:0
23,(12.) Bielefeld,Stuttgart (3.),0:1
24,(11.) Wolfsburg,Cottbus (17.),3:2
24,(7.) Hertha BSC,TSV 1860 (8.),6:0
24,(3.) Stuttgart,Hamburg (5.),1:1
24,(4.) Schalke,Bielefeld (13.),1:1
24,(6.) Bremen,VfL Bochum (9.),2:0
24,(1.) Bayern,Leverkusen (12.),3:0
24,(16.) M'gladbach,Dortmund (2.),1:0
24,(18.) K'lautern,Nürnberg (15.),5:0
24,(14.) Hannover,Rostock (10.),3:1
25,(15.) Leverkusen,Wolfsburg (9.),1:1
25,(10.) VfL Bochum,Bayern (1.),1:4
25,(12.) Rostock,Bremen (5.),1:0
25,(2.) Dortmund,Hannover (11.),2:0
25,(13.) Bielefeld,M'gladbach (14.),4:1
25,(6.) Hamburg,Schalke (4.),3:1
25,(18.) Cottbus,K'lautern (16.),1:3
25,(17.) Nürnberg,Hertha BSC (7.),0:3
25,(8.) TSV 1860,Stuttgart (3.),0:1
26,(6.) Schalke,TSV 1860 (8.),1:1
26,(16.) M'gladbach,Hamburg (4.),2:0
26,(7.) Bremen,Hannover (13.),1:2
26,(1.) Bayern,Rostock (10.),1:0
26,(9.) Wolfsburg,VfL Bochum (12.),2:0
26,(14.) K'lautern,Leverkusen (15.),1:0
26,(11.) Bielefeld,Dortmund (2.),0:0
26,(5.) Hertha BSC,Cottbus (18.),3:1
26,(3.) Stuttgart,Nürnberg (17.),0:2
27,(17.) Leverkusen,Hertha BSC (4.),4:1
27,(10.) Hannover,Bayern (1.),2:2
27,(2.) Dortmund,Bremen (7.),1:2
27,(5.) Hamburg,Bielefeld (12.),1:0
27,(16.) Nürnberg,Schalke (6.),0:0
27,(18.) Cottbus,Stuttgart (3.),2:3
27,(14.) VfL Bochum,K'lautern (11.),1:1
27,(13.) Rostock,Wolfsburg (8.),1:0
27,(9.) TSV 1860,M'gladbach (15.),2:0
28,(16.) M'gladbach,Nürnberg (17.),2:0
28,(13.) Bielefeld,TSV 1860 (8.),2:1
28,(1.) Bayern,Bremen (7.),0:1
28,(12.) K'lautern,Rostock (10.),1:0
28,(5.) Hertha BSC,VfL Bochum (14.),1:0
28,(2.) Stuttgart,Leverkusen (15.),3:0
28,(4.) Hamburg,Dortmund (3.),1:1
28,(6.) Schalke,Cottbus (18.),3:0
28,(9.) Wolfsburg,Hannover (11.),1:0
29,(12.) Rostock,Hertha BSC (4.),0:1
29,(7.) Bremen,Wolfsburg (8.),0:1
29,(3.) Dortmund,Bayern (1.),1:0
29,(9.) TSV 1860,Hamburg (5.),1:1
29,(17.) Nürnberg,Bielefeld (11.),0:0
29,(18.) Cottbus,M'gladbach (14.),1:1
29,(13.) Hannover,K'lautern (10.),2:1
29,(16.) Leverkusen,Schalke (6.),1:3
29,(15.) VfL Bochum,Stuttgart (2.),3:1
30,(6.) Hamburg,Nürnberg (17.),4:0
30,(8.) Wolfsburg,Bayern (1.),0:2
30,(4.) Hertha BSC,Hannover (10.),2:0
30,(2.) Stuttgart,Rostock (14.),1:1
30,(5.) Schalke,VfL Bochum (13.),1:2
30,(15.) M'gladbach,Leverkusen (16.),2:2
30,(9.) TSV 1860,Dortmund (3.),0:0
30,(12.) Bielefeld,Cottbus (18.),2:2
30,(11.) K'lautern,Bremen (7.),1:0
31,(7.) Bremen,Hertha BSC (4.),4:2
31,(3.) Dortmund,Wolfsburg (8.),2:2
31,(17.) Nürnberg,TSV 1860 (9.),1:2
31,(18.) Cottbus,Hamburg (5.),0:0
31,(11.) VfL Bochum,M'gladbach (15.),1:1
31,(13.) Hannover,Stuttgart (2.),1:2
31,(1.) Bayern,K'lautern (10.),1:0
31,(16.) Leverkusen,Bielefeld (12.),3:1
31,(14.) Rostock,Schalke (6.),3:1
32,(9.) TSV 1860,Cottbus (18.),3:0
32,(3.) Dortmund,Nürnberg (17.),4:1
32,(4.) Hertha BSC,Bayern (1.),3:6
32,(2.) Stuttgart,Bremen (7.),0:1
32,(15.) M'gladbach,Rostock (11.),3:0
32,(5.) Hamburg,Leverkusen (16.),4:1
32,(8.) Wolfsburg,K'lautern (10.),2:2
32,(6.) Schalke,Hannover (14.),0:2
32,(13.) Bielefeld,VfL Bochum (12.),1:3
33,(9.) Wolfsburg,Hertha BSC (5.),2:0
33,(18.) Cottbus,Nürnberg (17.),2:1
33,(16.) Leverkusen,TSV 1860 (8.),3:0
