spieltag,home,away,result
1,Hertha BSC,Düsseldorf,3:3
1,Braunschweig,TB Berlin,5:0
1,Bremen,Frankfurt,0:3
1,Köln,RW Essen,0:1
1,M'gladbach,Hamburg,1:3
1,Offenbach,Bayern,6:0
1,Schalke,K'lautern,2:1
1,Stuttgart,VfL Bochum,1:0
1,Wuppertal,Duisburg,1:4
2,(10.) Düsseldorf,Stuttgart (7.),4:0
2,(5.) Hamburg,Offenbach (1.),1:0
2,(11.) K'lautern,Braunschweig (2.),2:0
2,(17.) TB Berlin,Bremen (16.),4:0
2,(12.) VfL Bochum,Köln (13.),3:2
2,(3.) Duisburg,Schalke (6.),2:0
2,(8.) RW Essen,Wuppertal (15.),2:0
2,(4.) Frankfurt,M'gladbach (14.),1:1
2,(18.) Bayern,Hertha BSC (9.),2:1
3,(15.) M'gladbach,TB Berlin (10.),3:1
3,(14.) Hertha BSC,Offenbach (6.),4:1
3,(7.) Braunschweig,Duisburg (1.),4:1
3,(18.) Bremen,K'lautern (8.),3:1
3,(5.) Frankfurt,Hamburg (2.),1:3
3,(16.) Köln,Düsseldorf (4.),2:2
3,(11.) Schalke,RW Essen (3.),3:0
3,(12.) Stuttgart,Bayern (13.),1:2
3,(17.) Wuppertal,VfL Bochum (9.),1:1
4,(14.) TB Berlin,Frankfurt (9.),1:4
4,(11.) VfL Bochum,Schalke (5.),2:1
4,(4.) Duisburg,Bremen (16.),4:0
4,(3.) Düsseldorf,Wuppertal (18.),2:0
4,(6.) RW Essen,Braunschweig (2.),1:2
4,(1.) Hamburg,Hertha BSC (8.),1:1
4,(13.) K'lautern,M'gladbach (10.),1:3
4,(7.) Bayern,Köln (17.),6:3
4,(12.) Offenbach,Stuttgart (15.),3:1
5,(2.) Braunschweig,VfL Bochum (8.),2:0
5,(16.) Bremen,RW Essen (12.),0:0
5,(6.) Frankfurt,K'lautern (13.),5:1
5,(17.) Köln,Offenbach (9.),0:1
5,(7.) M'gladbach,Duisburg (4.),4:1
5,(11.) Schalke,Düsseldorf (3.),3:0
5,(15.) Stuttgart,Hertha BSC (10.),1:2
5,(18.) Wuppertal,Bayern (5.),3:1
5,(14.) TB Berlin,Hamburg (1.),0:3
6,(15.) K'lautern,TB Berlin (17.),4:0
6,(5.) Offenbach,Wuppertal (13.),3:1
6,(8.) Hertha BSC,Köln (18.),1:1
6,(11.) VfL Bochum,Bremen (14.),3:1
6,(7.) Duisburg,Frankfurt (3.),1:3
6,(9.) Düsseldorf,Braunschweig (2.),2:2
6,(12.) RW Essen,M'gladbach (4.),1:3
6,(1.) Hamburg,Stuttgart (16.),1:0
6,(10.) Bayern,Schalke (6.),0:2
7,(15.) Bremen,Düsseldorf (7.),0:0
7,(18.) TB Berlin,Duisburg (10.),2:3
7,(3.) Braunschweig,Bayern (11.),3:1
7,(2.) Frankfurt,RW Essen (12.),9:1
7,(13.) K'lautern,Hamburg (1.),1:0
7,(16.) Köln,Stuttgart (17.),4:2
7,(4.) M'gladbach,VfL Bochum (9.),3:0
7,(6.) Schalke,Offenbach (5.),2:0
7,(14.) Wuppertal,Hertha BSC (8.),0:0
8,(8.) Hertha BSC,Schalke (5.),1:0
8,(10.) VfL Bochum,Frankfurt (1.),3:1
8,(9.) Duisburg,K'lautern (11.),3:2
8,(7.) Düsseldorf,M'gladbach (3.),3:2
8,(13.) RW Essen,TB Berlin (18.),3:2
8,(4.) Hamburg,Köln (14.),3:1
8,(12.) Bayern,Bremen (16.),2:0
8,(6.) Offenbach,Braunschweig (2.),2:1
8,(17.) Stuttgart,Wuppertal (15.),5:1
9,(18.) TB Berlin,VfL Bochum (10.),2:0
9,(3.) Braunschweig,Hertha BSC (8.),2:1
9,(17.) Bremen,Offenbach (6.),3:6
9,(9.) Duisburg,Hamburg (1.),2:0
9,(2.) Frankfurt,Düsseldorf (7.),4:0
9,(13.) K'lautern,RW Essen (12.),2:0
9,(4.) M'gladbach,Bayern (11.),1:2
9,(5.) Schalke,Stuttgart (15.),2:0
