spieltag,home,away,result
1,Bielefeld,Oberhausen,0:1
1,VfL Bochum,Braunschweig,1:0
1,Duisburg,Dortmund,2:1
1,Hamburg,Frankfurt,5:1
1,Hannover,Schalke,1:5
1,K'lautern,M'gladbach,1:0
1,Köln,Bremen,0:0
1,Bayern,Düsseldorf,3:1
1,Stuttgart,Hertha BSC,3:0
2,(15.) Hertha BSC,Bayern (4.),2:2
2,(12.) Braunschweig,Stuttgart (3.),1:1
2,(9.) Bremen,K'lautern (7.),2:2
2,(11.) Dortmund,Hamburg (2.),1:1
2,(14.) Düsseldorf,Hannover (17.),2:0
2,(16.) Frankfurt,Köln (10.),2:2
2,(13.) M'gladbach,Bielefeld (18.),5:1
2,(8.) Oberhausen,VfL Bochum (6.),2:3
2,(1.) Schalke,Duisburg (5.),2:0
3,(18.) Bielefeld,K'lautern (6.),1:1
3,(2.) VfL Bochum,M'gladbach (7.),0:2
3,(12.) Duisburg,Düsseldorf (8.),0:0
3,(16.) Frankfurt,Bremen (10.),4:0
3,(3.) Hamburg,Schalke (1.),0:1
3,(17.) Hannover,Hertha BSC (15.),1:1
3,(11.) Köln,Dortmund (13.),2:1
3,(5.) Bayern,Braunschweig (14.),4:1
3,(4.) Stuttgart,Oberhausen (9.),1:1
4,(13.) Hertha BSC,Duisburg (12.),1:0
4,(16.) Braunschweig,Hannover (17.),3:0
4,(14.) Bremen,Bielefeld (18.),4:0
4,(15.) Dortmund,Frankfurt (9.),3:1
4,(11.) Düsseldorf,Hamburg (8.),0:0
4,(6.) K'lautern,VfL Bochum (7.),4:1
4,(3.) M'gladbach,Stuttgart (4.),0:0
4,(10.) Oberhausen,Bayern (2.),1:1
4,(1.) Schalke,Köln (5.),6:2
5,(12.) VfL Bochum,Bielefeld (18.),2:1
5,(13.) Dortmund,Bremen (7.),1:5
5,(16.) Duisburg,Braunschweig (14.),0:0
5,(15.) Frankfurt,Schalke (1.),2:0
5,(6.) Hamburg,Hertha BSC (10.),1:2
5,(17.) Hannover,Oberhausen (8.),1:0
5,(11.) Köln,Düsseldorf (9.),1:2
5,(2.) Bayern,M'gladbach (4.),2:0
5,(5.) Stuttgart,K'lautern (3.),3:1
6,(7.) Hertha BSC,Köln (15.),1:1
6,(18.) Bielefeld,Stuttgart (3.),1:0
6,(13.) Braunschweig,Hamburg (11.),1:1
6,(4.) Bremen,VfL Bochum (8.),2:0
6,(6.) Düsseldorf,Frankfurt (10.),1:0
6,(5.) K'lautern,Bayern (2.),0:2
6,(9.) M'gladbach,Hannover (17.),3:0
6,(12.) Oberhausen,Duisburg (14.),0:1
6,(1.) Schalke,Dortmund (16.),1:0
7,(16.) Dortmund,Düsseldorf (4.),1:0
7,(9.) Duisburg,M'gladbach (5.),1:5
7,(12.) Frankfurt,Hertha BSC (7.),1:1
7,(11.) Hamburg,Oberhausen (15.),3:0
7,(17.) Hannover,K'lautern (8.),1:2
7,(14.) Köln,Braunschweig (13.),2:0
7,(2.) Bayern,Bielefeld (18.),1:1
7,(1.) Schalke,Bremen (3.),2:0
7,(6.) Stuttgart,VfL Bochum (10.),3:2
8,(8.) Hertha BSC,Dortmund (15.),2:1
8,(18.) Bielefeld,Hannover (17.),1:0
8,(12.) VfL Bochum,Bayern (2.),0:2
8,(14.) Braunschweig,Frankfurt (11.),2:0
8,(5.) Bremen,Stuttgart (4.),2:3
8,(7.) Düsseldorf,Schalke (1.),0:2
8,(6.) K'lautern,Duisburg (13.),1:0
8,(3.) M'gladbach,Hamburg (9.),1:0
8,(16.) Oberhausen,Köln (10.),1:1
9,(15.) Dortmund,Braunschweig (11.),2:2
9,(13.) Duisburg,Bielefeld (18.),4:0
9,(8.) Düsseldorf,Bremen (7.),1:3
9,(12.) Frankfurt,Oberhausen (16.),3:0
9,(10.) Hamburg,K'lautern (5.),4:0
9,(17.) Hannover,VfL Bochum (14.),4:0
9,(9.) Köln,M'gladbach (3.),4:3
9,(2.) Bayern,Stuttgart (4.),2:2
9,(1.) Schalke,Hertha BSC (6.),4:0
10,(8.) Hertha BSC,Düsseldorf (13.),1:1
10,(18.) Bielefeld,Hamburg (9.),2:2
10,(15.) VfL Bochum,Duisburg (12.),3:1
10,(11.) Braunschweig,Schalke (1.),0:0
10,(5.) Bremen,Bayern (2.),1:2
10,(7.) K'lautern,Köln (6.),2:0
10,(4.) M'gladbach,Frankfurt (10.),6:2
10,(16.) Oberhausen,Dortmund (14.),1:1
10,(3.) Stuttgart,Hannover (17.),3:2
11,(6.) Hertha BSC,Bremen (8.),2:1
