spieltag,home,away,result
1,Bayern,Schalke,8:0
1,Frankfurt,Bielefeld,1:1
1,Union Berlin,Augsburg,1:3
1,Köln,Hoffenheim,2:3
1,Bremen,Hertha BSC,1:4
1,Stuttgart,Freiburg,2:3
1,Dortmund,M'gladbach,3:0
1,RB Leipzig,Mainz,3:1
1,Wolfsburg,Leverkusen,0:0
2,(2.) Hertha BSC,Frankfurt (8.),1:3
2,(17.) M'gladbach,Union Berlin (15.),1:1
2,(10.) Leverkusen,RB Leipzig (4.),1:1
2,(14.) Mainz,Stuttgart (13.),1:4
2,(5.) Augsburg,Dortmund (3.),2:0
2,(9.) Bielefeld,Köln (12.),1:0
2,(18.) Schalke,Bremen (16.),1:3
2,(7.) Hoffenheim,Bayern (1.),4:1
2,(6.) Freiburg,Wolfsburg (11.),1:1
3,(14.) Union Berlin,Mainz (17.),4:0
3,(10.) Dortmund,Freiburg (5.),4:0
3,(4.) Frankfurt,Hoffenheim (1.),2:1
3,(16.) Köln,M'gladbach (15.),1:3
3,(11.) Bremen,Bielefeld (6.),1:0
3,(8.) Stuttgart,Leverkusen (12.),1:1
3,(3.) RB Leipzig,Schalke (18.),4:0
3,(13.) Wolfsburg,Augsburg (2.),0:0
3,(7.) Bayern,Hertha BSC (9.),4:3
4,(6.) Hoffenheim,Dortmund (5.),0:1
4,(12.) Freiburg,Bremen (7.),1:1
4,(13.) Hertha BSC,Stuttgart (8.),0:2
4,(17.) Mainz,Leverkusen (14.),0:1
4,(2.) Augsburg,RB Leipzig (1.),0:2
4,(10.) Bielefeld,Bayern (4.),1:4
4,(11.) M'gladbach,Wolfsburg (15.),1:1
4,(16.) Köln,Frankfurt (3.),1:1
4,(18.) Schalke,Union Berlin (9.),1:1
5,(5.) Stuttgart,Köln (16.),1:1
5,(2.) Bayern,Frankfurt (4.),5:0
5,(1.) RB Leipzig,Hertha BSC (15.),2:1
5,(10.) Union Berlin,Freiburg (12.),1:1
5,(18.) Mainz,M'gladbach (11.),2:3
5,(3.) Dortmund,Schalke (17.),3:0
5,(13.) Wolfsburg,Bielefeld (14.),2:1
5,(7.) Bremen,Hoffenheim (8.),1:1
5,(9.) Leverkusen,Augsburg (6.),3:1
6,(17.) Schalke,Stuttgart (5.),1:1
6,(8.) Frankfurt,Bremen (7.),1:1
6,(16.) Köln,Bayern (2.),1:2
6,(11.) Augsburg,Mainz (18.),3:1
6,(14.) Bielefeld,Dortmund (3.),0:2
6,(6.) M'gladbach,RB Leipzig (1.),1:0
6,(13.) Freiburg,Leverkusen (4.),2:4
6,(15.) Hertha BSC,Wolfsburg (10.),1:1
6,(9.) Hoffenheim,Union Berlin (12.),1:3
7,(9.) Bremen,Köln (16.),1:1
7,(3.) RB Leipzig,Freiburg (13.),3:0
7,(7.) Union Berlin,Bielefeld (15.),5:0
7,(18.) Mainz,Schalke (17.),2:2
7,(6.) Augsburg,Hertha BSC (14.),0:3
7,(8.) Stuttgart,Frankfurt (10.),2:2
7,(2.) Dortmund,Bayern (1.),2:3
7,(11.) Wolfsburg,Hoffenheim (12.),2:1
7,(4.) Leverkusen,M'gladbach (5.),4:3
8,(1.) Bayern,Bremen (9.),1:1
8,(7.) M'gladbach,Augsburg (10.),1:1
8,(13.) Hoffenheim,Stuttgart (8.),3:3
8,(17.) Schalke,Wolfsburg (6.),0:2
8,(15.) Bielefeld,Leverkusen (4.),1:2
8,(11.) Frankfurt,RB Leipzig (2.),1:1
8,(12.) Hertha BSC,Dortmund (3.),2:5
8,(14.) Freiburg,Mainz (18.),1:3
8,(16.) Köln,Union Berlin (5.),1:2
9,(6.) Wolfsburg,Bremen (9.),5:3
9,(2.) Dortmund,Köln (17.),1:2
9,(4.) RB Leipzig,Bielefeld (16.),2:1
9,(5.) Union Berlin,Frankfurt (11.),3:3
9,(10.) Augsburg,Freiburg (14.),1:1
9,(8.) Stuttgart,Bayern (1.),1:3
9,(7.) M'gladbach,Schalke (18.),4:1
9,(3.) Leverkusen,Hertha BSC (13.),0:0
9,(15.) Mainz,Hoffenheim (12.),1:1
10,(13.) Hertha BSC,Union Berlin (6.),3:1
10,(14.) Freiburg,M'gladbach (7.),2:2
10,(9.) Frankfurt,Dortmund (4.),1:1
10,(15.) Köln,Wolfsburg (5.),2:2
10,(17.) Bielefeld,Mainz (16.),2:1
10,(1.) Bayern,RB Leipzig (2.),3:3
10,(11.) Bremen,Stuttgart (10.),1:2
10,(18.) Schalke,Leverkusen (3.),0:3
10,(12.) Hoffenheim,Augsburg (8.),3:1
11,(5.) Wolfsburg,Frankfurt (9.),2:1
11,(4.) Dortmund,Stuttgart (8.),1:5
11,(3.) RB Leipzig,Bremen (13.),2:0
11,(7.) M'gladbach,Hertha BSC (12.),1:1
11,(14.) Freiburg,Bielefeld (16.),2:0
11,(17.) Mainz,Köln (15.),0:1
11,(6.) Union Berlin,Bayern (1.),1:1
11,(11.) Augsburg,Schalke (18.),2:2
11,(2.) Leverkusen,Hoffenheim (10.),4:1
12,(9.) Frankfurt,M'gladbach (8.),3:3
12,(11.) Hertha BSC,Mainz (17.),0:0
12,(13.) Bremen,Dortmund (5.),1:2
12,(7.) Stuttgart,Union Berlin (6.),2:2
12,(18.) Schalke,Freiburg (14.),0:2
12,(2.) Bayern,Wolfsburg (4.),2:1
12,(12.) Hoffenheim,RB Leipzig (3.),0:1
12,(15.) Köln,Leverkusen (1.),0:4
12,(16.) Bielefeld,Augsburg (10.),0:1
13,(6.) Union Berlin,Dortmund (4.),2:1
13,(3.) RB Leipzig,Köln (15.),0:0
13,(8.) M'gladbach,Hoffenheim (13.),1:2
13,(18.) Schalke,Bielefeld (16.),0:1
13,(17.) Mainz,Bremen (14.),0:1
13,(9.) Augsburg,Frankfurt (10.),0:2
13,(1.) Leverkusen,Bayern (2.),1:2
13,(11.) Freiburg,Hertha BSC (12.),4:1
13,(5.) Wolfsburg,Stuttgart (7.),1:0
14,(12.) Hoffenheim,Freiburg (10.),1:3
14,(9.) Frankfurt,Leverkusen (2.),2:1
14,(15.) Köln,Augsburg (11.),0:1
14,(13.) Bremen,Union Berlin (6.),0:2
14,(16.) Bielefeld,M'gladbach (8.),0:1
14,(14.) Hertha BSC,Schalke (18.),3:0
14,(7.) Stuttgart,RB Leipzig (3.),0:1
14,(5.) Dortmund,Wolfsburg (4.),2:0
14,(1.) Bayern,Mainz (17.),5:2
15,(7.) M'gladbach,Bayern (1.),3:2
15,(3.) Leverkusen,Bremen (14.),1:1
15,(9.) Freiburg,Köln (15.),5:0
15,(5.) Union Berlin,Wolfsburg (6.),2:2
15,(18.) Schalke,Hoffenheim (13.),4:0
15,(17.) Mainz,Frankfurt (8.),0:2
15,(2.) RB Leipzig,Dortmund (4.),1:3
15,(10.) Augsburg,Stuttgart (11.),1:4
15,(16.) Bielefeld,Hertha BSC (12.),1:0
16,(5.) Union Berlin,Leverkusen (3.),1:0
16,(4.) Dortmund,Mainz (18.),1:1
16,(14.) Hoffenheim,Bielefeld (15.),0:0
16,(6.) Wolfsburg,RB Leipzig (2.),2:2
16,(16.) Köln,Hertha BSC (12.),0:0
16,(13.) Bremen,Augsburg (11.),2:0
16,(10.) Stuttgart,M'gladbach (7.),2:2
16,(1.) Bayern,Freiburg (8.),2:1
16,(9.) Frankfurt,Schalke (17.),3:1
17,(8.) M'gladbach,Bremen (12.),1:0
17,(3.) Leverkusen,Dortmund (4.),2:1
17,(13.) Hertha BSC,Hoffenheim (14.),0:3
17,(17.) Mainz,Wolfsburg (6.),0:2
17,(18.) Schalke,Köln (16.),1:2
17,(2.) RB Leipzig,Union Berlin (5.),1:0
17,(9.) Freiburg,Frankfurt (7.),2:2
17,(11.) Augsburg,Bayern (1.),0:1
17,(15.) Bielefeld,Stuttgart (10.),3:0
18,(7.) M'gladbach,Dortmund (4.),4:2
18,(3.) Leverkusen,Wolfsburg (5.),0:1
18,(9.) Freiburg,Stuttgart (10.),2:1
18,(17.) Mainz,RB Leipzig (2.),3:2
18,(12.) Augsburg,Union Berlin (6.),2:1
18,(15.) Bielefeld,Frankfurt (8.),1:5
18,(14.) Hertha BSC,Bremen (13.),1:4
18,(18.) Schalke,Bayern (1.),0:4
18,(11.) Hoffenheim,Köln (16.),3:0
19,(10.) Stuttgart,Mainz (17.),2:0
19,(1.) Bayern,Hoffenheim (11.),4:1
19,(7.) Dortmund,Augsburg (12.),3:1
19,(6.) Frankfurt,Hertha BSC (14.),3:1
19,(8.) Union Berlin,M'gladbach (5.),1:1
19,(13.) Bremen,Schalke (18.),1:1
19,(2.) RB Leipzig,Leverkusen (3.),1:0
19,(16.) Köln,Bielefeld (15.),3:1
19,(4.) Wolfsburg,Freiburg (9.),3:0
20,(15.) Hertha BSC,Bayern (1.),0:1
20,(5.) Leverkusen,Stuttgart (10.),5:2
20,(9.) Freiburg,Dortmund (6.),2:1
20,(18.) Schalke,RB Leipzig (2.),0:3
20,(17.) Mainz,Union Berlin (8.),1:0
20,(13.) Augsburg,Wolfsburg (3.),0:2
20,(7.) M'gladbach,Köln (14.),1:2
20,(12.) Hoffenheim,Frankfurt (4.),1:3
20,(16.) Bielefeld,Bremen (11.),0:2
21,(2.) RB Leipzig,Augsburg (13.),2:1
21,(6.) Dortmund,Hoffenheim (12.),2:2
21,(5.) Leverkusen,Mainz (17.),2:2
21,(11.) Bremen,Freiburg (8.),0:0
21,(10.) Stuttgart,Hertha BSC (15.),1:1
21,(9.) Union Berlin,Schalke (18.),0:0
21,(4.) Frankfurt,Köln (14.),2:0
21,(3.) Wolfsburg,M'gladbach (7.),0:0
21,(1.) Bayern,Bielefeld (16.),3:3
22,(16.) Bielefeld,Wolfsburg (4.),0:3
22,(7.) M'gladbach,Mainz (17.),1:2
22,(8.) Freiburg,Union Berlin (9.),0:1
22,(3.) Frankfurt,Bayern (1.),2:1
22,(14.) Köln,Stuttgart (10.),0:1
22,(18.) Schalke,Dortmund (6.),0:4
22,(13.) Augsburg,Leverkusen (5.),1:1
22,(15.) Hertha BSC,RB Leipzig (2.),0:3
22,(12.) Hoffenheim,Bremen (11.),4:0
23,(12.) Bremen,Frankfurt (4.),2:1
23,(1.) Bayern,Köln (14.),5:1
23,(6.) Dortmund,Bielefeld (16.),3:0
23,(3.) Wolfsburg,Hertha BSC (15.),2:0
23,(10.) Stuttgart,Schalke (18.),5:1
23,(2.) RB Leipzig,M'gladbach (8.),3:2
23,(7.) Union Berlin,Hoffenheim (11.),1:1
23,(17.) Mainz,Augsburg (13.),0:1
23,(5.) Leverkusen,Freiburg (9.),1:2
24,(18.) Schalke,Mainz (17.),0:0
24,(9.) M'gladbach,Leverkusen (6.),0:1
24,(12.) Hoffenheim,Wolfsburg (3.),2:1
24,(8.) Freiburg,RB Leipzig (2.),0:3
24,(4.) Frankfurt,Stuttgart (10.),1:1
24,(15.) Hertha BSC,Augsburg (13.),2:1
24,(1.) Bayern,Dortmund (5.),4:2
24,(14.) Köln,Bremen (11.),1:1
24,(16.) Bielefeld,Union Berlin (7.),0:0
25,(13.) Augsburg,M'gladbach (10.),3:1
25,(3.) Wolfsburg,Schalke (18.),5:0
25,(7.) Union Berlin,Köln (14.),2:1
25,(17.) Mainz,Freiburg (8.),1:0
25,(12.) Bremen,Bayern (1.),1:3
25,(6.) Dortmund,Hertha BSC (15.),2:0
25,(5.) Leverkusen,Bielefeld (16.),1:2
25,(2.) RB Leipzig,Frankfurt (4.),1:1
25,(9.) Stuttgart,Hoffenheim (11.),2:0
26,(15.) Bielefeld,RB Leipzig (2.),0:1
26,(1.) Bayern,Stuttgart (8.),4:0
26,(4.) Frankfurt,Union Berlin (7.),5:2
26,(14.) Köln,Dortmund (5.),2:2
26,(12.) Bremen,Wolfsburg (3.),1:2
26,(18.) Schalke,M'gladbach (10.),0:3
26,(11.) Hoffenheim,Mainz (17.),1:2
26,(16.) Hertha BSC,Leverkusen (6.),3:0
26,(9.) Freiburg,Augsburg (13.),2:0
27,(5.) Dortmund,Frankfurt (4.),1:2
27,(6.) Leverkusen,Schalke (18.),2:1
27,(3.) Wolfsburg,Köln (16.),1:0
27,(15.) Mainz,Bielefeld (17.),1:1
27,(13.) Augsburg,Hoffenheim (11.),2:1
27,(2.) RB Leipzig,Bayern (1.),0:1
27,(10.) M'gladbach,Freiburg (8.),2:1
27,(9.) Stuttgart,Bremen (12.),1:0
27,(7.) Union Berlin,Hertha BSC (14.),1:1
28,(17.) Bielefeld,Freiburg (10.),1:0
28,(1.) Bayern,Union Berlin (7.),1:1
28,(4.) Frankfurt,Wolfsburg (3.),4:3
28,(14.) Hertha BSC,M'gladbach (9.),2:2
