spieltag,home,away,result
1,Duisburg,Bielefeld,1:1
1,Braunschweig,Köln,1:0
1,Darmstadt,Hertha BSC,0:0
1,Dortmund,Bayern,1:0
1,Düsseldorf,Bremen,3:1
1,Hamburg,M'gladbach,3:0
1,K'lautern,Stuttgart,5:1
1,Nürnberg,VfL Bochum,0:2
1,Schalke,Frankfurt,4:0
2,(10.) Hertha BSC,K'lautern (1.),0:3
2,(9.) Bielefeld,Schalke (2.),3:2
2,(5.) VfL Bochum,Düsseldorf (4.),2:2
2,(14.) Bremen,Hamburg (3.),1:1
2,(18.) Frankfurt,Braunschweig (6.),3:1
2,(12.) Köln,Darmstadt (11.),2:1
2,(16.) M'gladbach,Dortmund (7.),2:2
2,(13.) Bayern,Duisburg (8.),6:2
2,(17.) Stuttgart,Nürnberg (15.),4:0
3,(6.) Dortmund,Bremen (14.),1:0
3,(3.) Düsseldorf,Stuttgart (9.),2:0
3,(11.) Braunschweig,Darmstadt (13.),4:1
3,(17.) Duisburg,M'gladbach (15.),0:3
3,(12.) Frankfurt,Bielefeld (5.),1:0
3,(2.) Hamburg,VfL Bochum (4.),1:1
3,(1.) K'lautern,Köln (10.),1:1
3,(18.) Nürnberg,Hertha BSC (16.),2:1
3,(7.) Schalke,Bayern (8.),2:1
4,(17.) Hertha BSC,Düsseldorf (2.),4:1
4,(10.) Bielefeld,Braunschweig (6.),2:2
4,(7.) VfL Bochum,Dortmund (3.),4:1
4,(15.) Bremen,Duisburg (18.),3:2
4,(16.) Darmstadt,K'lautern (1.),2:2
4,(11.) Köln,Nürnberg (14.),2:0
4,(9.) M'gladbach,Schalke (4.),0:0
4,(12.) Bayern,Frankfurt (8.),3:1
4,(13.) Stuttgart,Hamburg (5.),1:0
5,(18.) Duisburg,VfL Bochum (2.),1:0
5,(3.) Schalke,Bremen (15.),2:1
5,(10.) Bielefeld,Bayern (8.),0:2
5,(4.) Braunschweig,K'lautern (1.),0:0
5,(7.) Dortmund,Stuttgart (12.),4:3
5,(6.) Düsseldorf,Köln (5.),1:1
5,(13.) Frankfurt,M'gladbach (11.),2:0
5,(9.) Hamburg,Hertha BSC (14.),4:1
5,(17.) Nürnberg,Darmstadt (16.),3:2
6,(16.) Hertha BSC,Dortmund (3.),4:0
6,(6.) VfL Bochum,Schalke (2.),2:2
6,(15.) Bremen,Frankfurt (10.),0:2
6,(18.) Darmstadt,Düsseldorf (9.),1:6
6,(1.) K'lautern,Nürnberg (14.),3:0
6,(8.) Köln,Hamburg (5.),1:3
6,(13.) M'gladbach,Bielefeld (12.),4:1
