spieltag,home,away,result
1,Dortmund,Karlsruhe,2:1
1,Hamburg,Nürnberg,5:2
1,M'gladbach,Frankfurt,0:4
1,Duisburg,Leverkusen,2:2
1,Köln,K'lautern,0:2
1,VfB Leipzig,Dresden,3:3
1,Bayern,Freiburg,3:1
1,Wattenscheid,Schalke,3:0
1,Bremen,Stuttgart,5:1
2,(18.) Dresden,Duisburg (10.),0:1
2,(14.) Nürnberg,Köln (13.),1:0
2,(2.) Frankfurt,Bremen (1.),2:2
2,(12.) Freiburg,Wattenscheid (4.),4:1
2,(6.) K'lautern,M'gladbach (17.),4:2
2,(11.) Karlsruhe,Hamburg (3.),2:0
2,(9.) Leverkusen,Bayern (5.),2:1
2,(15.) Schalke,Dortmund (7.),1:0
2,(16.) Stuttgart,VfB Leipzig (8.),0:0
3,(2.) Bremen,VfB Leipzig (11.),3:1
3,(10.) Wattenscheid,Leverkusen (4.),1:2
3,(16.) Köln,Karlsruhe (9.),2:1
3,(12.) Dortmund,Freiburg (6.),3:2
3,(5.) Duisburg,Stuttgart (15.),2:2
3,(3.) Frankfurt,K'lautern (1.),1:0
3,(7.) Hamburg,Schalke (14.),4:1
3,(17.) M'gladbach,Nürnberg (13.),2:0
3,(8.) Bayern,Dresden (18.),5:0
4,(9.) Freiburg,Hamburg (5.),0:1
4,(10.) Karlsruhe,M'gladbach (14.),1:0
4,(12.) VfB Leipzig,Duisburg (8.),1:1
4,(18.) Dresden,Wattenscheid (11.),1:1
4,(6.) K'lautern,Bremen (1.),2:3
4,(3.) Leverkusen,Dortmund (7.),2:1
4,(15.) Nürnberg,Frankfurt (2.),1:5
4,(17.) Schalke,Köln (13.),1:2
4,(16.) Stuttgart,Bayern (4.),2:2
5,(2.) Bremen,Duisburg (6.),1:5
5,(1.) Frankfurt,Karlsruhe (8.),3:1
5,(7.) K'lautern,Nürnberg (17.),3:1
5,(15.) M'gladbach,Schalke (16.),3:2
5,(11.) Wattenscheid,Stuttgart (13.),2:4
5,(9.) Dortmund,Dresden (18.),4:0
5,(4.) Hamburg,Leverkusen (3.),2:1
5,(10.) Köln,Freiburg (14.),2:0
5,(5.) Bayern,VfB Leipzig (12.),3:0
6,(11.) Karlsruhe,K'lautern (7.),1:1
6,(17.) Nürnberg,Bremen (5.),0:1
6,(4.) Duisburg,Bayern (3.),2:2
6,(15.) Freiburg,M'gladbach (12.),3:3
6,(14.) VfB Leipzig,Wattenscheid (13.),0:0
6,(6.) Leverkusen,Köln (9.),2:1
6,(16.) Schalke,Frankfurt (1.),1:3
6,(10.) Stuttgart,Dortmund (8.),2:2
6,(18.) Dresden,Hamburg (2.),1:1
7,(7.) Dortmund,VfB Leipzig (14.),0:1
7,(12.) M'gladbach,Leverkusen (4.),2:2
7,(17.) Nürnberg,Karlsruhe (11.),1:1
7,(13.) Wattenscheid,Duisburg (6.),0:2
7,(1.) Frankfurt,Freiburg (15.),3:0
7,(2.) Hamburg,Stuttgart (10.),3:2
7,(8.) K'lautern,Schalke (16.),0:0
7,(9.) Köln,Dresden (18.),0:1
7,(3.) Bremen,Bayern (5.),1:0
8,(15.) Freiburg,K'lautern (7.),2:3
8,(13.) VfB Leipzig,Hamburg (2.),1:4
8,(11.) Stuttgart,Köln (10.),1:1
8,(18.) Dresden,M'gladbach (12.),2:1
8,(4.) Duisburg,Dortmund (8.),2:2
8,(5.) Leverkusen,Frankfurt (1.),2:2
8,(6.) Bayern,Wattenscheid (14.),3:3
8,(16.) Schalke,Nürnberg (17.),1:2
8,(9.) Karlsruhe,Bremen (3.),0:3
9,(1.) Frankfurt,Dresden (17.),3:2
9,(2.) Hamburg,Duisburg (4.),0:1
9,(11.) Karlsruhe,Schalke (18.),0:0
9,(3.) Bremen,Wattenscheid (14.),0:0
9,(8.) Dortmund,Bayern (7.),1:1
9,(6.) K'lautern,Leverkusen (5.),3:2
9,(9.) Köln,VfB Leipzig (13.),3:1
9,(15.) Nürnberg,Freiburg (16.),2:2
9,(12.) M'gladbach,Stuttgart (10.),0:2
10,(4.) Duisburg,Köln (9.),0:0
10,(18.) Dresden,K'lautern (5.),3:1
10,(16.) Freiburg,Karlsruhe (11.),3:3
10,(14.) VfB Leipzig,M'gladbach (13.),1:1
10,(6.) Leverkusen,Nürnberg (15.),4:0
10,(7.) Bayern,Hamburg (3.),4:0
10,(17.) Schalke,Bremen (2.),1:1
10,(10.) Stuttgart,Frankfurt (1.),0:2
10,(12.) Wattenscheid,Dortmund (8.),1:2
11,(2.) Bremen,Dortmund (8.),4:0
11,(11.) Karlsruhe,Leverkusen (4.),2:0
11,(15.) Nürnberg,Dresden (17.),3:0
11,(1.) Frankfurt,VfB Leipzig (13.),2:1
11,(5.) Hamburg,Wattenscheid (14.),2:1
11,(7.) K'lautern,Stuttgart (10.),5:0
11,(9.) Köln,Bayern (6.),0:4
11,(12.) M'gladbach,Duisburg (3.),4:1
11,(18.) Schalke,Freiburg (16.),1:3
12,(6.) Duisburg,Frankfurt (1.),1:0
12,(16.) Wattenscheid,Köln (10.),2:2
12,(17.) Dresden,Karlsruhe (9.),1:1
12,(8.) Dortmund,Hamburg (3.),2:1
12,(14.) Freiburg,Bremen (2.),0:0
12,(7.) Leverkusen,Schalke (18.),5:1
12,(4.) Bayern,M'gladbach (11.),3:1
12,(12.) Stuttgart,Nürnberg (13.),1:0
12,(15.) VfB Leipzig,K'lautern (5.),0:0
13,(5.) K'lautern,Duisburg (4.),2:0
13,(12.) M'gladbach,Wattenscheid (16.),3:3
13,(15.) Nürnberg,VfB Leipzig (14.),5:0
13,(1.) Frankfurt,Bayern (3.),2:2
13,(13.) Freiburg,Leverkusen (6.),1:0
13,(10.) Köln,Dortmund (8.),2:0
13,(18.) Schalke,Dresden (17.),0:0
13,(2.) Bremen,Hamburg (7.),0:2
13,(9.) Karlsruhe,Stuttgart (11.),0:0
14,(8.) Dortmund,M'gladbach (13.),3:0
14,(17.) Dresden,Freiburg (12.),1:2
14,(6.) Duisburg,Nürnberg (14.),1:0
14,(5.) Hamburg,Köln (9.),2:4
14,(16.) VfB Leipzig,Karlsruhe (10.),1:0
14,(7.) Leverkusen,Bremen (2.),2:2
14,(3.) Bayern,K'lautern (4.),4:0
14,(11.) Stuttgart,Schalke (18.),3:0
14,(15.) Wattenscheid,Frankfurt (1.),0:0
15,(5.) K'lautern,Wattenscheid (16.),4:1
15,(14.) M'gladbach,Hamburg (6.),2:2
15,(18.) Schalke,VfB Leipzig (15.),3:1
15,(17.) Dresden,Leverkusen (7.),1:1
15,(1.) Frankfurt,Dortmund (8.),2:0
15,(11.) Freiburg,Stuttgart (10.),2:1
15,(12.) Karlsruhe,Duisburg (4.),5:0
15,(9.) Köln,Bremen (3.),2:0
15,(13.) Nürnberg,Bayern (2.),2:0
16,(6.) Duisburg,Schalke (18.),1:0
