spieltag,home,away,result
1,Aachen,TSV 1860,0:0
1,Hertha BSC,Duisburg,1:0
1,Hamburg,K'lautern,2:1
1,Hannover,Dortmund,4:2
1,Köln,Braunschweig,3:2
1,Bayern,RW Essen,4:0
1,Oberhausen,Frankfurt,3:1
1,Schalke,M'gladbach,2:0
1,Stuttgart,Bremen,1:1
2,(16.) Frankfurt,Schalke (4.),2:1
2,(12.) Braunschweig,Hannover (2.),1:1
2,(8.) Bremen,Köln (5.),2:1
2,(15.) Dortmund,Hamburg (6.),2:1
2,(14.) Duisburg,Stuttgart (9.),1:1
2,(18.) RW Essen,Aachen (11.),2:0
2,(13.) K'lautern,Oberhausen (3.),0:0
2,(17.) M'gladbach,Bayern (1.),2:1
2,(10.) TSV 1860,Hertha BSC (7.),2:0
3,(5.) Bayern,Frankfurt (11.),2:1
3,(7.) Köln,Duisburg (17.),6:2
3,(13.) Hertha BSC,Aachen (18.),2:1
3,(8.) Hamburg,Braunschweig (15.),3:3
3,(1.) Hannover,Bremen (4.),3:2
3,(12.) M'gladbach,RW Essen (14.),2:1
3,(2.) Oberhausen,Dortmund (10.),2:1
3,(6.) Schalke,K'lautern (16.),4:2
3,(9.) Stuttgart,TSV 1860 (3.),3:1
4,(18.) Duisburg,Hannover (1.),1:0
4,(14.) Frankfurt,M'gladbach (7.),1:2
4,(17.) Aachen,Stuttgart (6.),4:2
4,(12.) Braunschweig,Oberhausen (2.),0:4
4,(10.) Bremen,Hamburg (9.),1:1
4,(13.) Dortmund,Schalke (5.),1:1
4,(15.) RW Essen,Hertha BSC (8.),5:2
4,(16.) K'lautern,Bayern (4.),0:0
4,(11.) TSV 1860,Köln (3.),1:0
5,(16.) Frankfurt,RW Essen (8.),2:1
5,(2.) M'gladbach,K'lautern (17.),1:1
5,(3.) Bayern,Dortmund (14.),3:0
5,(10.) Hamburg,Duisburg (15.),4:1
5,(5.) Hannover,TSV 1860 (6.),3:1
5,(7.) Köln,Aachen (13.),3:0
5,(1.) Oberhausen,Bremen (11.),3:1
5,(4.) Schalke,Braunschweig (18.),1:1
5,(9.) Stuttgart,Hertha BSC (12.),1:4
6,(8.) Hertha BSC,Köln (5.),1:0
6,(18.) Duisburg,Oberhausen (1.),2:1
6,(15.) Aachen,Hannover (3.),1:1
6,(16.) Braunschweig,Bayern (2.),0:4
6,(12.) Bremen,Schalke (7.),0:1
6,(17.) Dortmund,M'gladbach (4.),2:1
6,(10.) RW Essen,Stuttgart (13.),3:3
6,(14.) K'lautern,Frankfurt (11.),2:0
6,(9.) TSV 1860,Hamburg (6.),0:2
7,(16.) Frankfurt,Dortmund (13.),2:0
7,(3.) Hamburg,Aachen (17.),4:1
7,(4.) Hannover,Hertha BSC (6.),2:1
7,(10.) K'lautern,RW Essen (9.),0:0
7,(8.) Köln,Stuttgart (11.),3:1
7,(7.) M'gladbach,Braunschweig (18.),1:0
7,(1.) Bayern,Bremen (15.),4:1
7,(2.) Oberhausen,TSV 1860 (12.),3:0
7,(5.) Schalke,Duisburg (14.),0:0
8,(12.) Duisburg,Bayern (1.),4:2
8,(15.) TSV 1860,Schalke (5.),0:2
8,(17.) Aachen,Oberhausen (2.),2:0
8,(8.) Hertha BSC,Hamburg (3.),1:0
8,(18.) Braunschweig,Frankfurt (11.),3:1
8,(16.) Bremen,M'gladbach (6.),0:0
8,(14.) Dortmund,K'lautern (10.),5:1
8,(9.) RW Essen,Köln (7.),0:0
8,(13.) Stuttgart,Hannover (4.),2:1
