spieltag,home,away,result
1,Duisburg,Stuttgart,1:0
1,VfL Bochum,Köln,2:2
1,Leverkusen,M'gladbach,1:0
1,Bremen,Bayern,1:1
1,Dresden,K'lautern,0:1
1,Düsseldorf,Frankfurt,1:2
1,Karlsruhe,Dortmund,2:2
1,Rostock,Nürnberg,4:0
1,Schalke,Hamburg,0:0
1,St. Kickers,Wattenscheid,3:0
2,(19.) Wattenscheid,Leverkusen (6.),3:0
2,(13.) Hamburg,Dresden (17.),2:0
2,(16.) M'gladbach,Duisburg (4.),0:0
2,(8.) Dortmund,Bremen (11.),2:1
2,(3.) Frankfurt,Schalke (14.),5:0
2,(5.) K'lautern,VfL Bochum (7.),1:1
2,(10.) Köln,St. Kickers (2.),0:0
2,(12.) Bayern,Rostock (1.),1:2
2,(20.) Nürnberg,Düsseldorf (15.),3:1
2,(18.) Stuttgart,Karlsruhe (9.),1:0
3,(7.) Duisburg,Wattenscheid (8.),0:0
3,(9.) VfL Bochum,Hamburg (4.),2:3
3,(20.) Dresden,Frankfurt (1.),2:1
3,(14.) Karlsruhe,M'gladbach (17.),2:0
3,(16.) Bremen,Stuttgart (11.),1:1
3,(19.) Düsseldorf,Bayern (15.),0:1
3,(10.) Köln,K'lautern (6.),1:1
3,(2.) Rostock,Dortmund (5.),5:1
3,(18.) Schalke,Nürnberg (12.),1:0
3,(3.) St. Kickers,Leverkusen (13.),0:1
4,(13.) Dortmund,Düsseldorf (20.),3:1
4,(19.) M'gladbach,Bremen (16.),0:2
4,(11.) Bayern,Schalke (14.),3:2
4,(18.) Nürnberg,Dresden (17.),1:1
4,(10.) Wattenscheid,Karlsruhe (8.),1:1
4,(3.) Frankfurt,VfL Bochum (15.),2:1
4,(2.) Hamburg,Köln (9.),1:1
4,(4.) K'lautern,St. Kickers (7.),4:3
4,(6.) Leverkusen,Duisburg (5.),2:1
4,(12.) Stuttgart,Rostock (1.),3:0
5,(15.) Dresden,Bayern (7.),0:2
5,(9.) Bremen,Wattenscheid (11.),2:2
5,(20.) Düsseldorf,Stuttgart (6.),0:3
5,(4.) K'lautern,Hamburg (3.),0:0
5,(10.) Karlsruhe,Leverkusen (5.),0:0
5,(12.) Köln,Frankfurt (2.),1:1
5,(1.) Rostock,M'gladbach (19.),2:1
5,(17.) Schalke,Dortmund (8.),5:2
5,(18.) VfL Bochum,Nürnberg (16.),0:3
5,(14.) St. Kickers,Duisburg (13.),0:1
6,(12.) Wattenscheid,Rostock (1.),0:0
6,(8.) Duisburg,Karlsruhe (10.),6:2
6,(7.) Leverkusen,Bremen (9.),0:0
6,(19.) M'gladbach,Düsseldorf (20.),3:1
6,(3.) Stuttgart,Schalke (14.),1:0
6,(15.) Dortmund,Dresden (17.),4:0
6,(2.) Frankfurt,K'lautern (6.),2:0
6,(5.) Hamburg,St. Kickers (16.),0:3
6,(4.) Bayern,VfL Bochum (18.),0:2
6,(11.) Nürnberg,Köln (13.),4:0
7,(11.) Bremen,Duisburg (4.),5:1
7,(20.) Düsseldorf,Wattenscheid (12.),4:3
7,(14.) Schalke,M'gladbach (18.),3:1
7,(17.) VfL Bochum,Dortmund (8.),0:0
7,(19.) Dresden,Stuttgart (3.),1:0
7,(10.) Hamburg,Frankfurt (1.),2:1
7,(9.) K'lautern,Nürnberg (6.),3:0
7,(16.) Köln,Bayern (7.),1:1
7,(2.) Rostock,Leverkusen (5.),2:2
7,(13.) St. Kickers,Karlsruhe (15.),1:1
8,(10.) Dortmund,Köln (16.),3:1
8,(2.) Frankfurt,St. Kickers (13.),6:1
8,(15.) Karlsruhe,Bremen (7.),2:1
8,(6.) Leverkusen,Düsseldorf (20.),1:1
8,(19.) M'gladbach,Dresden (18.),1:0
8,(9.) Bayern,K'lautern (4.),1:0
8,(11.) Nürnberg,Hamburg (5.),1:1
8,(3.) Stuttgart,VfL Bochum (17.),4:1
8,(14.) Wattenscheid,Schalke (12.),1:2
8,(8.) Duisburg,Rostock (1.),2:0
9,(18.) VfL Bochum,M'gladbach (17.),3:1
9,(20.) Düsseldorf,Duisburg (4.),1:1
9,(3.) Rostock,Karlsruhe (13.),1:2
9,(19.) Dresden,Wattenscheid (15.),3:0
9,(7.) Hamburg,Bayern (6.),1:0
9,(9.) K'lautern,Dortmund (5.),4:0
9,(16.) Köln,Stuttgart (2.),1:1
9,(10.) Schalke,Leverkusen (8.),0:0
9,(14.) St. Kickers,Bremen (11.),2:1
9,(1.) Frankfurt,Nürnberg (12.),2:2
10,(10.) Karlsruhe,Düsseldorf (20.),1:5
10,(19.) M'gladbach,Köln (17.),2:2
10,(18.) Wattenscheid,VfL Bochum (15.),1:2
10,(13.) Bremen,Rostock (7.),1:0
10,(11.) Dortmund,Hamburg (3.),2:2
10,(6.) Leverkusen,Dresden (16.),4:0
10,(8.) Bayern,Frankfurt (1.),3:3
10,(12.) Nürnberg,St. Kickers (14.),2:0
10,(2.) Stuttgart,K'lautern (4.),4:1
10,(5.) Duisburg,Schalke (9.),2:0
11,(14.) VfL Bochum,Leverkusen (4.),0:2
11,(16.) Köln,Wattenscheid (19.),1:1
11,(6.) Nürnberg,Bayern (8.),1:1
11,(17.) Dresden,Duisburg (3.),0:0
11,(18.) Düsseldorf,Bremen (10.),0:0
11,(2.) Frankfurt,Dortmund (9.),3:0
11,(5.) Hamburg,Stuttgart (1.),1:1
11,(7.) K'lautern,M'gladbach (20.),4:2
11,(12.) Schalke,Karlsruhe (13.),3:1
11,(15.) St. Kickers,Rostock (11.),1:1
12,(4.) Duisburg,VfL Bochum (15.),1:1
12,(12.) Dortmund,Nürnberg (7.),3:2
12,(13.) Karlsruhe,Dresden (17.),1:0
12,(10.) Bremen,Schalke (9.),2:1
12,(3.) Leverkusen,Köln (16.),1:1
12,(20.) M'gladbach,Hamburg (5.),1:0
12,(8.) Bayern,St. Kickers (14.),1:4
12,(11.) Rostock,Düsseldorf (18.),3:1
12,(2.) Stuttgart,Frankfurt (1.),1:2
12,(19.) Wattenscheid,K'lautern (6.),1:0
13,(15.) VfL Bochum,Karlsruhe (13.),1:3
13,(1.) Frankfurt,M'gladbach (18.),0:0
13,(10.) Nürnberg,Stuttgart (3.),4:3
13,(19.) Dresden,Bremen (7.),2:1
13,(5.) Hamburg,Wattenscheid (17.),0:1
13,(8.) K'lautern,Leverkusen (2.),2:1
13,(16.) Köln,Duisburg (4.),1:1
13,(12.) Bayern,Dortmund (9.),0:3
13,(11.) Schalke,Rostock (6.),5:0
13,(14.) St. Kickers,Düsseldorf (20.),0:1
14,(2.) Duisburg,K'lautern (5.),1:1
14,(11.) Bremen,VfL Bochum (17.),3:0
14,(20.) M'gladbach,Nürnberg (8.),1:0
14,(19.) Düsseldorf,Schalke (7.),1:1
14,(10.) Karlsruhe,Köln (16.),0:1
14,(3.) Leverkusen,Hamburg (9.),1:1
14,(12.) Rostock,Dresden (18.),3:0
14,(4.) Stuttgart,Bayern (13.),3:2
14,(15.) Wattenscheid,Frankfurt (1.),2:4
14,(6.) Dortmund,St. Kickers (14.),3:1
15,(19.) VfL Bochum,Rostock (9.),3:2
15,(20.) Dresden,Düsseldorf (18.),2:0
15,(11.) Nürnberg,Wattenscheid (16.),3:1
15,(5.) Dortmund,Stuttgart (2.),0:0
15,(1.) Frankfurt,Leverkusen (4.),0:1
15,(10.) Hamburg,Duisburg (3.),1:1
15,(6.) K'lautern,Karlsruhe (12.),3:0
15,(13.) Köln,Bremen (7.),5:0
15,(14.) Bayern,M'gladbach (17.),3:0
15,(15.) St. Kickers,Schalke (8.),1:1
16,(5.) Duisburg,Frankfurt (1.),3:6
16,(11.) Bremen,K'lautern (4.),0:2
