spieltag,home,away,result
1,Leverkusen,K'lautern,0:1
1,Schalke,M'gladbach,1:1
1,Stuttgart,Hamburg,2:1
1,Dortmund,TSV 1860,4:0
1,Dresden,Bremen,1:1
1,Frankfurt,Köln,0:0
1,Karlsruhe,Freiburg,2:0
1,Bayern,VfL Bochum,3:1
1,Uerdingen,Duisburg,1:1
2,(17.) Freiburg,Bayern (2.),5:1
2,(16.) VfL Bochum,Dresden (10.),2:0
2,(12.) Köln,Dortmund (1.),1:6
2,(18.) TSV 1860,Stuttgart (4.),0:2
2,(5.) K'lautern,Frankfurt (13.),1:1
2,(9.) Duisburg,Schalke (7.),2:2
2,(11.) Bremen,Leverkusen (15.),3:2
2,(14.) Hamburg,Uerdingen (6.),0:0
2,(8.) M'gladbach,Karlsruhe (3.),2:2
3,(1.) Dortmund,K'lautern (5.),2:1
3,(15.) Dresden,Freiburg (6.),1:3
3,(4.) Bremen,VfL Bochum (10.),3:0
3,(3.) Karlsruhe,Duisburg (7.),4:1
3,(13.) Bayern,M'gladbach (8.),3:0
3,(9.) Schalke,Hamburg (14.),0:1
3,(2.) Stuttgart,Köln (16.),2:2
3,(12.) Uerdingen,TSV 1860 (18.),1:1
3,(17.) Leverkusen,Frankfurt (11.),4:0
4,(12.) Duisburg,Bayern (6.),0:3
4,(5.) Freiburg,Bremen (3.),1:3
4,(14.) M'gladbach,Dresden (17.),2:0
4,(13.) VfL Bochum,Leverkusen (10.),1:3
4,(15.) Frankfurt,Dortmund (1.),4:1
4,(8.) Hamburg,Karlsruhe (2.),3:1
4,(7.) K'lautern,Stuttgart (4.),3:2
4,(16.) Köln,Uerdingen (9.),2:0
4,(18.) TSV 1860,Schalke (11.),0:1
5,(15.) VfL Bochum,Freiburg (9.),1:3
5,(4.) Karlsruhe,TSV 1860 (18.),3:1
5,(1.) Bremen,M'gladbach (12.),1:0
5,(17.) Dresden,Duisburg (16.),4:2
5,(8.) Leverkusen,Dortmund (2.),2:2
5,(3.) Bayern,Hamburg (6.),1:1
5,(10.) Schalke,Köln (13.),3:1
5,(14.) Uerdingen,K'lautern (7.),1:3
5,(5.) Stuttgart,Frankfurt (11.),4:1
6,(18.) TSV 1860,Bayern (5.),1:3
6,(17.) Duisburg,Bremen (1.),0:2
6,(12.) Frankfurt,Uerdingen (15.),0:3
6,(2.) Dortmund,Stuttgart (4.),5:0
6,(7.) Freiburg,Leverkusen (10.),1:1
6,(9.) Hamburg,Dresden (14.),2:1
6,(6.) K'lautern,Schalke (8.),3:1
6,(13.) Köln,Karlsruhe (3.),3:4
6,(11.) M'gladbach,VfL Bochum (16.),7:1
7,(17.) VfL Bochum,Duisburg (16.),1:0
7,(15.) Dresden,TSV 1860 (18.),1:1
7,(3.) Karlsruhe,K'lautern (5.),3:3
