spieltag,home,away,result
1,M'gladbach,Bayern,1:1
1,Wolfsburg,VfL Bochum,1:0
1,Union Berlin,Leverkusen,1:1
1,Stuttgart,Fürth,5:1
1,Augsburg,Hoffenheim,0:4
1,Bielefeld,Freiburg,0:0
1,Dortmund,Frankfurt,5:2
1,Mainz,RB Leipzig,1:0
1,Köln,Hertha BSC,3:1
2,(13.) RB Leipzig,Stuttgart (1.),4:0
2,(16.) Frankfurt,Augsburg (18.),0:0
2,(12.) Freiburg,Dortmund (3.),2:1
2,(15.) Hertha BSC,Wolfsburg (5.),1:2
2,(14.) VfL Bochum,Mainz (6.),2:0
2,(17.) Fürth,Bielefeld (11.),1:1
2,(9.) Leverkusen,M'gladbach (10.),4:0
2,(2.) Hoffenheim,Union Berlin (7.),2:2
2,(8.) Bayern,Köln (4.),3:2
3,(7.) Dortmund,Hoffenheim (2.),3:2
3,(10.) Stuttgart,Freiburg (5.),2:3
3,(11.) Mainz,Fürth (15.),3:0
3,(17.) Augsburg,Leverkusen (3.),1:4
3,(13.) Bielefeld,Frankfurt (14.),1:1
3,(8.) Köln,VfL Bochum (9.),2:1
3,(4.) Bayern,Hertha BSC (18.),5:0
3,(12.) Union Berlin,M'gladbach (16.),2:1
3,(1.) Wolfsburg,RB Leipzig (6.),1:0
4,(2.) Leverkusen,Dortmund (5.),3:4
4,(8.) Union Berlin,Augsburg (17.),0:0
4,(4.) Freiburg,Köln (6.),1:1
4,(9.) Hoffenheim,Mainz (7.),0:2
4,(16.) Fürth,Wolfsburg (1.),0:2
4,(10.) RB Leipzig,Bayern (3.),1:4
4,(14.) Frankfurt,Stuttgart (13.),1:1
4,(11.) VfL Bochum,Hertha BSC (18.),1:3
4,(15.) M'gladbach,Bielefeld (12.),3:1
5,(16.) Hertha BSC,Fürth (18.),2:1
5,(2.) Bayern,VfL Bochum (13.),7:0
5,(4.) Mainz,Freiburg (5.),0:0
5,(17.) Augsburg,M'gladbach (11.),1:0
5,(14.) Bielefeld,Hoffenheim (9.),0:0
5,(7.) Köln,RB Leipzig (12.),1:1
