spieltag,home,away,result
1,VfL Bochum,Frankfurt,3:3
1,Bremen,Uerdingen,1:0
1,M'gladbach,Schalke,3:1
1,Bielefeld,Bayern,1:3
1,Braunschweig,Köln,1:3
1,Dortmund,Hamburg,1:2
1,K'lautern,Stuttgart,2:1
1,Karlsruhe,Mannheim,3:2
1,Leverkusen,Düsseldorf,4:3
2,(10.) Frankfurt,Leverkusen (4.),2:0
2,(14.) Stuttgart,Braunschweig (16.),6:1
2,(15.) Uerdingen,Dortmund (13.),2:1
2,(12.) Mannheim,K'lautern (7.),1:1
2,(11.) Düsseldorf,Karlsruhe (5.),2:2
2,(6.) Hamburg,M'gladbach (2.),1:1
2,(1.) Bayern,Bremen (8.),4:2
2,(18.) Schalke,VfL Bochum (9.),2:3
2,(3.) Köln,Bielefeld (17.),1:1
3,(16.) Dortmund,M'gladbach (3.),2:3
3,(6.) Karlsruhe,Frankfurt (2.),2:2
3,(11.) Leverkusen,Schalke (17.),2:2
3,(15.) Bielefeld,Stuttgart (9.),2:7
3,(5.) VfL Bochum,Hamburg (7.),0:0
3,(18.) Braunschweig,Mannheim (14.),0:1
3,(12.) Bremen,Köln (4.),6:2
3,(8.) K'lautern,Düsseldorf (13.),3:1
3,(10.) Uerdingen,Bayern (1.),1:3
4,(14.) Düsseldorf,Braunschweig (18.),4:1
4,(6.) Frankfurt,K'lautern (3.),1:1
4,(9.) Hamburg,Leverkusen (11.),1:1
4,(12.) Köln,Uerdingen (13.),1:5
4,(10.) Mannheim,Bielefeld (16.),0:0
4,(2.) M'gladbach,VfL Bochum (8.),4:3
4,(1.) Bayern,Dortmund (17.),1:0
4,(15.) Schalke,Karlsruhe (7.),3:1
4,(4.) Stuttgart,Bremen (5.),1:3
5,(18.) Braunschweig,Frankfurt (5.),5:0
5,(17.) Dortmund,VfL Bochum (9.),3:0
5,(4.) K'lautern,Schalke (14.),2:2
5,(16.) Bielefeld,Düsseldorf (13.),1:1
5,(3.) Bremen,Mannheim (10.),1:1
5,(11.) Karlsruhe,Hamburg (6.),1:1
5,(12.) Leverkusen,M'gladbach (2.),3:2
5,(1.) Bayern,Köln (15.),2:0
5,(8.) Uerdingen,Stuttgart (7.),3:2
6,(11.) Stuttgart,Bayern (1.),1:3
6,(10.) Frankfurt,Bielefeld (15.),3:0
6,(13.) Schalke,Braunschweig (18.),3:2
6,(14.) VfL Bochum,Leverkusen (7.),0:0
6,(12.) Düsseldorf,Bremen (2.),3:2
6,(6.) Hamburg,K'lautern (4.),3:2
6,(16.) Köln,Dortmund (17.),6:1
6,(8.) Mannheim,Uerdingen (5.),2:1
6,(3.) M'gladbach,Karlsruhe (9.),3:3
7,(17.) Dortmund,Leverkusen (8.),2:1
7,(12.) Karlsruhe,VfL Bochum (14.),1:1
7,(9.) Uerdingen,Düsseldorf (10.),5:2
7,(16.) Bielefeld,Schalke (11.),2:1
7,(18.) Braunschweig,Hamburg (3.),3:1
7,(4.) Bremen,Frankfurt (7.),3:3
7,(5.) K'lautern,M'gladbach (2.),2:0
7,(13.) Köln,Stuttgart (15.),1:1
7,(1.) Bayern,Mannheim (6.),1:2
8,(12.) Düsseldorf,Bayern (1.),0:2
8,(7.) Frankfurt,Uerdingen (4.),3:2
8,(8.) Hamburg,Bielefeld (16.),4:0
8,(10.) Leverkusen,Karlsruhe (9.),4:1
8,(11.) Schalke,Bremen (5.),2:2
8,(15.) Stuttgart,Dortmund (18.),2:0
8,(6.) M'gladbach,Braunschweig (17.),10:0
8,(14.) VfL Bochum,K'lautern (2.),3:0
8,(3.) Mannheim,Köln (13.),1:2
9,(18.) Braunschweig,VfL Bochum (10.),1:3
9,(7.) K'lautern,Leverkusen (6.),3:3
9,(9.) Uerdingen,Schalke (13.),1:1
9,(16.) Bielefeld,M'gladbach (2.),3:3
9,(5.) Bremen,Hamburg (3.),5:2
9,(17.) Dortmund,Karlsruhe (14.),0:2
9,(11.) Köln,Düsseldorf (15.),4:2
9,(1.) Bayern,Frankfurt (4.),4:2
9,(12.) Stuttgart,Mannheim (8.),3:0
10,(5.) VfL Bochum,Bielefeld (16.),1:1
10,(12.) Karlsruhe,K'lautern (6.),0:0
10,(13.) Mannheim,Dortmund (17.),1:2
10,(15.) Düsseldorf,Stuttgart (10.),2:2
10,(9.) Frankfurt,Köln (8.),1:4
10,(7.) Hamburg,Uerdingen (11.),1:1
10,(4.) Leverkusen,Braunschweig (18.),0:3
10,(2.) M'gladbach,Bremen (3.),1:1
10,(14.) Schalke,Bayern (1.),1:1
11,(3.) Bremen,VfL Bochum (5.),2:2
11,(8.) Stuttgart,Frankfurt (12.),4:2
11,(9.) Uerdingen,M'gladbach (2.),3:2
11,(14.) Mannheim,Düsseldorf (15.),2:1
11,(16.) Bielefeld,Leverkusen (10.),1:1
11,(18.) Braunschweig,Karlsruhe (11.),3:1
