spieltag,home,away,result
1,Frankfurt,Bayern,1:6
1,Union Berlin,Hertha BSC,3:1
1,M'gladbach,Hoffenheim,3:1
1,Wolfsburg,Bremen,2:2
1,VfL Bochum,Mainz,1:2
1,Augsburg,Freiburg,0:4
1,Dortmund,Leverkusen,1:0
1,Stuttgart,RB Leipzig,1:1
1,Köln,Schalke,3:1
2,(2.) Freiburg,Dortmund (7.),1:3
2,(13.) Leverkusen,Augsburg (17.),1:2
2,(10.) RB Leipzig,Köln (4.),2:2
2,(15.) Hoffenheim,VfL Bochum (12.),3:2
2,(16.) Hertha BSC,Frankfurt (18.),1:1
2,(8.) Bremen,Stuttgart (11.),2:2
2,(14.) Schalke,M'gladbach (5.),2:2
2,(6.) Mainz,Union Berlin (3.),0:0
2,(1.) Bayern,Wolfsburg (9.),2:0
3,(4.) M'gladbach,Hertha BSC (14.),1:0
3,(2.) Dortmund,Bremen (10.),2:3
3,(18.) Leverkusen,Hoffenheim (8.),0:3
3,(15.) Wolfsburg,Schalke (13.),0:0
3,(9.) Augsburg,Mainz (6.),1:2
3,(12.) Stuttgart,Freiburg (7.),0:1
3,(5.) Union Berlin,RB Leipzig (11.),2:1
3,(16.) Frankfurt,Köln (3.),1:1
3,(17.) VfL Bochum,Bayern (1.),0:7
4,(5.) Freiburg,VfL Bochum (18.),1:0
4,(11.) RB Leipzig,Wolfsburg (14.),2:0
4,(4.) Mainz,Leverkusen (17.),0:3
4,(6.) Hoffenheim,Augsburg (10.),1:0
4,(16.) Hertha BSC,Dortmund (7.),0:1
4,(13.) Schalke,Union Berlin (3.),1:6
4,(1.) Bayern,M'gladbach (2.),1:1
4,(8.) Köln,Stuttgart (12.),0:0
4,(9.) Bremen,Frankfurt (15.),3:4
5,(5.) Dortmund,Hoffenheim (4.),1:0
5,(13.) Leverkusen,Freiburg (3.),2:3
5,(2.) Union Berlin,Bayern (1.),1:1
5,(15.) Wolfsburg,Köln (8.),2:4
5,(18.) VfL Bochum,Bremen (10.),0:2
5,(12.) Stuttgart,Schalke (16.),1:1
5,(11.) Frankfurt,RB Leipzig (9.),4:0
5,(14.) Augsburg,Hertha BSC (17.),0:2
5,(6.) M'gladbach,Mainz (7.),0:1
6,(8.) Bremen,Augsburg (16.),0:1
6,(3.) Bayern,Stuttgart (12.),2:2
6,(11.) RB Leipzig,Dortmund (2.),3:0
6,(7.) Hoffenheim,Mainz (5.),4:1
6,(10.) Frankfurt,Wolfsburg (17.),0:1
6,(13.) Hertha BSC,Leverkusen (14.),2:2
6,(15.) Schalke,VfL Bochum (18.),3:1
6,(6.) Köln,Union Berlin (4.),0:1
6,(1.) Freiburg,M'gladbach (9.),0:0
7,(6.) Mainz,Hertha BSC (15.),1:1
7,(13.) Augsburg,Bayern (3.),1:0
7,(17.) Leverkusen,Bremen (9.),1:1
7,(14.) Stuttgart,Frankfurt (11.),1:3
7,(5.) Dortmund,Schalke (12.),1:0
7,(8.) M'gladbach,RB Leipzig (10.),3:0
7,(1.) Union Berlin,Wolfsburg (16.),2:0
7,(18.) VfL Bochum,Köln (7.),1:1
7,(4.) Hoffenheim,Freiburg (2.),0:0
8,(5.) Bayern,Leverkusen (15.),4:0
8,(12.) RB Leipzig,VfL Bochum (18.),4:0
