spieltag,home,away,result
1,Duisburg,Dortmund,2:2
1,Aachen,Bayern,0:4
1,Bremen,Hamburg,1:4
1,Hannover,Köln,3:0
1,K'lautern,Neunkirchen,2:1
1,TSV 1860,Braunschweig,1:0
1,Nürnberg,Karlsruhe,2:0
1,Schalke,M'gladbach,3:4
1,Stuttgart,Frankfurt,4:0
2,(18.) Braunschweig,Schalke (11.),1:0
2,(9.) Dortmund,Aachen (16.),1:0
2,(17.) Frankfurt,Bremen (13.),5:3
2,(1.) Hamburg,K'lautern (2.),1:1
2,(14.) Karlsruhe,Duisburg (10.),0:2
2,(15.) Köln,TSV 1860 (8.),1:0
2,(3.) M'gladbach,Stuttgart (4.),1:1
2,(5.) Bayern,Hannover (6.),1:0
2,(12.) Neunkirchen,Nürnberg (7.),2:2
3,(18.) Aachen,Karlsruhe (17.),2:1
3,(16.) Bremen,M'gladbach (8.),0:4
3,(5.) Duisburg,Neunkirchen (14.),3:1
3,(9.) Hannover,Dortmund (6.),2:2
3,(7.) K'lautern,Frankfurt (12.),1:1
3,(1.) Bayern,Köln (13.),0:3
3,(4.) Nürnberg,Hamburg (3.),4:0
3,(15.) Schalke,TSV 1860 (11.),0:0
3,(2.) Stuttgart,Braunschweig (10.),0:0
4,(10.) Braunschweig,Bremen (17.),0:3
4,(8.) Dortmund,Bayern (5.),6:3
4,(13.) Frankfurt,Nürnberg (1.),1:2
4,(12.) Hamburg,Duisburg (2.),1:3
4,(18.) Karlsruhe,Hannover (9.),3:1
4,(7.) Köln,Schalke (15.),7:0
4,(3.) M'gladbach,K'lautern (6.),8:2
4,(11.) TSV 1860,Stuttgart (4.),3:3
4,(16.) Neunkirchen,Aachen (14.),0:1
5,(10.) Aachen,Hamburg (13.),2:0
5,(16.) Bremen,TSV 1860 (7.),2:2
5,(5.) Dortmund,Köln (4.),2:0
5,(3.) Duisburg,Frankfurt (12.),0:1
5,(11.) Hannover,Neunkirchen (17.),2:0
5,(9.) K'lautern,Braunschweig (14.),2:2
5,(8.) Bayern,Karlsruhe (15.),3:0
5,(1.) Nürnberg,M'gladbach (2.),1:0
5,(6.) Stuttgart,Schalke (18.),2:0
6,(13.) Braunschweig,Nürnberg (1.),0:3
