spieltag,home,away,result
1,M'gladbach,Bayern,1:0
1,Leverkusen,Wolfsburg,2:1
1,Dortmund,Nürnberg,2:0
1,Freiburg,Bremen,3:0
1,Cottbus,Hamburg,1:0
1,Stuttgart,Köln,0:0
1,TSV 1860,K'lautern,0:4
1,St. Pauli,Hertha BSC,0:0
1,Schalke,Rostock,3:1
2,(15.) Rostock,Leverkusen (5.),0:3
2,(10.) Köln,TSV 1860 (18.),2:0
2,(14.) Hamburg,Stuttgart (9.),2:0
2,(17.) Bremen,Cottbus (6.),3:2
2,(8.) Hertha BSC,Dortmund (4.),0:2
2,(12.) Wolfsburg,St. Pauli (11.),1:1
2,(13.) Bayern,Schalke (3.),3:0
2,(1.) K'lautern,M'gladbach (7.),3:2
2,(16.) Nürnberg,Freiburg (2.),2:0
3,(1.) K'lautern,Köln (4.),2:1
3,(2.) Leverkusen,Bayern (5.),1:1
3,(3.) Dortmund,Wolfsburg (14.),4:0
3,(6.) Freiburg,Hertha BSC (15.),1:3
3,(8.) Cottbus,Nürnberg (10.),1:0
3,(16.) Stuttgart,Bremen (12.),0:0
3,(18.) TSV 1860,Hamburg (7.),1:1
3,(9.) M'gladbach,Schalke (11.),0:0
3,(13.) St. Pauli,Rostock (17.),0:1
4,(6.) Hamburg,K'lautern (2.),2:3
4,(11.) Bremen,TSV 1860 (18.),1:3
4,(13.) Nürnberg,Stuttgart (16.),2:4
4,(17.) Wolfsburg,Freiburg (12.),1:1
4,(5.) Bayern,St. Pauli (15.),2:0
4,(10.) Schalke,Leverkusen (3.),3:3
4,(14.) Rostock,Dortmund (1.),0:2
4,(8.) Hertha BSC,Cottbus (4.),2:3
4,(7.) Köln,M'gladbach (9.),0:2
5,(14.) TSV 1860,Nürnberg (15.),1:0
5,(7.) Stuttgart,Hertha BSC (10.),0:0
5,(3.) Cottbus,Wolfsburg (18.),3:3
5,(11.) Freiburg,Rostock (16.),1:1
5,(1.) Dortmund,Bayern (5.),0:2
5,(17.) St. Pauli,Schalke (8.),0:2
5,(6.) M'gladbach,Leverkusen (4.),0:1
5,(12.) Köln,Hamburg (9.),2:1
5,(2.) K'lautern,Bremen (13.),2:1
6,(4.) Bayern,Freiburg (11.),1:0
6,(17.) Wolfsburg,Stuttgart (10.),0:2
6,(16.) Nürnberg,K'lautern (1.),0:2
6,(14.) Bremen,Köln (8.),1:1
6,(13.) Hamburg,M'gladbach (7.),3:3
6,(3.) Leverkusen,St. Pauli (18.),3:1
6,(6.) Schalke,Dortmund (2.),1:0
6,(12.) Hertha BSC,TSV 1860 (9.),2:1
6,(15.) Rostock,Cottbus (5.),0:0
7,(7.) Stuttgart,Rostock (15.),2:1
7,(5.) Cottbus,Bayern (3.),0:3
7,(13.) Freiburg,Schalke (6.),2:0
7,(4.) Dortmund,Leverkusen (2.),1:1
7,(12.) Hamburg,Bremen (14.),0:4
7,(10.) Köln,Nürnberg (16.),1:2
7,(1.) K'lautern,Hertha BSC (9.),4:1
7,(11.) TSV 1860,Wolfsburg (17.),2:1
7,(8.) M'gladbach,St. Pauli (18.),2:2
