spieltag,home,away,result
1,Bayern,Bremen,6:0
1,Frankfurt,Schalke,1:0
1,Augsburg,Wolfsburg,0:2
1,Hamburg,FC Ingolstadt,1:1
1,Köln,Darmstadt,2:0
1,Dortmund,Mainz,2:1
1,M'gladbach,Leverkusen,2:1
1,Hertha BSC,Freiburg,2:1
1,Hoffenheim,RB Leipzig,2:2
2,(15.) Schalke,Bayern (1.),0:2
2,(16.) Darmstadt,Frankfurt (7.),1:0
2,(2.) Wolfsburg,Köln (3.),0:0
2,(11.) FC Ingolstadt,Hertha BSC (4.),0:2
2,(14.) Freiburg,M'gladbach (6.),3:1
2,(12.) Leverkusen,Hamburg (10.),3:1
2,(8.) RB Leipzig,Dortmund (5.),1:0
2,(18.) Bremen,Augsburg (17.),1:2
2,(13.) Mainz,Hoffenheim (9.),4:4
3,(4.) Köln,Freiburg (6.),3:0
3,(15.) Hamburg,RB Leipzig (5.),0:4
3,(13.) Hoffenheim,Wolfsburg (3.),0:0
3,(1.) Bayern,FC Ingolstadt (16.),3:1
3,(8.) Dortmund,Darmstadt (12.),6:0
3,(9.) Frankfurt,Leverkusen (7.),2:1
3,(10.) M'gladbach,Bremen (18.),4:1
3,(11.) Augsburg,Mainz (14.),1:3
3,(2.) Hertha BSC,Schalke (17.),2:0
4,(14.) Darmstadt,Hoffenheim (10.),1:1
4,(15.) FC Ingolstadt,Frankfurt (7.),0:2
4,(12.) Freiburg,Hamburg (16.),1:0
4,(8.) Wolfsburg,Dortmund (5.),1:5
4,(1.) Bayern,Hertha BSC (2.),3:0
4,(18.) Bremen,Mainz (9.),1:2
4,(11.) Leverkusen,Augsburg (13.),0:0
4,(3.) RB Leipzig,M'gladbach (6.),1:1
4,(17.) Schalke,Köln (4.),1:3
5,(3.) Dortmund,Freiburg (9.),3:1
5,(16.) Hamburg,Bayern (1.),0:1
5,(7.) Mainz,Leverkusen (12.),2:3
5,(4.) Frankfurt,Hertha BSC (5.),3:3
5,(8.) M'gladbach,FC Ingolstadt (15.),2:0
5,(13.) Augsburg,Darmstadt (14.),1:0
5,(18.) Bremen,Wolfsburg (10.),2:1
5,(11.) Hoffenheim,Schalke (17.),2:1
5,(2.) Köln,RB Leipzig (6.),1:1
6,(7.) RB Leipzig,Augsburg (11.),2:1
6,(17.) FC Ingolstadt,Hoffenheim (9.),1:2
6,(1.) Bayern,Köln (3.),1:1
6,(12.) Freiburg,Frankfurt (5.),1:0
6,(6.) Hertha BSC,Hamburg (16.),2:0
6,(14.) Darmstadt,Bremen (15.),2:2
6,(10.) Leverkusen,Dortmund (2.),2:0
6,(13.) Wolfsburg,Mainz (8.),0:0
6,(18.) Schalke,M'gladbach (4.),4:0
7,(3.) Dortmund,Hertha BSC (2.),1:1
7,(8.) Frankfurt,Bayern (1.),2:2
7,(9.) M'gladbach,Hamburg (18.),0:0
7,(12.) Augsburg,Schalke (16.),1:1
7,(7.) Hoffenheim,Freiburg (10.),2:1
7,(4.) Köln,FC Ingolstadt (17.),2:1
7,(15.) Bremen,Leverkusen (6.),2:1
7,(11.) Mainz,Darmstadt (14.),2:1
7,(13.) Wolfsburg,RB Leipzig (5.),0:1
8,(17.) Hamburg,Frankfurt (8.),0:3
8,(15.) Darmstadt,Wolfsburg (14.),3:1
8,(11.) Freiburg,Augsburg (12.),2:1
8,(18.) FC Ingolstadt,Dortmund (5.),3:3
8,(10.) Leverkusen,Hoffenheim (6.),0:3
8,(4.) Hertha BSC,Köln (2.),2:1
8,(1.) Bayern,M'gladbach (9.),2:0
8,(3.) RB Leipzig,Bremen (13.),3:1
8,(16.) Schalke,Mainz (7.),3:0
9,(10.) M'gladbach,Frankfurt (7.),0:0
9,(9.) Mainz,FC Ingolstadt (17.),2:0
9,(16.) Wolfsburg,Leverkusen (11.),1:2
9,(13.) Darmstadt,RB Leipzig (2.),0:2
9,(15.) Bremen,Freiburg (8.),1:3
9,(12.) Augsburg,Bayern (1.),1:3
9,(6.) Dortmund,Schalke (14.),0:0
9,(4.) Hoffenheim,Hertha BSC (3.),1:0
9,(5.) Köln,Hamburg (18.),3:0
10,(5.) Hertha BSC,M'gladbach (11.),3:0
10,(1.) Bayern,Hoffenheim (3.),1:1
10,(17.) FC Ingolstadt,Augsburg (13.),0:2
10,(18.) Hamburg,Dortmund (6.),2:5
10,(8.) Freiburg,Wolfsburg (16.),0:3
10,(10.) Leverkusen,Darmstadt (14.),3:2
10,(7.) Frankfurt,Köln (4.),1:0
10,(2.) RB Leipzig,Mainz (9.),3:1
10,(12.) Schalke,Bremen (15.),3:1
11,(8.) Leverkusen,RB Leipzig (2.),2:3
11,(14.) Wolfsburg,Schalke (12.),0:1
11,(10.) Mainz,Freiburg (9.),4:2
11,(13.) Augsburg,Hertha BSC (4.),0:0
11,(11.) M'gladbach,Köln (6.),1:2
11,(15.) Darmstadt,FC Ingolstadt (17.),0:1
11,(5.) Dortmund,Bayern (1.),1:0
11,(3.) Hoffenheim,Hamburg (18.),2:2
11,(16.) Bremen,Frankfurt (7.),1:2
12,(10.) Freiburg,RB Leipzig (1.),1:4
12,(7.) Frankfurt,Dortmund (3.),2:1
12,(18.) Hamburg,Bremen (16.),2:2
12,(4.) Köln,Augsburg (12.),0:0
12,(17.) FC Ingolstadt,Wolfsburg (14.),1:1
12,(13.) M'gladbach,Hoffenheim (5.),1:1
12,(2.) Bayern,Leverkusen (9.),2:1
12,(11.) Schalke,Darmstadt (15.),3:1
12,(6.) Hertha BSC,Mainz (8.),2:1
13,(9.) Mainz,Bayern (2.),1:3
13,(10.) Leverkusen,Freiburg (11.),1:1
13,(16.) Bremen,FC Ingolstadt (17.),2:1
13,(6.) Hoffenheim,Köln (5.),4:0
13,(14.) Wolfsburg,Hertha BSC (3.),2:3
13,(7.) Dortmund,M'gladbach (13.),4:1
13,(1.) RB Leipzig,Schalke (8.),2:1
13,(15.) Darmstadt,Hamburg (18.),0:2
13,(12.) Augsburg,Frankfurt (4.),1:1
14,(5.) Frankfurt,Hoffenheim (4.),0:0
14,(17.) Hamburg,Augsburg (12.),1:0
14,(2.) Bayern,Wolfsburg (15.),5:0
14,(7.) Köln,Dortmund (6.),1:1
14,(18.) FC Ingolstadt,RB Leipzig (1.),1:0
14,(11.) Freiburg,Darmstadt (16.),1:0
14,(3.) Hertha BSC,Bremen (14.),0:1
14,(13.) M'gladbach,Mainz (10.),1:0
14,(8.) Schalke,Leverkusen (9.),0:1
15,(4.) Hoffenheim,Dortmund (6.),2:2
15,(14.) Bremen,Köln (7.),1:1
15,(11.) Mainz,Hamburg (16.),3:1
15,(10.) Schalke,Freiburg (9.),1:1
15,(2.) RB Leipzig,Hertha BSC (3.),2:0
15,(13.) Augsburg,M'gladbach (12.),1:0
15,(15.) Wolfsburg,Frankfurt (5.),1:0
15,(18.) Darmstadt,Bayern (1.),0:1
15,(8.) Leverkusen,FC Ingolstadt (17.),1:2
16,(17.) Hamburg,Schalke (11.),2:1
16,(6.) Frankfurt,Mainz (8.),3:0
16,(13.) M'gladbach,Wolfsburg (15.),1:2
16,(5.) Dortmund,Augsburg (12.),1:1
16,(7.) Köln,Leverkusen (9.),1:1
16,(16.) FC Ingolstadt,Freiburg (10.),1:2
16,(3.) Hoffenheim,Bremen (14.),1:1
16,(4.) Hertha BSC,Darmstadt (18.),2:0
16,(1.) Bayern,RB Leipzig (2.),3:0
17,(8.) Freiburg,Bayern (1.),1:2
17,(11.) Schalke,FC Ingolstadt (17.),1:0
17,(15.) Bremen,Dortmund (6.),1:2
17,(13.) Wolfsburg,Hamburg (16.),1:0
17,(18.) Darmstadt,M'gladbach (14.),0:0
17,(12.) Augsburg,Hoffenheim (5.),0:2
17,(2.) RB Leipzig,Frankfurt (4.),3:0
17,(9.) Leverkusen,Hertha BSC (3.),3:1
17,(10.) Mainz,Köln (7.),0:0
18,(10.) Schalke,Frankfurt (6.),0:1
18,(2.) RB Leipzig,Hoffenheim (3.),2:1
18,(17.) FC Ingolstadt,Hamburg (16.),3:1
18,(15.) Bremen,Bayern (1.),1:2
18,(12.) Wolfsburg,Augsburg (13.),1:2
18,(18.) Darmstadt,Köln (7.),1:6
18,(8.) Leverkusen,M'gladbach (14.),2:3
18,(9.) Freiburg,Hertha BSC (5.),2:1
18,(11.) Mainz,Dortmund (4.),1:1
19,(17.) Hamburg,Leverkusen (9.),1:0
