spieltag,home,away,result
1,Stuttgart,Schalke,2:2
1,VfL Bochum,Bremen,2:2
1,Leverkusen,Cottbus,0:0
1,Frankfurt,Hertha BSC,1:0
1,Hannover,Hamburg,0:1
1,Wolfsburg,Bielefeld,1:3
1,Bayern,Rostock,3:0
1,Nürnberg,Karlsruhe,0:2
1,Dortmund,Duisburg,1:3
2,(4.) Karlsruhe,Hannover (13.),1:2
2,(10.) Schalke,Dortmund (15.),4:1
2,(8.) Bremen,Bayern (1.),0:4
2,(14.) Hertha BSC,Stuttgart (9.),3:1
2,(2.) Bielefeld,Frankfurt (5.),2:2
2,(18.) Rostock,Nürnberg (17.),1:2
2,(3.) Duisburg,Wolfsburg (16.),1:3
2,(6.) Hamburg,Leverkusen (12.),1:0
2,(11.) Cottbus,VfL Bochum (7.),1:2
3,(5.) VfL Bochum,Hamburg (2.),2:1
3,(15.) Stuttgart,Duisburg (10.),1:0
3,(1.) Bayern,Hannover (11.),3:0
3,(14.) Leverkusen,Karlsruhe (8.),3:0
3,(12.) Nürnberg,Bremen (16.),0:1
3,(18.) Dortmund,Cottbus (13.),3:0
3,(4.) Bielefeld,Hertha BSC (7.),2:0
3,(6.) Frankfurt,Rostock (17.),1:0
3,(9.) Wolfsburg,Schalke (3.),1:1
4,(6.) Schalke,Leverkusen (7.),1:1
4,(10.) Bremen,Frankfurt (4.),2:1
4,(12.) Hertha BSC,Wolfsburg (8.),2:1
4,(16.) Hannover,VfL Bochum (3.),3:2
4,(17.) Cottbus,Nürnberg (15.),1:1
4,(18.) Rostock,Dortmund (13.),0:1
4,(11.) Duisburg,Bielefeld (2.),3:0
4,(5.) Hamburg,Bayern (1.),1:1
4,(14.) Karlsruhe,Stuttgart (9.),1:0
5,(10.) Dortmund,Bremen (6.),3:0
5,(15.) Stuttgart,Cottbus (17.),3:0
5,(1.) Bayern,Schalke (7.),1:1
5,(13.) Leverkusen,VfL Bochum (2.),2:0
5,(16.) Nürnberg,Hannover (12.),2:2
5,(3.) Bielefeld,Rostock (18.),4:2
5,(4.) Frankfurt,Hamburg (5.),2:1
5,(14.) Wolfsburg,Karlsruhe (11.),1:2
5,(8.) Duisburg,Hertha BSC (9.),1:2
6,(11.) VfL Bochum,Frankfurt (3.),0:0
6,(8.) Schalke,Bielefeld (2.),3:0
6,(13.) Bremen,Stuttgart (9.),4:1
6,(10.) Hamburg,Nürnberg (15.),1:0
6,(5.) Hertha BSC,Dortmund (4.),3:2
6,(17.) Cottbus,Wolfsburg (16.),1:2
6,(18.) Rostock,Duisburg (14.),2:0
6,(12.) Hannover,Leverkusen (7.),0:3
6,(6.) Karlsruhe,Bayern (1.),1:4
7,(9.) Dortmund,Hamburg (6.),0:3
7,(2.) Hertha BSC,Rostock (17.),1:3
7,(12.) Wolfsburg,Bremen (8.),1:1
7,(15.) Duisburg,Schalke (5.),0:2
7,(13.) Stuttgart,VfL Bochum (11.),1:0
7,(1.) Bayern,Cottbus (18.),5:0
7,(16.) Nürnberg,Leverkusen (3.),1:2
7,(7.) Bielefeld,Hannover (14.),0:2
7,(4.) Frankfurt,Karlsruhe (10.),0:1
8,(3.) Schalke,Hertha BSC (5.),1:0
8,(8.) Bremen,Bielefeld (10.),8:1
8,(2.) Leverkusen,Bayern (1.),0:1
8,(4.) Hamburg,Wolfsburg (13.),2:2
8,(14.) VfL Bochum,Nürnberg (17.),3:3
8,(6.) Karlsruhe,Dortmund (12.),3:1
8,(16.) Rostock,Stuttgart (9.),2:1
8,(11.) Hannover,Duisburg (15.),2:1
8,(18.) Cottbus,Frankfurt (7.),2:2
9,(15.) Dortmund,VfL Bochum (13.),2:1
9,(10.) Stuttgart,Hannover (7.),0:2
9,(2.) Schalke,Karlsruhe (3.),0:2
9,(9.) Hertha BSC,Cottbus (18.),0:0
9,(11.) Bielefeld,Hamburg (6.),0:1
9,(12.) Wolfsburg,Rostock (14.),1:0
9,(16.) Duisburg,Bremen (5.),1:3
9,(1.) Bayern,Nürnberg (17.),3:0
9,(8.) Frankfurt,Leverkusen (4.),2:1
10,(18.) Cottbus,Duisburg (16.),1:2
10,(3.) Bremen,Hertha BSC (9.),3:2
10,(8.) Leverkusen,Dortmund (11.),2:2
10,(17.) Nürnberg,Frankfurt (7.),5:1
10,(4.) Hamburg,Stuttgart (12.),4:1
10,(14.) VfL Bochum,Bayern (1.),1:2
10,(15.) Rostock,Schalke (5.),1:1
10,(6.) Hannover,Wolfsburg (10.),2:2
10,(2.) Karlsruhe,Bielefeld (13.),0:0
11,(8.) Frankfurt,Hannover (6.),0:0
11,(14.) Stuttgart,Leverkusen (7.),1:0
11,(5.) Schalke,Bremen (2.),1:1
11,(10.) Hertha BSC,VfL Bochum (16.),2:0
11,(12.) Bielefeld,Cottbus (18.),1:1
11,(9.) Wolfsburg,Nürnberg (15.),3:1
11,(13.) Rostock,Karlsruhe (4.),0:0
11,(11.) Dortmund,Bayern (1.),0:0
11,(17.) Duisburg,Hamburg (3.),0:1
12,(18.) Cottbus,Schalke (5.),1:0
12,(3.) Bremen,Rostock (14.),1:0
12,(1.) Bayern,Frankfurt (9.),0:0
12,(10.) Leverkusen,Bielefeld (13.),4:0
12,(15.) Nürnberg,Stuttgart (12.),0:1
12,(2.) Hamburg,Hertha BSC (8.),2:1
12,(6.) Hannover,Dortmund (11.),2:1
12,(16.) VfL Bochum,Wolfsburg (7.),5:3
12,(4.) Karlsruhe,Duisburg (17.),1:0
13,(17.) Duisburg,VfL Bochum (13.),0:2
13,(11.) Stuttgart,Bayern (1.),3:1
13,(7.) Schalke,Hamburg (2.),1:1
13,(3.) Bremen,Karlsruhe (4.),4:0
13,(12.) Dortmund,Frankfurt (8.),1:1
13,(10.) Hertha BSC,Hannover (5.),1:0
13,(15.) Rostock,Cottbus (18.),3:2
13,(14.) Bielefeld,Nürnberg (16.),3:1
13,(9.) Wolfsburg,Leverkusen (6.),1:2
14,(4.) Karlsruhe,Hertha BSC (8.),2:1
14,(1.) Bayern,Wolfsburg (11.),2:1
14,(5.) Leverkusen,Duisburg (17.),4:1
14,(12.) VfL Bochum,Bielefeld (14.),3:0
14,(6.) Hannover,Schalke (7.),2:3
14,(18.) Cottbus,Bremen (2.),0:2
14,(10.) Frankfurt,Stuttgart (9.),1:4
14,(16.) Nürnberg,Dortmund (13.),2:0
14,(3.) Hamburg,Rostock (15.),2:0
