spieltag,home,away,result
1,Dortmund,Stuttgart,0:3
1,Hertha BSC,St. Pauli,1:2
1,Nürnberg,Uerdingen,1:1
1,Frankfurt,Karlsruhe,3:0
1,Hamburg,K'lautern,1:3
1,Köln,Düsseldorf,1:1
1,M'gladbach,VfL Bochum,1:2
1,Bayern,Leverkusen,1:1
1,Wattenscheid,Bremen,2:0
2,(6.) St. Pauli,Bayern (10.),0:0
2,(16.) Bremen,M'gladbach (13.),3:0
2,(1.) Stuttgart,Hertha BSC (14.),4:0
2,(5.) VfL Bochum,Köln (8.),1:0
2,(7.) Düsseldorf,Hamburg (15.),2:1
2,(3.) K'lautern,Frankfurt (2.),1:1
2,(17.) Karlsruhe,Dortmund (18.),1:2
2,(9.) Leverkusen,Nürnberg (11.),2:2
2,(12.) Uerdingen,Wattenscheid (4.),0:2
3,(12.) Dortmund,K'lautern (5.),0:2
3,(4.) Frankfurt,Düsseldorf (6.),5:1
3,(15.) Hamburg,VfL Bochum (3.),1:0
3,(18.) Hertha BSC,Karlsruhe (16.),1:1
3,(13.) Köln,Bremen (8.),1:0
3,(11.) Bayern,Stuttgart (1.),2:1
3,(10.) Nürnberg,St. Pauli (7.),5:2
3,(14.) Uerdingen,Leverkusen (9.),1:1
3,(2.) Wattenscheid,M'gladbach (17.),1:1
4,(2.) K'lautern,Hertha BSC (18.),4:3
4,(6.) VfL Bochum,Frankfurt (1.),0:0
4,(12.) Bremen,Hamburg (13.),3:1
4,(16.) Karlsruhe,Bayern (7.),2:3
4,(17.) M'gladbach,Köln (9.),2:2
4,(10.) St. Pauli,Uerdingen (14.),1:1
4,(4.) Stuttgart,Nürnberg (5.),2:1
4,(11.) Düsseldorf,Dortmund (15.),0:0
4,(8.) Leverkusen,Wattenscheid (3.),2:1
5,(14.) Dortmund,VfL Bochum (7.),1:0
5,(4.) Bayern,K'lautern (1.),4:0
5,(13.) Uerdingen,Stuttgart (2.),2:0
5,(18.) Hertha BSC,Düsseldorf (12.),0:1
5,(3.) Frankfurt,Bremen (9.),0:0
5,(15.) Hamburg,M'gladbach (16.),3:0
5,(6.) Leverkusen,St. Pauli (11.),3:1
5,(8.) Nürnberg,Karlsruhe (17.),0:0
5,(5.) Wattenscheid,Köln (10.),0:3
6,(4.) K'lautern,Nürnberg (8.),3:1
6,(16.) Karlsruhe,Uerdingen (11.),2:0
6,(15.) St. Pauli,Wattenscheid (10.),1:1
6,(12.) VfL Bochum,Hertha BSC (18.),4:2
6,(9.) Bremen,Dortmund (13.),1:1
6,(7.) Düsseldorf,Bayern (1.),1:2
6,(6.) Köln,Hamburg (14.),1:0
6,(17.) M'gladbach,Frankfurt (2.),1:1
6,(5.) Stuttgart,Leverkusen (3.),0:2
7,(9.) Wattenscheid,Hamburg (15.),0:1
7,(18.) Hertha BSC,Bremen (8.),0:0
7,(11.) Dortmund,M'gladbach (17.),1:1
7,(4.) Frankfurt,Köln (5.),1:0
7,(2.) Leverkusen,Karlsruhe (16.),1:0
7,(1.) Bayern,VfL Bochum (6.),2:2
7,(14.) St. Pauli,Stuttgart (7.),2:2
7,(13.) Uerdingen,K'lautern (3.),3:7
7,(12.) Nürnberg,Düsseldorf (10.),3:0
8,(9.) Bremen,Bayern (2.),1:0
8,(1.) K'lautern,Leverkusen (3.),2:1
8,(17.) M'gladbach,Hertha BSC (18.),2:0
8,(6.) VfL Bochum,Nürnberg (7.),0:0
8,(14.) Düsseldorf,Uerdingen (15.),0:2
8,(11.) Hamburg,Frankfurt (4.),0:1
8,(16.) Karlsruhe,St. Pauli (13.),1:1
8,(5.) Köln,Dortmund (10.),0:1
8,(8.) Stuttgart,Wattenscheid (12.),1:4
9,(13.) Uerdingen,VfL Bochum (6.),4:1
9,(18.) Hertha BSC,Köln (10.),0:0
9,(7.) Dortmund,Hamburg (14.),1:1
9,(4.) Leverkusen,Düsseldorf (16.),1:1
9,(3.) Bayern,M'gladbach (15.),4:1
9,(8.) Nürnberg,Bremen (5.),2:3
9,(12.) St. Pauli,K'lautern (1.),1:0
9,(11.) Stuttgart,Karlsruhe (17.),2:2
9,(9.) Wattenscheid,Frankfurt (2.),1:0
10,(16.) Karlsruhe,Wattenscheid (6.),1:3
10,(10.) VfL Bochum,Leverkusen (4.),3:1
10,(5.) Bremen,Uerdingen (9.),4:3
10,(15.) Düsseldorf,St. Pauli (11.),0:0
10,(3.) Frankfurt,Dortmund (7.),3:1
10,(2.) K'lautern,Stuttgart (13.),2:0
10,(8.) Köln,Bayern (1.),4:0
