spieltag,home,away,result
1,Duisburg,Frankfurt,2:1
1,Stuttgart,Dortmund,2:1
1,VfL Bochum,Freiburg,1:2
1,Leverkusen,Rostock,3:1
1,M'gladbach,Schalke,3:0
1,TSV 1860,K'lautern,1:2
1,Nürnberg,Hamburg,1:1
1,Wolfsburg,Bayern,0:1
1,Hertha BSC,Bremen,1:0
2,(15.) Bremen,Nürnberg (9.),2:3
2,(17.) Rostock,Wolfsburg (16.),3:3
2,(14.) Dortmund,Hertha BSC (7.),3:0
2,(13.) Frankfurt,TSV 1860 (12.),2:3
2,(5.) Freiburg,Leverkusen (2.),1:1
2,(6.) K'lautern,M'gladbach (1.),2:1
2,(8.) Bayern,Duisburg (4.),3:1
2,(18.) Schalke,Stuttgart (3.),1:0
2,(10.) Hamburg,VfL Bochum (11.),1:0
3,(11.) Duisburg,TSV 1860 (9.),1:1
3,(18.) VfL Bochum,Bremen (17.),2:0
3,(8.) M'gladbach,Frankfurt (16.),1:1
3,(10.) Stuttgart,K'lautern (2.),4:0
3,(14.) Wolfsburg,Freiburg (5.),1:1
3,(4.) Nürnberg,Dortmund (7.),0:0
3,(12.) Hertha BSC,Schalke (13.),2:0
3,(3.) Leverkusen,Hamburg (6.),1:2
3,(1.) Bayern,Rostock (15.),6:1
4,(16.) Frankfurt,Stuttgart (3.),1:1
4,(11.) TSV 1860,M'gladbach (8.),3:1
4,(18.) Bremen,Leverkusen (10.),2:2
4,(7.) Freiburg,Bayern (1.),0:2
4,(2.) Hamburg,Wolfsburg (15.),1:1
4,(5.) K'lautern,Hertha BSC (4.),4:3
4,(17.) Rostock,Duisburg (12.),3:0
4,(14.) Schalke,Nürnberg (6.),2:2
4,(9.) Dortmund,VfL Bochum (13.),0:1
5,(8.) Hertha BSC,Frankfurt (17.),3:1
5,(13.) Rostock,Freiburg (10.),0:2
5,(7.) VfL Bochum,Schalke (15.),1:2
5,(9.) Leverkusen,Dortmund (11.),3:1
5,(6.) Nürnberg,K'lautern (2.),1:1
5,(4.) Stuttgart,TSV 1860 (5.),0:1
5,(16.) Wolfsburg,Bremen (18.),2:4
5,(14.) Duisburg,M'gladbach (12.),2:2
5,(1.) Bayern,Hamburg (3.),5:3
6,(7.) Hamburg,Rostock (16.),1:0
6,(2.) TSV 1860,Hertha BSC (4.),2:0
6,(15.) Bremen,Bayern (1.),0:1
6,(14.) Dortmund,Wolfsburg (17.),2:1
6,(6.) Freiburg,Duisburg (13.),2:2
6,(3.) K'lautern,VfL Bochum (11.),2:3
6,(12.) M'gladbach,Stuttgart (8.),2:3
6,(10.) Schalke,Leverkusen (5.),0:1
6,(18.) Frankfurt,Nürnberg (9.),3:2
7,(9.) Hertha BSC,M'gladbach (14.),4:1
7,(18.) Wolfsburg,Schalke (12.),0:0
7,(7.) VfL Bochum,Frankfurt (15.),0:0
7,(8.) Freiburg,Hamburg (4.),0:0
7,(3.) Leverkusen,K'lautern (6.),2:2
