spieltag,home,away,result
1,Leverkusen,Mannheim,1:0
1,VfL Bochum,M'gladbach,1:2
1,Uerdingen,Nürnberg,0:2
1,Dortmund,Bayern,1:3
1,Hamburg,Schalke,5:2
1,Hannover,Bremen,0:1
1,K'lautern,Frankfurt,2:2
1,Karlsruhe,Köln,1:1
1,Stuttgart,Homburg,2:1
2,(15.) Mannheim,Dortmund (16.),1:0
2,(8.) Frankfurt,VfL Bochum (12.),0:1
2,(10.) Köln,K'lautern (9.),2:1
2,(6.) Bremen,Karlsruhe (11.),2:0
2,(13.) Homburg,Leverkusen (7.),1:1
2,(5.) M'gladbach,Uerdingen (17.),2:1
2,(2.) Bayern,Hamburg (1.),6:0
2,(3.) Nürnberg,Stuttgart (4.),0:0
2,(18.) Schalke,Hannover (14.),0:2
3,(16.) Dortmund,Homburg (13.),2:0
3,(17.) Uerdingen,Frankfurt (14.),3:0
3,(9.) VfL Bochum,Köln (5.),0:0
3,(12.) K'lautern,Bremen (2.),0:0
3,(15.) Karlsruhe,Schalke (18.),4:1
3,(6.) Leverkusen,Nürnberg (4.),1:1
3,(1.) Bayern,Mannheim (10.),2:1
3,(7.) Stuttgart,M'gladbach (3.),6:0
3,(11.) Hamburg,Hannover (8.),3:3
4,(17.) Frankfurt,Stuttgart (2.),0:2
4,(7.) M'gladbach,Leverkusen (6.),2:1
4,(4.) Nürnberg,Dortmund (14.),0:0
4,(3.) Bremen,VfL Bochum (10.),0:0
4,(9.) Hannover,Karlsruhe (8.),3:2
4,(16.) Homburg,Bayern (1.),3:2
4,(5.) Köln,Uerdingen (12.),2:0
4,(15.) Mannheim,Hamburg (11.),2:2
4,(18.) Schalke,K'lautern (13.),5:0
5,(8.) Leverkusen,Frankfurt (18.),1:3
5,(9.) VfL Bochum,Schalke (16.),1:3
5,(12.) Mannheim,Homburg (14.),0:0
5,(1.) Stuttgart,Köln (3.),0:2
5,(15.) Uerdingen,Bremen (4.),1:2
5,(13.) Dortmund,M'gladbach (5.),1:1
5,(10.) Hamburg,Karlsruhe (11.),0:4
5,(17.) K'lautern,Hannover (6.),4:1
5,(2.) Bayern,Nürnberg (7.),1:0
6,(12.) Homburg,Hamburg (16.),0:2
