spieltag,home,away,result
1,Schalke,Leverkusen,2:1
1,Stuttgart,TSV 1860,1:1
1,VfL Bochum,Bielefeld,1:0
1,Karlsruhe,Bremen,3:1
1,Köln,Duisburg,3:2
1,Bayern,K'lautern,0:1
1,Rostock,Wolfsburg,0:1
1,Hertha BSC,Dortmund,1:1
1,Hamburg,M'gladbach,2:2
2,(13.) Duisburg,Schalke (3.),1:0
2,(17.) Bielefeld,Stuttgart (11.),2:1
2,(18.) Bremen,Rostock (16.),1:1
2,(14.) Leverkusen,VfL Bochum (6.),3:2
2,(10.) TSV 1860,Karlsruhe (1.),2:2
2,(9.) Dortmund,Köln (2.),3:0
2,(5.) K'lautern,Hertha BSC (12.),1:0
2,(8.) M'gladbach,Bayern (15.),1:1
2,(4.) Wolfsburg,Hamburg (7.),1:1
3,(6.) VfL Bochum,Duisburg (7.),0:0
3,(14.) Stuttgart,Leverkusen (5.),1:0
3,(18.) Bremen,TSV 1860 (13.),3:3
3,(3.) Karlsruhe,Bielefeld (8.),3:1
3,(10.) Köln,K'lautern (1.),0:0
3,(15.) Bayern,Wolfsburg (4.),5:2
3,(16.) Rostock,Hamburg (11.),2:1
3,(9.) Schalke,Dortmund (2.),1:0
3,(17.) Hertha BSC,M'gladbach (12.),2:2
4,(12.) TSV 1860,Rostock (9.),0:1
4,(10.) Wolfsburg,Hertha BSC (17.),2:1
4,(15.) Bielefeld,Bremen (18.),3:0
4,(5.) Dortmund,VfL Bochum (6.),5:2
4,(8.) Duisburg,Stuttgart (7.),0:3
4,(2.) K'lautern,Schalke (3.),3:0
4,(14.) Leverkusen,Karlsruhe (1.),6:1
4,(13.) M'gladbach,Köln (11.),4:1
4,(16.) Hamburg,Bayern (4.),0:2
5,(16.) Hertha BSC,Hamburg (17.),0:2
5,(12.) VfL Bochum,K'lautern (1.),1:3
5,(18.) Bremen,Leverkusen (8.),2:1
5,(14.) Köln,Wolfsburg (7.),5:3
5,(5.) Rostock,Bayern (3.),1:3
