saison,platz,spieler,einsaetze,gelb,gelb_rot,rot,punkte
1963/64,1,Otto Rehhagel,23,0,0,1,5
1963/64,2,Helmut Rahn,18,0,0,1,5
1963/64,3,Christian Müller,22,0,0,1,5
1963/64,4,Günter Karnhof,10,0,0,1,5
1963/64,5,Walter Gawletta,19,0,0,1,5
1963/64,6,Co Prins,23,0,0,1,5
1963/64,7,Werner Hesse,27,0,0,1,5
1963/64,8,Engelbert Kraus,17,0,0,1,5
