spieltag,home,away,result
12,SV Werder Bremen,1. FC Köln,1:1
12,TSG Hoffenheim,1.FC Augsburg,3:0
13,1. FC Heidenheim,SC Freiburg,2:1
13,1. FC Köln,FC St Pauli,1:1
13,1.FC Augsburg,Bayer 04 Leverkusen,2:0
13,Borussia Dortmund,TSG Hoffenheim,2:0
13,FSV Mainz 05,Borussia Mönchengladbach,0:1
13,Hamburger SV,SV Werder Bremen,3:2
13,RB Leipzig,Eintracht Frankfurt,6:0
13,VfB Stuttgart,FC Bayern München,0:5
13,VfL Wolfsburg,1. FC Union Berlin,3:1
14,1. FC Union Berlin,RB Leipzig,3:1
14,Bayer 04 Leverkusen,1. FC Köln,2:0
14,Borussia Mönchengladbach,VfL Wolfsburg,1:3
14,Eintracht Frankfurt,1.FC Augsburg,1:0
14,FC Bayern München,FSV Mainz 05,2:2
14,FC St Pauli,1. FC Heidenheim,2:1
14,SC Freiburg,Borussia Dortmund,1:1
14,SV Werder Bremen,VfB Stuttgart,0:4
14,TSG Hoffenheim,Hamburger SV,4:1
15,1. FC Heidenheim,FC Bayern München,0:4
15,1. FC Köln,1. FC Union Berlin,0:1
15,1.FC Augsburg,SV Werder Bremen,0:0
15,Borussia Dortmund,Borussia Mönchengladbach,2:0
15,FSV Mainz 05,FC St Pauli,0:0
15,Hamburger SV,Eintracht Frankfurt,1:1
15,RB Leipzig,Bayer 04 Leverkusen,1:3
15,VfB Stuttgart,TSG Hoffenheim,0:0
15,VfL Wolfsburg,SC Freiburg,3:4
16,1. FC Heidenheim,1. FC Köln,2:2
16,1. FC Union Berlin,FSV Mainz 05,2:2
16,Bayer 04 Leverkusen,VfB Stuttgart,1:4
16,Borussia Mönchengladbach,1.FC Augsburg,4:0
16,Eintracht Frankfurt,Borussia Dortmund,3:3
16,FC Bayern München,VfL Wolfsburg,8:1
16,FC St Pauli,RB Leipzig,-:-
16,SC Freiburg,Hamburger SV,2:1
16,SV Werder Bremen,TSG Hoffenheim,-:-
17,1. FC Köln,FC Bayern München,1:3
17,1.FC Augsburg,1. FC Union Berlin,1:1
17,Borussia Dortmund,SV Werder Bremen,3:0
17,FSV Mainz 05,1. FC Heidenheim,2:1
17,Hamburger SV,Bayer 04 Leverkusen,-:-
17,RB Leipzig,SC Freiburg,2:0
17,TSG Hoffenheim,Borussia Mönchengladbach,5:1
17,VfB Stuttgart,Eintracht Frankfurt,3:2
17,VfL Wolfsburg,FC St Pauli,2:1
18,1. FC Köln,FSV Mainz 05,2:1
18,1.FC Augsburg,SC Freiburg,2:2
18,Borussia Dortmund,FC St Pauli,3:2
18,Hamburger SV,Borussia Mönchengladbach,0:0
18,RB Leipzig,FC Bayern München,1:5
18,SV Werder Bremen,Eintracht Frankfurt,3:3
18,TSG Hoffenheim,Bayer 04 Leverkusen,1:0
18,VfB Stuttgart,1. FC Union Berlin,1:1
18,VfL Wolfsburg,1. FC Heidenheim,1:1
19,1. FC Heidenheim,RB Leipzig,-:-
