"Saison","Platz","Verein","Schnitt","Gesamt"
"2014/15","8","1. FC Köln","48.740","828.586"
"2014/15","9","Eintracht Frankfurt","47.617","809.500"
"2014/15","10","Hannover 96","43.882","746.000"
"2014/15","11","SV Werder Bremen","40.905","695.396"
"2014/15","12","FSV Mainz 05","30.939","525.968"
"2014/15","13","Bayer 04 Leverkusen","29.311","498.293"
"2014/15","14","1.FC Augsburg","29.163","495.779"
"2014/15","15","VfL Wolfsburg","28.199","479.387"
"2014/15","16","TSG Hoffenheim","27.163","461.786"
"2014/15","17","SC Freiburg","23.850","405.450"
"2014/15","18","SC Paderborn 07","14.859","252.603"
"2015/16","1","Borussia Dortmund","81.228","1.380.882"
"2015/16","2","FC Bayern München","75.002","1.275.048"
"2015/16","3","FC Schalke 04","61.387","1.043.594"
"2015/16","4","Hamburger SV","53.698","912.881"
"2015/16","5","VfB Stuttgart","51.982","883.708"
"2015/16","6","Borussia Mönchengladbach","51.716","879.187"
"2015/16","7","Hertha BSC","49.705","844.992"
"2015/16","8","1. FC Köln","48.674","827.468"
"2015/16","9","Eintracht Frankfurt","46.811","795.800"
"2015/16","10","Hannover 96","42.699","725.888"
"2015/16","11","SV Werder Bremen","40.934","695.891"
"2015/16","12","FSV Mainz 05","31.051","527.879"
"2015/16","13","Bayer 04 Leverkusen","29.068","494.171"
"2015/16","14","1.FC Augsburg","29.003","493.057"
"2015/16","15","VfL Wolfsburg","28.884","491.041"
"2015/16","16","TSG Hoffenheim","27.577","468.812"
"2015/16","17","SV Darmstadt 98","16.647","283.000"
"2015/16","18","FC Ingolstadt 04","14.836","252.215"
"2016/17","1","Borussia Dortmund","79.632","1.353.745"
"2016/17","2","FC Bayern München","75.000","1.275.000"
"2016/17","3","FC Schalke 04","60.762","1.032.961"
"2016/17","4","Hamburger SV","52.341","889.798"
"2016/17","5","Borussia Mönchengladbach","51.494","875.400"
"2016/17","6","Hertha BSC","50.267","854.539"
"2016/17","7","1. FC Köln","49.570","842.700"
"2016/17","8","Eintracht Frankfurt","49.164","835.800"
"2016/17","9","RB Leipzig","41.454","704.720"
"2016/17","10","SV Werder Bremen","41.010","697.174"
"2016/17","11","FSV Mainz 05","29.095","494.627"
"2016/17","12","TSG Hoffenheim","28.274","480.673"
"2016/17","13","1.FC Augsburg","28.172","478.931"
"2016/17","14","VfL Wolfsburg","27.586","468.962"
"2016/17","15","Bayer 04 Leverkusen","26.658","453.188"
"2016/17","16","SC Freiburg","23.958","407.300"
"2016/17","17","SV Darmstadt 98","16.752","284.800"
"2016/17","18","FC Ingolstadt 04","14.600","248.209"
"2017/18","1","Borussia Dortmund","79.525","1.351.939"
"2017/18","2","FC Bayern München","75.000","1.275.000"
"2017/18","3","FC Schalke 04","61.331","1.042.639"
"2017/18","4","VfB Stuttgart","56.270","956.597"
"2017/18","5","Borussia Mönchengladbach","50.842","864.324"
"2017/18","6","Hamburger SV","50.653","861.116"
"2017/18","7","Eintracht Frankfurt","49.129","835.200"
"2017/18","8","1. FC Köln","48.770","829.100"
"2017/18","9","Hertha BSC","45.318","770.422"
"2017/18","10","Hannover 96","42.500","722.500"
"2017/18","11","SV Werder Bremen","40.870","694.792"
"2017/18","12","RB Leipzig","39.791","676.463"
"2017/18","13","TSG Hoffenheim","28.774","489.166"
"2017/18","14","FSV Mainz 05","28.773","489.156"
"2017/18","15","Bayer 04 Leverkusen","28.415","483.063"
"2017/18","16","1.FC Augsburg","28.159","478.704"
"2017/18","17","VfL Wolfsburg","25.712","437.114"
"2017/18","18","SC Freiburg","23.894","406.200"
"2018/19","1","Borussia Dortmund","79.665","1.354.305"
"2018/19","2","FC Bayern München","75.000","1.275.000"
"2018/19","3","FC Schalke 04","58.890","1.001.132"
"2018/19","4","VfB Stuttgart","54.550","927.363"
"2018/19","5","Eintracht Frankfurt","49.794","846.500"
"2018/19","6","Borussia Mönchengladbach","49.668","844.360"
"2018/19","7","Hertha BSC","49.258","837.391"
"2018/19","8","SV Werder Bremen","41.256","701.352"
"2018/19","9","1. FC Nürnberg","40.372","686.332"
"2018/19","10","RB Leipzig","38.379","652.456"
"2018/19","11","Hannover 96","38.364","652.200"
"2018/19","12","Fortuna Düsseldorf","43.316","649.752"
"2018/19","13","TSG Hoffenheim","30.506","518.612"
"2018/19","14","Bayer 04 Leverkusen","27.990","475.833"
"2018/19","15","1.FC Augsburg","28.756","460.106"
"2018/19","16","FSV Mainz 05","25.816","438.880"
"2018/19","17","SC Freiburg","24.323","413.505"
"2018/19","18","VfL Wolfsburg","24.135","386.169"
"2019/20","1","FC Bayern München","69.643","975.010"
"2019/20","2","Borussia Dortmund","81.170","974.050"
"2019/20","3","FC Schalke 04","61.044","793.577"
"2019/20","4","Hertha BSC","49.286","640.720"
"2019/20","5","Borussia Mönchengladbach","50.917","611.007"
"2019/20","6","Eintracht Frankfurt","50.200","602.400"
"2019/20","7","1. FC Köln","49.716","596.600"
"2019/20","8","Fortuna Düsseldorf","43.707","524.495"
"2019/20","9","RB Leipzig","40.826","489.920"
"2019/20","10","SV Werder Bremen","40.820","449.028"
"2019/20","11","Bayer 04 Leverkusen","27.769","361.006"
"2019/20","12","TSG Hoffenheim","26.741","347.634"
"2019/20","13","1.FC Augsburg","26.524","344.813"
"2019/20","14","FSV Mainz 05","26.402","343.237"
"2019/20","15","VfL Wolfsburg","24.350","316.558"
"2019/20","16","SC Freiburg","23.925","287.100"
"2019/20","17","1. FC Union Berlin","21.911","262.937"
"2019/20","18","SC Paderborn 07","14.434","187.648"
"2020/21","1","RB Leipzig","5.999","17.999"
"2020/21","2","Borussia Mönchengladbach","5.341","10.683"
"2020/21","3","VfB Stuttgart","9.500","9.500"
"2020/21","4","Borussia Dortmund","9.300","9.300"
"2020/21","5","Hertha BSC","4.000","8.000"
"2020/21","6","Eintracht Frankfurt","8.000","8.000"
"2020/21","7","Bayer 04 Leverkusen","6.042","6.042"
"2020/21","8","TSG Hoffenheim","6.030","6.030"
"2020/21","9","1.FC Augsburg","6.000","6.000"
"2020/21","10","Arminia Bielefeld","5.460","5.460"
"2020/21","11","VfL Wolfsburg","4.519","4.519"
"2020/21","12","1. FC Union Berlin","4.400","4.400"
"2020/21","13","FSV Mainz 05","1.826","3.653"
"2020/21","14","SC Freiburg","3.200","3.200"
"2020/21","15","FC Schalke 04","1","1"
"2020/21","16","1. FC Köln","0","0"
"2020/21","17","FC Bayern München","0","0"
"2020/21","18","SV Werder Bremen","0","0"
"2021/22","1","Borussia Dortmund","35.348","459.536"
"2021/22","2","FC Bayern München","34.500","414.000"
"2021/22","3","1. FC Köln","28.828","403.600"
"2021/22","4","Eintracht Frankfurt","24.484","391.750"
"2021/22","5","RB Leipzig","29.415","352.983"
"2021/22","6","Borussia Mönchengladbach","23.114","346.723"
"2021/22","7","VfB Stuttgart","25.526","331.843"
"2021/22","8","Hertha BSC","22.718","295.342"
"2021/22","9","Arminia Bielefeld","16.142","226.001"
"2021/22","10","FSV Mainz 05","15.500","217.005"
"2021/22","11","Bayer 04 Leverkusen","16.427","197.133"
"2021/22","12","1. FC Union Berlin","12.984","194.761"
"2021/22","13","VfL Bochum","13.872","194.208"
"2021/22","14","SC Freiburg","14.092","183.200"
"2021/22","15","VfL Wolfsburg","11.143","167.156"
"2021/22","16","TSG Hoffenheim","11.265","146.456"
"2021/22","17","1.FC Augsburg","13.140","131.401"
"2021/22","18","SpVgg Greuther Fürth","9.527","95.276"
"2022/23","1","Borussia Dortmund","81.235","1.299.775"
"2022/23","2","FC Bayern München","75.000","1.200.000"
"2022/23","3","Hertha BSC","54.212","867.393"
"2022/23","4","Borussia Mönchengladbach","52.458","839.333"
"2022/23","5","1. FC Köln","50.062","801.000"
"2022/23","6","FC Schalke 04","61.058","732.696"
"2022/23","7","Eintracht Frankfurt","49.835","697.700"
"2022/23","8","VfB Stuttgart","46.226","693.403"
"2022/23","9","RB Leipzig","45.172","632.416"
"2022/23","10","SV Werder Bremen","41.726","542.446"
"2022/23","11","SC Freiburg","33.980","509.700"
"2022/23","12","Bayer 04 Leverkusen","28.481","484.186"
"2022/23","13","FSV Mainz 05","29.293","468.694"
"2022/23","14","1.FC Augsburg","28.121","449.939"
"2022/23","15","VfL Wolfsburg","25.393","431.691"
"2022/23","16","VfL Bochum","25.366","380.497"
"2022/23","17","TSG Hoffenheim","25.159","377.395"
"2022/23","18","1. FC Union Berlin","21.935","350.971"
"2023/24","1","Borussia Dortmund","81.225","1.380.825"
"2023/24","2","FC Bayern München","75.000","1.275.000"
"2023/24","3","Eintracht Frankfurt","56.958","968.300"
"2023/24","4","VfB Stuttgart","55.106","936.805"
"2023/24","5","Borussia Mönchengladbach","51.518","875.817"
"2023/24","6","1. FC Köln","49.829","847.100"
"2023/24","7","RB Leipzig","44.836","762.217"
"2023/24","8","SV Werder Bremen","41.721","709.258"
"2023/24","9","SC Freiburg","34.154","580.634"
"2023/24","10","FSV Mainz 05","30.690","521.735"
"2023/24","11","Bayer 04 Leverkusen","30.025","510.431"
"2023/24","12","1.FC Augsburg","29.590","503.031"
"2023/24","13","VfL Wolfsburg","25.601","435.222"
"2023/24","14","VfL Bochum","25.416","406.658"
"2023/24","15","TSG Hoffenheim","25.092","401.480"
"2023/24","16","1. FC Union Berlin","21.935","372.906"
"2023/24","17","SV Darmstadt 98","16.683","283.613"
"2023/24","18","1. FC Heidenheim","15.000","255.000"
"2024/25","1","Borussia Dortmund","81.365","1.220.475"
"2024/25","2","FC Bayern München","75.000","1.200.000"
"2024/25","3","VfB Stuttgart","59.406","950.500"
"2024/25","4","Eintracht Frankfurt","57.621","806.700"
"2024/25","5","Borussia Mönchengladbach","50.885","763.289"
"2024/25","6","RB Leipzig","44.983","719.742"
"2024/25","7","SV Werder Bremen","41.350","620.252"
"2024/25","8","FSV Mainz 05","32.354","550.025"
"2024/25","9","SC Freiburg","34.220","513.300"
"2024/25","10","Bayer 04 Leverkusen","29.927","448.909"
"2024/25","11","1.FC Augsburg","29.808","417.321"
"2024/25","12","TSG Hoffenheim","25.685","410.971"
"2024/25","13","FC St. Pauli","29.542","384.052"
"2024/25","14","VfL Wolfsburg","24.579","368.696"
"2024/25","15","VfL Bochum","25.434","330.654"
"2024/25","16","1. FC Union Berlin","21.982","285.778"
"2024/25","17","1. FC Heidenheim","15.000","240.000"
"2024/25","18","Holstein Kiel","14.916","223.748"
