id,spieltag,saison,heim,gast,tore_heim,tore_gast
1,1,1963/64,Hertha BSC,1. FC Nürnberg,1,1
2,1,1963/64,SV Werder Bremen,Borussia Dortmund,3,2
3,1,1963/64,Eintracht Frankfurt,1.FC Kaiserslautern,1,1
4,1,1963/64,Karlsruher SC,Meidericher SV,1,4
5,1,1963/64,TSV 1860 München,Eintracht Braunschweig,1,1
6,1,1963/64,Preußen Münster,Hamburger SV,1,1
7,1,1963/64,1. FC Saarbrücken,1. FC Köln,0,2
8,1,1963/64,FC Schalke 04,VfB Stuttgart,2,0
9,2,1963/64,Eintracht Braunschweig,Preußen Münster,1,0
10,2,1963/64,Borussia Dortmund,TSV 1860 München,3,3
11,2,1963/64,Meidericher SV,Eintracht Frankfurt,3,1
12,2,1963/64,Hamburger SV,1. FC Saarbrücken,4,2
13,2,1963/64,1.FC Kaiserslautern,FC Schalke 04,2,3
14,2,1963/64,1. FC Köln,Karlsruher SC,4,0
15,2,1963/64,1. FC Nürnberg,SV Werder Bremen,3,0
16,2,1963/64,VfB Stuttgart,Hertha BSC,2,0
17,3,1963/64,Hertha BSC,1.FC Kaiserslautern,2,2
18,3,1963/64,SV Werder Bremen,VfB Stuttgart,2,2
19,3,1963/64,Eintracht Frankfurt,1. FC Nürnberg,2,3
20,3,1963/64,Karlsruher SC,Hamburger SV,0,4
21,3,1963/64,TSV 1860 München,1. FC Köln,1,3
22,3,1963/64,Preußen Münster,Meidericher SV,4,2
23,3,1963/64,1. FC Saarbrücken,Eintracht Braunschweig,2,2
24,3,1963/64,FC Schalke 04,Borussia Dortmund,3,1
25,4,1963/64,Eintracht Braunschweig,Karlsruher SC,2,0
26,4,1963/64,Borussia Dortmund,1. FC Saarbrücken,2,1
27,4,1963/64,Meidericher SV,Hertha BSC,1,3
28,4,1963/64,Hamburger SV,Eintracht Frankfurt,3,0
29,4,1963/64,1.FC Kaiserslautern,SV Werder Bremen,3,0
30,4,1963/64,1. FC Köln,FC Schalke 04,2,2
31,4,1963/64,1. FC Nürnberg,Preußen Münster,2,2
32,4,1963/64,VfB Stuttgart,TSV 1860 München,1,1
33,5,1963/64,Hertha BSC,1. FC Köln,0,3
34,5,1963/64,SV Werder Bremen,Meidericher SV,1,1
35,5,1963/64,Eintracht Frankfurt,Eintracht Braunschweig,3,0
36,5,1963/64,Karlsruher SC,Borussia Dortmund,1,3
37,5,1963/64,TSV 1860 München,1.FC Kaiserslautern,3,0
38,5,1963/64,Preußen Münster,VfB Stuttgart,4,2
39,5,1963/64,1. FC Saarbrücken,1. FC Nürnberg,3,5
40,5,1963/64,FC Schalke 04,Hamburger SV,1,0
41,6,1963/64,Meidericher SV,TSV 1860 München,3,0
42,6,1963/64,1.FC Kaiserslautern,Preußen Münster,0,0
43,6,1963/64,1. FC Köln,SV Werder Bremen,4,3
44,6,1963/64,VfB Stuttgart,1. FC Saarbrücken,3,1
45,6,1963/64,1. FC Nürnberg,Karlsruher SC,2,4
46,6,1963/64,Hamburger SV,Hertha BSC,5,1
47,6,1963/64,Eintracht Braunschweig,FC Schalke 04,4,3
48,6,1963/64,Borussia Dortmund,Eintracht Frankfurt,3,0
49,7,1963/64,Hertha BSC,Eintracht Braunschweig,1,2
50,7,1963/64,Eintracht Frankfurt,1. FC Köln,2,1
51,7,1963/64,Karlsruher SC,VfB Stuttgart,0,3
52,7,1963/64,TSV 1860 München,1. FC Nürnberg,5,0
53,7,1963/64,1. FC Saarbrücken,1.FC Kaiserslautern,2,4
54,7,1963/64,FC Schalke 04,Meidericher SV,2,2
55,7,1963/64,SV Werder Bremen,Hamburger SV,4,2
56,7,1963/64,Preußen Münster,Borussia Dortmund,1,2
57,8,1963/64,Eintracht Braunschweig,SV Werder Bremen,1,1
58,8,1963/64,Meidericher SV,1. FC Saarbrücken,3,1
59,8,1963/64,Hamburger SV,TSV 1860 München,5,0
60,8,1963/64,1.FC Kaiserslautern,Karlsruher SC,1,0
61,8,1963/64,1. FC Köln,Preußen Münster,3,0
62,8,1963/64,1. FC Nürnberg,FC Schalke 04,0,2
63,8,1963/64,VfB Stuttgart,Eintracht Frankfurt,0,0
64,8,1963/64,Borussia Dortmund,Hertha BSC,7,2
65,9,1963/64,Hertha BSC,Eintracht Frankfurt,1,3
66,9,1963/64,Hamburger SV,Eintracht Braunschweig,2,1
67,9,1963/64,1. FC Köln,Meidericher SV,3,3
68,9,1963/64,Preußen Münster,TSV 1860 München,0,0
69,9,1963/64,1. FC Nürnberg,1.FC Kaiserslautern,0,5
70,9,1963/64,1. FC Saarbrücken,Karlsruher SC,1,3
71,9,1963/64,FC Schalke 04,SV Werder Bremen,2,3
72,9,1963/64,VfB Stuttgart,Borussia Dortmund,2,1
73,10,1963/64,Eintracht Braunschweig,1. FC Köln,1,1
74,10,1963/64,Meidericher SV,Hamburger SV,4,0
75,10,1963/64,Eintracht Frankfurt,FC Schalke 04,4,2
76,10,1963/64,1.FC Kaiserslautern,VfB Stuttgart,1,3
77,10,1963/64,Karlsruher SC,Preußen Münster,4,2
78,10,1963/64,TSV 1860 München,1. FC Saarbrücken,7,1
79,10,1963/64,SV Werder Bremen,Hertha BSC,2,2
80,10,1963/64,Borussia Dortmund,1. FC Nürnberg,3,1
81,11,1963/64,Eintracht Braunschweig,Meidericher SV,0,0
82,11,1963/64,1. FC Köln,Hamburger SV,4,1
83,11,1963/64,1. FC Saarbrücken,Preußen Münster,1,1
84,11,1963/64,VfB Stuttgart,1. FC Nürnberg,1,0
85,11,1963/64,SV Werder Bremen,Eintracht Frankfurt,4,1
86,11,1963/64,TSV 1860 München,Karlsruher SC,1,0
87,11,1963/64,Borussia Dortmund,1.FC Kaiserslautern,9,3
88,11,1963/64,FC Schalke 04,Hertha BSC,1,0
89,12,1963/64,Hertha BSC,1. FC Saarbrücken,3,2
90,12,1963/64,Meidericher SV,Borussia Dortmund,3,3
91,12,1963/64,Hamburger SV,VfB Stuttgart,1,1
92,12,1963/64,1.FC Kaiserslautern,Eintracht Braunschweig,2,1
93,12,1963/64,Karlsruher SC,SV Werder Bremen,1,1
94,12,1963/64,Preußen Münster,FC Schalke 04,2,2
95,12,1963/64,1. FC Nürnberg,1. FC Köln,2,2
96,12,1963/64,Eintracht Frankfurt,TSV 1860 München,5,2
97,13,1963/64,Hertha BSC,Karlsruher SC,2,3
98,13,1963/64,1.FC Kaiserslautern,Hamburger SV,3,2
99,13,1963/64,1. FC Nürnberg,Meidericher SV,2,0
100,13,1963/64,SV Werder Bremen,1. FC Saarbrücken,0,3
101,13,1963/64,Eintracht Frankfurt,Preußen Münster,3,0
102,13,1963/64,VfB Stuttgart,Eintracht Braunschweig,5,0
103,13,1963/64,FC Schalke 04,TSV 1860 München,2,1
104,13,1963/64,Borussia Dortmund,1. FC Köln,2,3
105,14,1963/64,Meidericher SV,VfB Stuttgart,3,0
106,14,1963/64,Preußen Münster,SV Werder Bremen,1,3
107,14,1963/64,Karlsruher SC,FC Schalke 04,1,1
108,14,1963/64,TSV 1860 München,Hertha BSC,1,2
109,14,1963/64,1. FC Saarbrücken,Eintracht Frankfurt,0,4
110,14,1963/64,Eintracht Braunschweig,1. FC Nürnberg,2,0
111,14,1963/64,1. FC Köln,1.FC Kaiserslautern,5,1
112,14,1963/64,Hamburger SV,Borussia Dortmund,2,1
113,15,1963/64,SV Werder Bremen,TSV 1860 München,4,1
114,15,1963/64,Eintracht Frankfurt,Karlsruher SC,0,3
115,15,1963/64,1.FC Kaiserslautern,Meidericher SV,1,1
116,15,1963/64,1. FC Nürnberg,Hamburger SV,3,2
117,15,1963/64,FC Schalke 04,1. FC Saarbrücken,4,1
118,15,1963/64,VfB Stuttgart,1. FC Köln,0,1
119,15,1963/64,Hertha BSC,Preußen Münster,2,0
120,15,1963/64,Borussia Dortmund,Eintracht Braunschweig,3,0
121,16,1963/64,Borussia Dortmund,SV Werder Bremen,4,3
122,16,1963/64,Meidericher SV,Karlsruher SC,2,0
123,16,1963/64,Hamburger SV,Preußen Münster,5,0
124,16,1963/64,1.FC Kaiserslautern,Eintracht Frankfurt,1,1
125,16,1963/64,1. FC Köln,1. FC Saarbrücken,1,3
126,16,1963/64,1. FC Nürnberg,Hertha BSC,2,3
127,16,1963/64,Eintracht Braunschweig,TSV 1860 München,0,1
128,16,1963/64,VfB Stuttgart,FC Schalke 04,2,0
129,17,1963/64,Hertha BSC,VfB Stuttgart,0,2
130,17,1963/64,Karlsruher SC,1. FC Köln,2,2
131,17,1963/64,TSV 1860 München,Borussia Dortmund,6,1
132,17,1963/64,Preußen Münster,Eintracht Braunschweig,0,2
133,17,1963/64,FC Schalke 04,1.FC Kaiserslautern,4,0
134,17,1963/64,SV Werder Bremen,1. FC Nürnberg,2,1
135,17,1963/64,Eintracht Frankfurt,Meidericher SV,2,2
136,17,1963/64,1. FC Saarbrücken,Hamburger SV,1,1
137,18,1963/64,Borussia Dortmund,FC Schalke 04,3,0
138,18,1963/64,Meidericher SV,Preußen Münster,0,0
139,18,1963/64,Hamburger SV,Karlsruher SC,1,1
140,18,1963/64,1. FC Köln,TSV 1860 München,2,2
141,18,1963/64,1. FC Nürnberg,Eintracht Frankfurt,1,0
142,18,1963/64,1.FC Kaiserslautern,Hertha BSC,3,0
143,18,1963/64,Eintracht Braunschweig,1. FC Saarbrücken,3,1
144,18,1963/64,VfB Stuttgart,SV Werder Bremen,2,0
145,19,1963/64,SV Werder Bremen,1.FC Kaiserslautern,2,0
146,19,1963/64,Karlsruher SC,Eintracht Braunschweig,3,1
147,19,1963/64,FC Schalke 04,1. FC Köln,2,3
148,19,1963/64,Preußen Münster,1. FC Nürnberg,0,1
149,19,1963/64,TSV 1860 München,VfB Stuttgart,1,1
150,19,1963/64,Hertha BSC,Meidericher SV,5,2
151,19,1963/64,1. FC Saarbrücken,Borussia Dortmund,2,1
152,19,1963/64,Eintracht Frankfurt,Hamburger SV,2,2
153,20,1963/64,Eintracht Braunschweig,Eintracht Frankfurt,0,3
154,20,1963/64,Borussia Dortmund,Karlsruher SC,3,2
155,20,1963/64,Meidericher SV,SV Werder Bremen,1,0
156,20,1963/64,Hamburger SV,FC Schalke 04,3,1
157,20,1963/64,1.FC Kaiserslautern,TSV 1860 München,2,1
158,20,1963/64,1. FC Köln,Hertha BSC,3,1
159,20,1963/64,1. FC Nürnberg,1. FC Saarbrücken,2,0
160,20,1963/64,VfB Stuttgart,Preußen Münster,0,3
161,21,1963/64,Hertha BSC,Hamburger SV,1,2
162,21,1963/64,SV Werder Bremen,1. FC Köln,1,1
163,21,1963/64,Eintracht Frankfurt,Borussia Dortmund,2,1
164,21,1963/64,Karlsruher SC,1. FC Nürnberg,1,3
165,21,1963/64,Preußen Münster,1.FC Kaiserslautern,1,0
166,21,1963/64,1. FC Saarbrücken,VfB Stuttgart,0,1
167,21,1963/64,FC Schalke 04,Eintracht Braunschweig,2,0
168,21,1963/64,TSV 1860 München,Meidericher SV,0,0
169,22,1963/64,Borussia Dortmund,Preußen Münster,0,0
170,22,1963/64,Meidericher SV,FC Schalke 04,3,0
171,22,1963/64,1.FC Kaiserslautern,1. FC Saarbrücken,2,4
172,22,1963/64,1. FC Köln,Eintracht Frankfurt,1,1
173,22,1963/64,1. FC Nürnberg,TSV 1860 München,2,2
174,22,1963/64,VfB Stuttgart,Karlsruher SC,4,1
175,22,1963/64,Hamburger SV,SV Werder Bremen,1,1
176,22,1963/64,Eintracht Braunschweig,Hertha BSC,1,1
177,23,1963/64,Hertha BSC,Borussia Dortmund,0,0
178,23,1963/64,SV Werder Bremen,Eintracht Braunschweig,2,3
179,23,1963/64,Eintracht Frankfurt,VfB Stuttgart,3,2
180,23,1963/64,Karlsruher SC,1.FC Kaiserslautern,5,1
181,23,1963/64,TSV 1860 München,Hamburger SV,9,2
182,23,1963/64,Preußen Münster,1. FC Köln,0,2
183,23,1963/64,1. FC Saarbrücken,Meidericher SV,0,2
184,23,1963/64,FC Schalke 04,1. FC Nürnberg,4,1
185,24,1963/64,Eintracht Braunschweig,Hamburger SV,2,1
186,24,1963/64,SV Werder Bremen,FC Schalke 04,1,0
187,24,1963/64,Borussia Dortmund,VfB Stuttgart,7,1
188,24,1963/64,Meidericher SV,1. FC Köln,2,2
189,24,1963/64,Eintracht Frankfurt,Hertha BSC,4,0
190,24,1963/64,1.FC Kaiserslautern,1. FC Nürnberg,3,1
191,24,1963/64,Karlsruher SC,1. FC Saarbrücken,2,2
192,24,1963/64,TSV 1860 München,Preußen Münster,3,1
193,25,1963/64,Hamburger SV,Meidericher SV,3,3
194,25,1963/64,1. FC Köln,Eintracht Braunschweig,4,1
195,25,1963/64,Preußen Münster,Karlsruher SC,0,0
196,25,1963/64,1. FC Nürnberg,Borussia Dortmund,4,0
197,25,1963/64,1. FC Saarbrücken,TSV 1860 München,1,2
198,25,1963/64,FC Schalke 04,Eintracht Frankfurt,1,2
199,25,1963/64,VfB Stuttgart,1.FC Kaiserslautern,4,0
200,25,1963/64,Hertha BSC,SV Werder Bremen,5,2
201,26,1963/64,Hertha BSC,FC Schalke 04,1,0
202,26,1963/64,Meidericher SV,Eintracht Braunschweig,5,1
203,26,1963/64,Eintracht Frankfurt,SV Werder Bremen,7,0
204,26,1963/64,Hamburger SV,1. FC Köln,1,1
205,26,1963/64,1.FC Kaiserslautern,Borussia Dortmund,0,1
206,26,1963/64,Karlsruher SC,TSV 1860 München,1,0
207,26,1963/64,Preußen Münster,1. FC Saarbrücken,2,1
208,26,1963/64,1. FC Nürnberg,VfB Stuttgart,0,0
209,27,1963/64,Eintracht Braunschweig,1.FC Kaiserslautern,0,1
210,27,1963/64,SV Werder Bremen,Karlsruher SC,0,0
211,27,1963/64,Borussia Dortmund,Meidericher SV,0,0
212,27,1963/64,1. FC Köln,1. FC Nürnberg,5,0
213,27,1963/64,TSV 1860 München,Eintracht Frankfurt,1,1
214,27,1963/64,1. FC Saarbrücken,Hertha BSC,3,0
215,27,1963/64,FC Schalke 04,Preußen Münster,1,2
216,27,1963/64,VfB Stuttgart,Hamburger SV,2,2
217,28,1963/64,Eintracht Braunschweig,VfB Stuttgart,2,0
218,28,1963/64,Meidericher SV,1. FC Nürnberg,0,0
219,28,1963/64,Hamburger SV,1.FC Kaiserslautern,7,3
220,28,1963/64,Karlsruher SC,Hertha BSC,1,1
221,28,1963/64,1. FC Köln,Borussia Dortmund,5,2
222,28,1963/64,TSV 1860 München,FC Schalke 04,7,1
223,28,1963/64,Preußen Münster,Eintracht Frankfurt,1,3
224,28,1963/64,1. FC Saarbrücken,SV Werder Bremen,3,2
225,29,1963/64,Hertha BSC,TSV 1860 München,3,1
226,29,1963/64,SV Werder Bremen,Preußen Münster,4,2
227,29,1963/64,Eintracht Frankfurt,1. FC Saarbrücken,3,1
228,29,1963/64,1.FC Kaiserslautern,1. FC Köln,3,3
229,29,1963/64,1. FC Nürnberg,Eintracht Braunschweig,1,0
230,29,1963/64,FC Schalke 04,Karlsruher SC,2,1
231,29,1963/64,VfB Stuttgart,Meidericher SV,1,2
232,29,1963/64,Borussia Dortmund,Hamburger SV,5,2
233,30,1963/64,Eintracht Braunschweig,Borussia Dortmund,2,0
234,30,1963/64,Meidericher SV,1.FC Kaiserslautern,3,0
235,30,1963/64,Hamburger SV,1. FC Nürnberg,2,2
236,30,1963/64,Karlsruher SC,Eintracht Frankfurt,1,2
237,30,1963/64,1. FC Köln,VfB Stuttgart,2,1
238,30,1963/64,TSV 1860 München,SV Werder Bremen,3,2
239,30,1963/64,Preußen Münster,Hertha BSC,4,2
240,30,1963/64,1. FC Saarbrücken,FC Schalke 04,1,1
241,1,1964/65,Eintracht Braunschweig,TSV 1860 München,1,1
242,1,1964/65,Borussia Dortmund,Hannover 96,0,2
243,1,1964/65,Eintracht Frankfurt,FC Schalke 04,2,2
244,1,1964/65,Hamburger SV,VfB Stuttgart,2,2
245,1,1964/65,1.FC Kaiserslautern,SV Werder Bremen,2,1
246,1,1964/65,Karlsruher SC,Meidericher SV,2,1
247,1,1964/65,1. FC Köln,Hertha BSC,2,3
248,1,1964/65,1. FC Nürnberg,Borussia Neunkirchen,2,0
249,2,1964/65,Hertha BSC,Hamburger SV,0,0
250,2,1964/65,SV Werder Bremen,Eintracht Braunschweig,5,1
251,2,1964/65,Meidericher SV,1.FC Kaiserslautern,3,1
252,2,1964/65,Hannover 96,1. FC Köln,2,0
253,2,1964/65,TSV 1860 München,Eintracht Frankfurt,0,1
254,2,1964/65,Borussia Neunkirchen,Borussia Dortmund,1,2
255,2,1964/65,FC Schalke 04,Karlsruher SC,1,1
256,2,1964/65,VfB Stuttgart,1. FC Nürnberg,3,1
257,3,1964/65,Eintracht Braunschweig,Meidericher SV,0,1
258,3,1964/65,Eintracht Frankfurt,SV Werder Bremen,0,2
259,3,1964/65,Hamburger SV,Hannover 96,3,0
260,3,1964/65,1.FC Kaiserslautern,FC Schalke 04,3,0
261,3,1964/65,Karlsruher SC,TSV 1860 München,1,5
262,3,1964/65,1. FC Köln,Borussia Neunkirchen,4,3
263,3,1964/65,1. FC Nürnberg,Hertha BSC,2,0
264,3,1964/65,Borussia Dortmund,VfB Stuttgart,1,0
265,4,1964/65,Hertha BSC,Borussia Dortmund,0,0
266,4,1964/65,SV Werder Bremen,Karlsruher SC,1,0
267,4,1964/65,Meidericher SV,Eintracht Frankfurt,1,3
268,4,1964/65,Hannover 96,1. FC Nürnberg,2,2
269,4,1964/65,TSV 1860 München,1.FC Kaiserslautern,2,2
270,4,1964/65,Borussia Neunkirchen,Hamburger SV,3,1
271,4,1964/65,FC Schalke 04,Eintracht Braunschweig,0,3
272,4,1964/65,VfB Stuttgart,1. FC Köln,3,3
273,5,1964/65,Eintracht Braunschweig,Borussia Neunkirchen,1,0
274,5,1964/65,Eintracht Frankfurt,Karlsruher SC,0,7
275,5,1964/65,Hamburger SV,Meidericher SV,3,0
276,5,1964/65,1.FC Kaiserslautern,Hannover 96,1,0
277,5,1964/65,1. FC Köln,SV Werder Bremen,4,2
278,5,1964/65,1. FC Nürnberg,FC Schalke 04,3,2
279,5,1964/65,VfB Stuttgart,Hertha BSC,1,1
280,5,1964/65,Borussia Dortmund,TSV 1860 München,1,1
281,6,1964/65,Hertha BSC,Eintracht Frankfurt,1,3
282,6,1964/65,SV Werder Bremen,Hamburger SV,0,0
283,6,1964/65,Meidericher SV,1. FC Köln,0,3
284,6,1964/65,Hannover 96,Eintracht Braunschweig,2,2
285,6,1964/65,Karlsruher SC,VfB Stuttgart,0,0
286,6,1964/65,TSV 1860 München,1. FC Nürnberg,2,0
287,6,1964/65,Borussia Neunkirchen,1.FC Kaiserslautern,0,3
288,6,1964/65,FC Schalke 04,Borussia Dortmund,2,6
289,7,1964/65,Hertha BSC,TSV 1860 München,2,1
290,7,1964/65,Borussia Dortmund,1.FC Kaiserslautern,3,2
291,7,1964/65,Hamburger SV,Eintracht Frankfurt,2,1
292,7,1964/65,Hannover 96,SV Werder Bremen,1,2
293,7,1964/65,1. FC Köln,Eintracht Braunschweig,5,1
294,7,1964/65,Borussia Neunkirchen,Meidericher SV,4,2
295,7,1964/65,1. FC Nürnberg,Karlsruher SC,4,1
296,7,1964/65,VfB Stuttgart,FC Schalke 04,2,1
297,8,1964/65,Eintracht Braunschweig,Borussia Dortmund,0,1
298,8,1964/65,SV Werder Bremen,Borussia Neunkirchen,2,0
299,8,1964/65,Meidericher SV,VfB Stuttgart,3,3
300,8,1964/65,Eintracht Frankfurt,1. FC Köln,1,4
301,8,1964/65,1.FC Kaiserslautern,1. FC Nürnberg,3,2
302,8,1964/65,Karlsruher SC,Hamburger SV,2,2
303,8,1964/65,TSV 1860 München,Hannover 96,4,0
304,8,1964/65,FC Schalke 04,Hertha BSC,3,0
305,9,1964/65,Hertha BSC,Meidericher SV,2,2
306,9,1964/65,Borussia Dortmund,Eintracht Frankfurt,1,3
307,9,1964/65,Hamburger SV,1.FC Kaiserslautern,3,2
308,9,1964/65,Hannover 96,FC Schalke 04,1,0
309,9,1964/65,1. FC Köln,Karlsruher SC,4,1
310,9,1964/65,Borussia Neunkirchen,TSV 1860 München,3,0
311,9,1964/65,1. FC Nürnberg,Eintracht Braunschweig,3,2
312,9,1964/65,VfB Stuttgart,SV Werder Bremen,1,1
313,10,1964/65,Eintracht Braunschweig,Hamburger SV,2,0
314,10,1964/65,SV Werder Bremen,Hertha BSC,5,1
315,10,1964/65,Meidericher SV,Hannover 96,1,0
316,10,1964/65,Eintracht Frankfurt,1. FC Nürnberg,1,1
317,10,1964/65,1.FC Kaiserslautern,1. FC Köln,2,2
318,10,1964/65,Karlsruher SC,Borussia Dortmund,2,0
319,10,1964/65,TSV 1860 München,VfB Stuttgart,1,0
320,10,1964/65,FC Schalke 04,Borussia Neunkirchen,1,1
321,11,1964/65,Hertha BSC,1.FC Kaiserslautern,5,3
322,11,1964/65,SV Werder Bremen,FC Schalke 04,2,2
323,11,1964/65,Borussia Dortmund,Meidericher SV,0,0
324,11,1964/65,Hannover 96,Eintracht Frankfurt,3,2
325,11,1964/65,1. FC Köln,TSV 1860 München,1,1
326,11,1964/65,Borussia Neunkirchen,Karlsruher SC,1,0
327,11,1964/65,1. FC Nürnberg,Hamburger SV,2,3
328,11,1964/65,VfB Stuttgart,Eintracht Braunschweig,3,1
329,12,1964/65,Eintracht Braunschweig,Hertha BSC,1,1
330,12,1964/65,Meidericher SV,1. FC Nürnberg,2,0
331,12,1964/65,Eintracht Frankfurt,Borussia Neunkirchen,1,0
332,12,1964/65,Hamburger SV,Borussia Dortmund,1,4
333,12,1964/65,1.FC Kaiserslautern,VfB Stuttgart,2,1
334,12,1964/65,Karlsruher SC,Hannover 96,2,3
335,12,1964/65,TSV 1860 München,SV Werder Bremen,3,1
336,12,1964/65,FC Schalke 04,1. FC Köln,2,3
337,13,1964/65,Hertha BSC,Karlsruher SC,2,1
338,13,1964/65,Eintracht Braunschweig,1.FC Kaiserslautern,2,0
339,13,1964/65,1. FC Köln,Hamburger SV,3,0
340,13,1964/65,Borussia Neunkirchen,Hannover 96,2,1
341,13,1964/65,1. FC Nürnberg,Borussia Dortmund,1,0
342,13,1964/65,FC Schalke 04,TSV 1860 München,2,2
343,13,1964/65,VfB Stuttgart,Eintracht Frankfurt,1,2
344,13,1964/65,SV Werder Bremen,Meidericher SV,1,0
345,14,1964/65,Borussia Dortmund,SV Werder Bremen,1,2
346,14,1964/65,Eintracht Frankfurt,Eintracht Braunschweig,2,2
347,14,1964/65,Hamburger SV,TSV 1860 München,3,2
348,14,1964/65,Hannover 96,VfB Stuttgart,2,1
349,14,1964/65,Borussia Neunkirchen,Hertha BSC,2,2
350,14,1964/65,1. FC Nürnberg,1. FC Köln,3,0
351,14,1964/65,Meidericher SV,FC Schalke 04,2,1
352,14,1964/65,Karlsruher SC,1.FC Kaiserslautern,6,1
353,15,1964/65,Hertha BSC,Hannover 96,1,1
354,15,1964/65,1.FC Kaiserslautern,Eintracht Frankfurt,0,1
355,15,1964/65,1. FC Köln,Borussia Dortmund,3,3
356,15,1964/65,TSV 1860 München,Meidericher SV,2,1
357,15,1964/65,FC Schalke 04,Hamburger SV,3,1
358,15,1964/65,VfB Stuttgart,Borussia Neunkirchen,3,2
359,15,1964/65,Eintracht Braunschweig,Karlsruher SC,3,0
360,15,1964/65,SV Werder Bremen,1. FC Nürnberg,1,1
361,16,1964/65,Hertha BSC,1. FC Köln,1,3
362,16,1964/65,Meidericher SV,Karlsruher SC,1,1
363,16,1964/65,Hannover 96,Borussia Dortmund,2,0
364,16,1964/65,TSV 1860 München,Eintracht Braunschweig,2,0
365,16,1964/65,Borussia Neunkirchen,1. FC Nürnberg,1,1
366,16,1964/65,FC Schalke 04,Eintracht Frankfurt,1,1
367,16,1964/65,SV Werder Bremen,1.FC Kaiserslautern,1,1
368,16,1964/65,VfB Stuttgart,Hamburger SV,2,4
369,17,1964/65,1. FC Nürnberg,VfB Stuttgart,1,1
370,17,1964/65,Eintracht Braunschweig,SV Werder Bremen,1,1
371,17,1964/65,Borussia Dortmund,Borussia Neunkirchen,5,1
372,17,1964/65,Eintracht Frankfurt,TSV 1860 München,4,1
373,17,1964/65,Hamburger SV,Hertha BSC,4,1
374,17,1964/65,1.FC Kaiserslautern,Meidericher SV,2,0
375,17,1964/65,Karlsruher SC,FC Schalke 04,2,2
376,17,1964/65,1. FC Köln,Hannover 96,0,1
377,18,1964/65,Hertha BSC,1. FC Nürnberg,1,2
378,18,1964/65,Hannover 96,Hamburger SV,1,2
379,18,1964/65,Borussia Neunkirchen,1. FC Köln,1,1
380,18,1964/65,SV Werder Bremen,Eintracht Frankfurt,2,2
381,18,1964/65,Meidericher SV,Eintracht Braunschweig,2,0
382,18,1964/65,FC Schalke 04,1.FC Kaiserslautern,1,0
383,18,1964/65,VfB Stuttgart,Borussia Dortmund,3,2
384,18,1964/65,TSV 1860 München,Karlsruher SC,9,0
385,19,1964/65,Eintracht Braunschweig,FC Schalke 04,1,2
386,19,1964/65,Borussia Dortmund,Hertha BSC,6,3
387,19,1964/65,Eintracht Frankfurt,Meidericher SV,2,3
388,19,1964/65,Hamburger SV,Borussia Neunkirchen,1,2
389,19,1964/65,1.FC Kaiserslautern,TSV 1860 München,1,2
390,19,1964/65,Karlsruher SC,SV Werder Bremen,0,2
391,19,1964/65,1. FC Köln,VfB Stuttgart,2,1
392,19,1964/65,1. FC Nürnberg,Hannover 96,1,0
393,20,1964/65,Hertha BSC,VfB Stuttgart,0,0
394,20,1964/65,SV Werder Bremen,1. FC Köln,0,0
395,20,1964/65,Meidericher SV,Hamburger SV,3,2
396,20,1964/65,Karlsruher SC,Eintracht Frankfurt,3,1
397,20,1964/65,TSV 1860 München,Borussia Dortmund,4,4
398,20,1964/65,Borussia Neunkirchen,Eintracht Braunschweig,0,0
399,20,1964/65,FC Schalke 04,1. FC Nürnberg,1,3
400,20,1964/65,Hannover 96,1.FC Kaiserslautern,4,0
401,21,1964/65,Eintracht Braunschweig,Hannover 96,2,2
402,21,1964/65,Borussia Dortmund,FC Schalke 04,4,0
403,21,1964/65,Eintracht Frankfurt,Hertha BSC,3,0
404,21,1964/65,Hamburger SV,SV Werder Bremen,0,4
405,21,1964/65,1. FC Köln,Meidericher SV,1,2
406,21,1964/65,1. FC Nürnberg,TSV 1860 München,2,2
407,21,1964/65,VfB Stuttgart,Karlsruher SC,1,2
408,21,1964/65,1.FC Kaiserslautern,Borussia Neunkirchen,2,0
409,22,1964/65,Eintracht Braunschweig,1. FC Köln,1,1
410,22,1964/65,SV Werder Bremen,Hannover 96,3,0
411,22,1964/65,Meidericher SV,Borussia Neunkirchen,1,1
412,22,1964/65,Eintracht Frankfurt,Hamburger SV,2,1
413,22,1964/65,1.FC Kaiserslautern,Borussia Dortmund,1,3
414,22,1964/65,Karlsruher SC,1. FC Nürnberg,1,1
415,22,1964/65,TSV 1860 München,Hertha BSC,6,4
416,22,1964/65,FC Schalke 04,VfB Stuttgart,3,1
417,23,1964/65,Borussia Dortmund,Eintracht Braunschweig,5,4
418,23,1964/65,Hamburger SV,Karlsruher SC,2,1
419,23,1964/65,Hannover 96,TSV 1860 München,0,2
420,23,1964/65,1. FC Köln,Eintracht Frankfurt,3,4
421,23,1964/65,Borussia Neunkirchen,SV Werder Bremen,1,1
422,23,1964/65,1. FC Nürnberg,1.FC Kaiserslautern,1,0
423,23,1964/65,VfB Stuttgart,Meidericher SV,4,2
424,23,1964/65,Hertha BSC,FC Schalke 04,2,1
425,24,1964/65,Eintracht Braunschweig,1. FC Nürnberg,1,0
426,24,1964/65,SV Werder Bremen,VfB Stuttgart,1,0
427,24,1964/65,Meidericher SV,Hertha BSC,2,2
428,24,1964/65,Eintracht Frankfurt,Borussia Dortmund,0,2
